This is Dataplot Data File     ISHIKA66.DAT
Ishikawa, Kaoru (1982).  Guide to Quality Control.
Asian Productivity Organization, Tokyo,
Unipub Quality Resources, White Plains, New York, p. 66.
Response Variable =  ... Size
Number of Observations = 125
Number of Variables per line image = 2
Order of variables per line image--
   1. Response variable = ... size
   2. Factor 1 = Day (25 levels: 1 to 25)
   3. Factor 2 = Hour within Day (5 levels: 1 to 5)
Statistical Category--SPC & p Control Chart
To read this into Dataplot--
   SKIP 25
   READ ISHIKA66.DAT Y X REP
   XBAR CONTROL CHART Y X
   RANGE CONTROL CHART Y X
   S CONTROL CHART Y X
 
 
 
 
 
Size     Day     Hour
---------------------
14.0      1       1
12.6      1       2
13.2      1       3
13.1      1       4
12.1      1       5
 
13.2      2       1
13.3      2       2
12.7      2       3
13.4      2       4
12.1      2       5
 
13.5      3       1
12.8      3       2
13.0      3       3
12.8      3       4
12.4      3       5
 
13.9      4       1
12.4      4       2
13.3      4       3
13.1      4       4
13.2      4       5
 
13.0      5       1
13.0      5       2
12.1      5       3
12.2      5       4
13.3      5       5
 
13.7      6       1
12.0      6       2
12.5      6       3
12.4      6       4
12.4      6       5
 
13.9      7       1
12.1      7       2
12.7      7       3
13.4      7       4
13.0      7       5
 
13.4      8       1
13.6      8       2
13.0      8       3
12.4      8       4
13.5      8       5
 
14.4      9       1
12.4      9       2
12.2      9       3
12.4      9       4
12.5      9       5
 
13.3     10       1
12.4     10       2
12.6     10       3
12.9     10       4
12.8     10       5
 
13.3     11       1
12.8     11       2
13.0     11       3
13.0     11       4
13.1     11       5
 
13.6     12       1
12.5     12       2
13.3     12       3
13.5     12       4
12.8     12       5
 
13.4     13       1
13.3     13       2
12.0     13       3
13.0     13       4
13.1     13       5
 
13.9     14       1
13.1     14       2
13.5     14       3
12.6     14       4
12.8     14       5
 
14.2     15       1
12.7     15       2
12.9     15       3
12.9     15       4
12.5     15       5
 
13.6     16       1
12.6     16       2
12.4     16       3
12.5     16       4
12.2     16       5
 
14.0     17       1
13.2     17       2
12.4     17       3
13.0     17       4
13.0     17       5
 
13.1     18       1
12.9     18       2
13.5     18       3
12.3     18       4
12.8     18       5
 
14.6     19       1
13.7     19       2
13.4     19       3
12.2     19       4
12.5     19       5
 
13.9     20       1
13.0     20       2
13.0     20       3
13.2     20       4
12.6     20       5
 
13.3     21       1
12.7     21       2
12.6     21       3
12.8     21       4
12.7     21       5
 
13.9     22       1
12.4     22       2
12.7     22       3
12.4     22       4
12.8     22       5
 
13.2     23       1
12.3     23       2
12.6     23       3
13.1     23       4
12.7     23       5
 
13.2     24       1
12.8     24       2
12.8     24       3
12.3     24       4
12.6     24       5
 
13.3     25       1
12.8     25       2
13.0     25       3
12.3     25       4
12.2     25       5
