This is Dataplot data file   TPPF.DAT
Percent Point Function Values
for Student's t distribution
Number of observations             = 41
Number of variables per line image = 14
Order of variables per line image--
   1. Variable nu  = degrees of freedom = tail-length index
   2. 50% point    = value such that 50%    of probability is to the left (= 0 for all nu)
   3. 75% point    = value such that 75%    of probability is to the left
   4. 80% point    = value such that 80%    of probability is to the left
   5. 85% point    = value such that 85%    of probability is to the left
   6. 90% point    = value such that 90%    of probability is to the left
   7. 95% point    = value such that 95%    of probability is to the left
   8. 97.5% point  = value such that 97.5%  of probability is to the left
   9. 98% point    = value such that 98%    of probability is to the left
  10. 99% point    = value such that 99%    of probability is to the left
  11. 99.5% point  = value such that 99.5%  of probability is to the left
  12. 99.75% point = value such that 99.75% of probability is to the left
  13. 99.9% point  = value such that 99.9%  of probability is to the left
  14. 99.95% point = value such that 99.95% of probability is to the left
To read this file into Dataplot--
   SKIP 25; READ TPPF.DAT NU P1 TO P12

   nu   .50     .75     .80     .85     .90        .95      .975       .98     .99     .995     .9975    .999     .9995
------------------------------------------------------------------------------------------------------------------------
    1  0.0000  1.0000  1.3764  1.9626  3.0777     6.3137  12.7062    15.8945 31.8205 63.6567 127.3245 318.3129 636.6654
    2  0.0000  0.8165  1.0607  1.3862  1.8856     2.9200   4.3026     4.8487  6.9646  9.9248  14.0892  22.3273  31.6002
    3  0.0000  0.7649  0.9785  1.2498  1.6377     2.3534   3.1824     3.4819  4.5407  5.8409   7.4534  10.2146  12.9243
    4  0.0000  0.7407  0.9410  1.1896  1.5332     2.1318   2.7764     2.9985  3.7469  4.6041   5.5976   7.1732   8.6105
    5  0.0000  0.7267  0.9195  1.1558  1.4759     2.0150   2.5706     2.7565  3.3649  4.0321   4.7734   5.8934   6.8689

    6  0.0000  0.7176  0.9057  1.1342  1.4398     1.9432   2.4469     2.6122  3.1427  3.7074   4.3168   5.2076   5.9589
    7  0.0000  0.7111  0.8960  1.1192  1.4149     1.8946   2.3646     2.5167  2.9977  3.4989   4.0281   4.7821   5.4019
    8  0.0000  0.7064  0.8889  1.1081  1.3968     1.8595   2.3060     2.4489  2.8963  3.3551   3.8319   4.4992   5.0384
    9  0.0000  0.7027  0.8834  1.0997  1.3830     1.8331   2.2621     2.3984  2.8214  3.2497   3.6893   4.2959   4.7793
   10  0.0000  0.6998  0.8791  1.0931  1.3722     1.8125   2.2281     2.3593  2.7637  3.1692   3.5812   4.1432   4.5860

   11  0.0000  0.6974  0.8755  1.0877  1.3634     1.7959   2.2010     2.3281  2.7181  3.1058   3.4965   4.0244   4.4364
   12  0.0000  0.6955  0.8726  1.0832  1.3562     1.7823   2.1788     2.3027  2.6810  3.0545   3.4284   3.9294   4.3175
   13  0.0000  0.6938  0.8702  1.0795  1.3502     1.7709   2.1604     2.2816  2.6503  3.0123   3.3724   3.8519   4.2206
   14  0.0000  0.6924  0.8681  1.0763  1.3450     1.7613   2.1448     2.2638  2.6245  2.9768   3.3257   3.7873   4.1403
   15  0.0000  0.6912  0.8662  1.0735  1.3406     1.7531   2.1314     2.2485  2.6025  2.9467   3.2860   3.7328   4.0727

   16  0.0000  0.6901  0.8647  1.0711  1.3368     1.7459   2.1199     2.2354  2.5835  2.9208   3.2520   3.6861   4.0149
   17  0.0000  0.6892  0.8633  1.0690  1.3334     1.7396   2.1098     2.2238  2.5669  2.8982   3.2224   3.6457   3.9651
