This is Dataplot data file    HSU12.DAT
Acoustic Microscopy
Nelson Hsu and Dan Xiang (NIST)
Date       = February 1996
Device     = acoustic microscope
Response variable = measured time for acoustic microscope
Number of observations             = 750
Number of variables per line image =   3
Order of variables on a line--
   1. Response Variable = elapsed time
   2. Factor 1          = distance
   3. Factor 2          = batch (15 levels)
Statistical Classification--Regression & Calibration
                            Linear & quadratic fitting
                            Subset fitting (with Y < 1.1)
Core question: What equation relates acoustic microscope
               response to distance
To read this data file into Dataplot--
   SKIP 25
   READ HSU12.DAT Y X BATCH
 
 
    Y              X
   Time         Distance      Batch
------------------------------------
  1.88700       11.00000        1
  1.85200       10.80000        1
  1.81400       10.60000        1
  1.77900       10.40000        1
  1.75200       10.20000        1
  1.71400       10.00000        1
  1.68000        9.80000        1
  1.64300        9.60000        1
  1.61000        9.40000        1
  1.57700        9.20000        1
  1.54600        9.00000        1
  1.51000        8.80000        1
  1.47400        8.60000        1
  1.43900        8.40000        1
  1.40600        8.20000        1
  1.36900        8.00000        1
  1.33800        7.80000        1
  1.30400        7.60000        1
  1.26600        7.40000        1
  1.22800        7.20000        1
  1.19700        7.00000        1
  1.16200        6.80000        1
  1.12700        6.60000        1
  1.09300        6.40000        1
  1.05800        6.20000        1
  1.02400        6.00000        1
  0.99000        5.80000        1
  0.95400        5.60000        1
  0.92100        5.40000        1
  0.88600        5.20000        1
  0.85100        5.00000        1
  0.81500        4.80000        1
  0.78000        4.60000        1
  0.74700        4.40000        1
  0.71200        4.20000        1
  0.67700        4.00000        1
  0.64200        3.80000        1
  0.60800        3.60000        1
  0.57300        3.40000        1
  0.53800        3.20000        1
  0.50400        3.00000        1
  0.46900        2.80000        1
  0.43300        2.60000        1
  0.39900        2.40000        1
  0.36500        2.20000        1
  0.32900        2.00000        1
  0.29400        1.80000        1
  0.26000        1.60000        1
  0.22500        1.40000        1
  0.19100        1.20000        1
  0.15700        1.00000        1
 
  1.91500       11.00000        2
  1.87800       10.80000        2
  1.84700       10.60000        2
  1.80500       10.40000        2
  1.77200       10.20000        2
  1.73700       10.00000        2
  1.70100        9.80000        2
  1.66900        9.60000        2
  1.63400        9.40000        2
  1.59800        9.20000        2
  1.56200        9.00000        2
  1.52800        8.80000        2
  1.49300        8.60000        2
  1.45600        8.40000        2
  1.42400        8.20000        2
  1.39000        8.00000        2
  1.35300        7.80000        2
  1.31900        7.60000        2
  1.28400        7.40000        2
  1.25100        7.20000        2
  1.21600        7.00000        2
  1.17900        6.80000        2
  1.14400        6.60000        2
  1.11100        6.40000        2
  1.07200        6.20000        2
  1.03900        6.00000        2
  1.00500        5.80000        2
  0.96800        5.60000        2
  0.93200        5.40000        2
  0.89800        5.20000        2
  0.86200        5.00000        2
  0.82700        4.80000        2
  0.79400        4.60000        2
  0.75800        4.40000        2
  0.72500        4.20000        2
  0.69100        4.00000        2
  0.65300        3.80000        2
  0.61800        3.60000        2
  0.58300        3.40000        2
  0.55000        3.20000        2
  0.51300        3.00000        2
  0.47700        2.80000        2
  0.44000        2.60000        2
  0.40400        2.40000        2
  0.36800        2.20000        2
  0.33200        2.00000        2
  0.29600        1.80000        2
  0.26100        1.60000        2
  0.22800        1.40000        2
  0.19000        1.20000        2
  0.15700        1.00000        2
 
  1.90300       11.00000        3
  1.87500       10.80000        3
  1.83600       10.60000        3
  1.80300       10.40000        3
  1.76900       10.20000        3
  1.72900       10.00000        3
  1.69800        9.80000        3
  1.66200        9.60000        3
  1.62700        9.40000        3
  1.59400        9.20000        3
  1.56000        9.00000        3
  1.52500        8.80000        3
  1.48800        8.60000        3
  1.45300        8.40000        3
  1.41800        8.20000        3
  1.38000        8.00000        3
  1.34600        7.80000        3
  1.31300        7.60000        3
  1.27700        7.40000        3
  1.24100        7.20000        3
  1.20800        7.00000        3
  1.17200        6.80000        3
  1.13800        6.60000        3
  1.10500        6.40000        3
  1.07100        6.20000        3
  1.03500        6.00000        3
  1.00000        5.80000        3
  0.96400        5.60000        3
  0.93000        5.40000        3
  0.89500        5.20000        3
  0.86000        5.00000        3
  0.82500        4.80000        3
  0.79100        4.60000        3
  0.75600        4.40000        3
  0.71900        4.20000        3
  0.68500        4.00000        3
  0.64900        3.80000        3
  0.61200        3.60000        3
  0.57700        3.40000        3
  0.54200        3.20000        3
  0.50600        3.00000        3
  0.47200        2.80000        3
  0.43600        2.60000        3
  0.40100        2.40000        3
  0.36700        2.20000        3
  0.33100        2.00000        3
  0.29700        1.80000        3
  0.26400        1.60000        3
  0.22900        1.40000        3
  0.19400        1.20000        3
  0.16100        1.00000        3
 
  1.93500       11.00000        4
  1.90600       10.80000        4
  1.87100       10.60000        4
  1.83600       10.40000        4
  1.79400       10.20000        4
  1.76500       10.00000        4
  1.73200        9.80000        4
  1.69400        9.60000        4
  1.65400        9.40000        4
  1.62400        9.20000        4
  1.59000        9.00000        4
  1.55200        8.80000        4
  1.51900        8.60000        4
  1.48300        8.40000        4
  1.44800        8.20000        4
  1.41300        8.00000        4
  1.37800        7.80000        4
  1.34100        7.60000        4
  1.30600        7.40000        4
  1.27300        7.20000        4
  1.23600        7.00000        4
  1.20100        6.80000        4
  1.16700        6.60000        4
  1.13200        6.40000        4
  1.09900        6.20000        4
  1.06200        6.00000        4
  1.02800        5.80000        4
  0.99200        5.60000        4
  0.95700        5.40000        4
  0.92400        5.20000        4
  0.88700        5.00000        4
  0.85400        4.80000        4
  0.81700        4.60000        4
  0.78100        4.40000        4
  0.74800        4.20000        4
  0.71300        4.00000        4
  0.67800        3.80000        4
  0.64300        3.60000        4
  0.60800        3.40000        4
  0.57200        3.20000        4
  0.53700        3.00000        4
  0.50100        2.80000        4
  0.46700        2.60000        4
  0.43100        2.40000        4
  0.39700        2.20000        4
  0.36200        2.00000        4
  0.32700        1.80000        4
  0.29300        1.60000        4
  0.25700        1.40000        4
  0.22200        1.20000        4
  0.18800        1.00000        4
 
  1.90300       11.00000        5
  1.87100       10.80000        5
  1.83400       10.60000        5
  1.80300       10.40000        5
  1.76800       10.20000        5
  1.73100       10.00000        5
  1.69300        9.80000        5
  1.65900        9.60000        5
  1.62600        9.40000        5
  1.59100        9.20000        5
  1.55600        9.00000        5
  1.52100        8.80000        5
  1.48700        8.60000        5
  1.45300        8.40000        5
  1.41500        8.20000        5
  1.38300        8.00000        5
  1.34600        7.80000        5
  1.31200        7.60000        5
  1.27900        7.40000        5
  1.24500        7.20000        5
  1.21000        7.00000        5
  1.17600        6.80000        5
  1.13900        6.60000        5
  1.10500        6.40000        5
  1.07200        6.20000        5
  1.03800        6.00000        5
  1.00400        5.80000        5
  0.96800        5.60000        5
  0.93400        5.40000        5
  0.90000        5.20000        5
  0.86300        5.00000        5
  0.82700        4.80000        5
  0.79600        4.60000        5
  0.76100        4.40000        5
  0.72700        4.20000        5
  0.69200        4.00000        5
  0.65600        3.80000        5
  0.62200        3.60000        5
  0.58700        3.40000        5
  0.55300        3.20000        5
  0.51800        3.00000        5
  0.48300        2.80000        5
  0.44800        2.60000        5
  0.41300        2.40000        5
  0.37800        2.20000        5
  0.34300        2.00000        5
  0.30800        1.80000        5
  0.27400        1.60000        5
  0.23900        1.40000        5
  0.20500        1.20000        5
  0.17200        1.00000        5
 
  1.92200       11.00000        6
  1.88500       10.80000        6
  1.85500       10.60000        6
  1.82300       10.40000        6
  1.78700       10.20000        6
  1.75300       10.00000        6
  1.71900        9.80000        6
  1.68400        9.60000        6
  1.64700        9.40000        6
  1.61400        9.20000        6
  1.57800        9.00000        6
  1.53800        8.80000        6
  1.50900        8.60000        6
  1.47900        8.40000        6
  1.43600        8.20000        6
  1.40400        8.00000        6
  1.37400        7.80000        6
  1.33700        7.60000        6
  1.30300        7.40000        6
  1.26800        7.20000        6
  1.23300        7.00000        6
  1.20200        6.80000        6
  1.16600        6.60000        6
  1.13200        6.40000        6
  1.09600        6.20000        6
  1.06200        6.00000        6
  1.02700        5.80000        6
  0.99300        5.60000        6
  0.95900        5.40000        6
  0.92400        5.20000        6
  0.88700        5.00000        6
  0.85300        4.80000        6
  0.82000        4.60000        6
  0.78600        4.40000        6
  0.75100        4.20000        6
  0.71800        4.00000        6
  0.68300        3.80000        6
  0.64700        3.60000        6
  0.61400        3.40000        6
  0.57800        3.20000        6
  0.54400        3.00000        6
  0.51000        2.80000        6
  0.47400        2.60000        6
  0.43900        2.40000        6
  0.40600        2.20000        6
  0.37300        2.00000        6
  0.33700        1.80000        6
  0.30100        1.60000        6
  0.26800        1.40000        6
  0.23200        1.20000        6
  0.20100        1.00000        6
 
  1.94900       11.00000        7
  1.91300       10.80000        7
  1.87200       10.60000        7
  1.84000       10.40000        7
  1.80600       10.20000        7
  1.77300       10.00000        7
  1.73500        9.80000        7
  1.69400        9.60000        7
  1.66300        9.40000        7
  1.63000        9.20000        7
  1.59600        9.00000        7
  1.55900        8.80000        7
  1.52200        8.60000        7
  1.49200        8.40000        7
  1.45000        8.20000        7
  1.41500        8.00000        7
  1.38400        7.80000        7
  1.34800        7.60000        7
  1.31300        7.40000        7
  1.27800        7.20000        7
  1.24500        7.00000        7
  1.21000        6.80000        7
  1.17500        6.60000        7
  1.13800        6.40000        7
  1.10300        6.20000        7
  1.06900        6.00000        7
  1.03200        5.80000        7
  0.99700        5.60000        7
  0.96100        5.40000        7
  0.92600        5.20000        7
  0.89500        5.00000        7
  0.85800        4.80000        7
  0.82100        4.60000        7
  0.78700        4.40000        7
  0.75300        4.20000        7
  0.71900        4.00000        7
  0.68400        3.80000        7
  0.64800        3.60000        7
  0.61300        3.40000        7
  0.57800        3.20000        7
  0.54300        3.00000        7
  0.51000        2.80000        7
  0.47500        2.60000        7
  0.43800        2.40000        7
  0.40300        2.20000        7
  0.37000        2.00000        7
  0.33600        1.80000        7
  0.29900        1.60000        7
  0.26400        1.40000        7
  0.23000        1.20000        7
  0.19800        1.00000        7
 
  1.94100       11.00000        8
  1.90300       10.80000        8
  1.86500       10.60000        8
  1.83400       10.40000        8
  1.80100       10.20000        8
  1.76500       10.00000        8
  1.73500        9.80000        8
  1.69300        9.60000        8
  1.65900        9.40000        8
  1.62400        9.20000        8
  1.59100        9.00000        8
  1.55400        8.80000        8
  1.52000        8.60000        8
  1.48500        8.40000        8
  1.45300        8.20000        8
  1.42000        8.00000        8
  1.38100        7.80000        8
  1.34900        7.60000        8
  1.31500        7.40000        8
  1.27900        7.20000        8
  1.24200        7.00000        8
  1.21000        6.80000        8
  1.17400        6.60000        8
  1.13900        6.40000        8
  1.10800        6.20000        8
  1.07200        6.00000        8
  1.03600        5.80000        8
  1.00300        5.60000        8
  0.96500        5.40000        8
  0.93100        5.20000        8
  0.89700        5.00000        8
  0.86300        4.80000        8
  0.82700        4.60000        8
  0.79300        4.40000        8
  0.75900        4.20000        8
  0.72500        4.00000        8
  0.69000        3.80000        8
  0.65500        3.60000        8
  0.62200        3.40000        8
  0.58700        3.20000        8
  0.55000        3.00000        8
  0.51500        2.80000        8
  0.48200        2.60000        8
  0.44500        2.40000        8
  0.40900        2.20000        8
  0.37700        2.00000        8
  0.34100        1.80000        8
  0.30800        1.60000        8
  0.27300        1.40000        8
  0.23800        1.20000        8
  0.20700        1.00000        8
 
  1.92800       11.00000        9
  1.89100       10.80000        9
  1.86600       10.60000        9
  1.82800       10.40000        9
  1.79300       10.20000        9
  1.75700       10.00000        9
  1.72300        9.80000        9
  1.68200        9.60000        9
  1.65500        9.40000        9
  1.61600        9.20000        9
  1.58200        9.00000        9
  1.54800        8.80000        9
  1.51300        8.60000        9
  1.48000        8.40000        9
  1.44100        8.20000        9
  1.41100        8.00000        9
  1.36900        7.80000        9
  1.34000        7.60000        9
  1.30700        7.40000        9
  1.27400        7.20000        9
  1.23500        7.00000        9
  1.20700        6.80000        9
  1.16700        6.60000        9
  1.13400        6.40000        9
  1.09900        6.20000        9
  1.06200        6.00000        9
  1.03000        5.80000        9
  0.99500        5.60000        9
  0.96100        5.40000        9
  0.92900        5.20000        9
  0.89200        5.00000        9
  0.85900        4.80000        9
  0.82600        4.60000        9
  0.79100        4.40000        9
  0.75300        4.20000        9
  0.71900        4.00000        9
  0.68800        3.80000        9
  0.64900        3.60000        9
  0.61500        3.40000        9
  0.58100        3.20000        9
  0.54600        3.00000        9
  0.51100        2.80000        9
  0.47700        2.60000        9
  0.44500        2.40000        9
  0.41100        2.20000        9
  0.37600        2.00000        9
  0.33900        1.80000        9
  0.30500        1.60000        9
  0.27200        1.40000        9
  0.23700        1.20000        9
  0.20400        1.00000        9
 
  1.92800       11.00000       10
  1.89700       10.80000       10
  1.86400       10.60000       10
  1.82800       10.40000       10
  1.79500       10.20000       10
  1.76100       10.00000       10
  1.72600        9.80000       10
  1.69200        9.60000       10
  1.65700        9.40000       10
  1.62200        9.20000       10
  1.59100        9.00000       10
  1.55700        8.80000       10
  1.51900        8.60000       10
  1.48400        8.40000       10
  1.44000        8.20000       10
  1.40800        8.00000       10
  1.37500        7.80000       10
  1.34200        7.60000       10
  1.30400        7.40000       10
  1.27500        7.20000       10
  1.23900        7.00000       10
  1.20600        6.80000       10
  1.17100        6.60000       10
  1.13700        6.40000       10
  1.10200        6.20000       10
  1.06800        6.00000       10
  1.03400        5.80000       10
  0.99900        5.60000       10
  0.96200        5.40000       10
  0.93100        5.20000       10
  0.89600        5.00000       10
  0.86200        4.80000       10
  0.82700        4.60000       10
  0.79400        4.40000       10
  0.75800        4.20000       10
  0.72300        4.00000       10
  0.69200        3.80000       10
  0.65500        3.60000       10
  0.62000        3.40000       10
  0.58700        3.20000       10
  0.55300        3.00000       10
  0.51800        2.80000       10
  0.48500        2.60000       10
  0.45100        2.40000       10
  0.41600        2.20000       10
  0.38200        2.00000       10
  0.34900        1.80000       10
  0.31500        1.60000       10
  0.28100        1.40000       10
  0.24700        1.20000       10
  0.21300        1.00000       10
 
  1.90600       11.00000       11
  1.87800       10.80000       11
  1.84000       10.60000       11
  1.80500       10.40000       11
  1.77000       10.20000       11
  1.73700       10.00000       11
  1.70600        9.80000       11
  1.67700        9.60000       11
  1.64000        9.40000       11
  1.60300        9.20000       11
  1.56600        9.00000       11
  1.53300        8.80000       11
  1.50100        8.60000       11
  1.46600        8.40000       11
  1.43300        8.20000       11
  1.39700        8.00000       11
  1.36200        7.80000       11
  1.33200        7.60000       11
  1.29500        7.40000       11
  1.25900        7.20000       11
  1.22400        7.00000       11
  1.19300        6.80000       11
  1.15800        6.60000       11
  1.12400        6.40000       11
  1.08700        6.20000       11
  1.05300        6.00000       11
  1.01600        5.80000       11
  0.98200        5.60000       11
  0.94800        5.40000       11
  0.91200        5.20000       11
  0.87900        5.00000       11
  0.84300        4.80000       11
  0.80900        4.60000       11
  0.77400        4.40000       11
  0.74100        4.20000       11
  0.70700        4.00000       11
  0.67100        3.80000       11
  0.63600        3.60000       11
  0.60100        3.40000       11
  0.56600        3.20000       11
  0.53200        3.00000       11
  0.49700        2.80000       11
  0.46200        2.60000       11
  0.42700        2.40000       11
  0.39100        2.20000       11
  0.35600        2.00000       11
  0.32100        1.80000       11
  0.28600        1.60000       11
 
  1.93600       11.00000       12
