                      SRM 1017b: Homogeneity Study                    16

             OBS      Y      BOTTLE    SIEVE    RUN    TIME

               1    85.63       1        50      3      15
               2    85.78       1        50      4      15
               3    70.57       1        60      3      15
               4    71.00       1        60      4      15
               5    59.95       1        70      3      15
               6    60.53       1        70      4      15
               7    48.43       1        80      3      15
               8    48.67       1        80      4      15
               9    30.70       1       100      3      15
              10    30.24       1       100      4      15
              11    14.60       1       120      3      15
              12    13.35       1       120      4      15
              13     4.57       1       140      3      15
              14     4.53       1       140      4      15
              15    85.41       4        50      3      15
              16    85.48       4        50      4      15
              17    70.36       4        60      3      15
              18    70.47       4        60      4      15
              19    59.40       4        70      3      15
              20    59.74       4        70      4      15
              21    47.56       4        80      3      15
              22    47.97       4        80      4      15
              23    29.75       4       100      3      15
              24    30.36       4       100      4      15
              25    13.25       4       120      3      15
              26    13.68       4       120      4      15
              27     4.32       4       140      3      15
              28     4.48       4       140      4      15
              29    85.45      14        50      3      15
              30    85.62      14        50      4      15
              31    70.56      14        60      3      15
              32    71.05      14        60      4      15
              33    59.68      14        70      3      15
              34    60.42      14        70      4      15
              35    48.00      14        80      3      15
              36    48.76      14        80      4      15
              37    30.05      14       100      3      15
              38    30.43      14       100      4      15
              39    13.27      14       120      3      15
              40    13.68      14       120      4      15
              41     4.51      14       140      3      15
              42     4.64      14       140      4      15
              43    85.37      19        50      3      15
              44    85.50      19        50      4      15
              45    70.42      19        60      3      15
              46    70.67      19        60      4      15
              47    59.50      19        70      3      15
              48    59.93      19        70      4      15
              49    47.89      19        80      3      15
              50    48.32      19        80      4      15
              51    29.77      19       100      3      15
              52    30.44      19       100      4      15
              53    13.44      19       120      3      15
              54    13.96      19       120      4      15
              55     4.33      19       140      3      15
              56     4.47      19       140      4      15
              57    85.45      23        50      3      15
              58    85.58      23        50      4      15
              59    70.34      23        60      3      15
              60    70.59      23        60      4      15
              61    59.50      23        70      3      15
              62    60.04      23        70      4      15
              63    48.00      23        80      3      15
              64    48.68      23        80      4      15
              65    30.51      23       100      3      15
              66    30.81      23       100      4      15
              67    13.84      23       120      3      15
              68    13.72      23       120      4      15
              69     4.48      23       140      3      15
              70     4.55      23       140      4      15
              71    85.49      28        50      3      15
              72    85.51      28        50      4      15
              73    70.55      28        60      3      15
              74    70.66      28        60      4      15
              75    59.98      28        70      3      15
              76    60.02      28        70      4      15
              77    48.00      28        80      3      15
              78    48.31      28        80      4      15
              79    29.94      28       100      3      15
              80    30.50      28       100      4      15
              81    13.38      28       120      3      15
              82    14.30      28       120      4      15
              83     4.54      28       140      3      15
              84     4.61      28       140      4      15
              85    85.46      33        50      3      15
              86    85.54      33        50      4      15
              87    70.61      33        60      3      15
              88    70.59      33        60      4      15
              89    59.76      33        70      3      15
              90    60.08      33        70      4      15
              91    48.09      33        80      3      15
              92    48.25      33        80      4      15
              93    29.93      33       100      3      15
              94    30.16      33       100      4      15
              95    13.35      33       120      3      15
              96    13.25      33       120      4      15
              97     4.43      33       140      3      15
              98     4.32      33       140      4      15
              99    85.37      38        50      3      15
             100    85.54      38        50      4      15
             101    70.44      38        60      3      15
             102    70.62      38        60      4      15
             103    59.57      38        70      3      15
             104    60.00      38        70      4      15
             105    47.72      38        80      3      15
             106    48.42      38        80      4      15
             107    29.89      38       100      3      15
             108    30.39      38       100      4      15
             109    13.83      38       120      3      15
             110    14.03      38       120      4      15
             111     4.37      38       140      3      15
             112     4.50      38       140      4      15
             113    85.66      43        50      3      15
             114    85.66      43        50      4      15
             115    70.72      43        60      3      15
             116    70.78      43        60      4      15
             117    60.18      43        70      3      15
             118    60.20      43        70      4      15
             119    48.22      43        80      3      15
             120    48.59      43        80      4      15
             121    30.06      43       100      3      15
             122    30.50      43       100      4      15
             123    13.54      43       120      3      15
             124    14.22      43       120      4      15
             125     4.33      43       140      3      15
             126     4.51      43       140      4      15
             127    85.53      48        50      3      15
             128    85.54      48        50      4      15
             129    70.64      48        60      3      15
             130    70.62      48        60      4      15
             131    60.12      48        70      3      15
             132    60.09      48        70      4      15
             133    48.40      48        80      3      15
             134    48.50      48        80      4      15
             **comment This is file   MEASQUAL.TEX
** --------------------
**linesperinch 6
**scale 47
**font 2
** --------------------
**magnify 1.5
**lines per inch 3
**move 0325 2850
**center on
Measurement Quality Conference
Lab Tour
**move 0325 2550
**magnify 2.1
**shadebo2 475 2015 0.025 2
Exploratory Data Analysis
via Dataplot
 
**ma
