This is the Dataplot data file        MACHINE.DAT
Data provided by Barry Hembre of AMD.  This data set is analyzed
as a case study in the "Production Process Characterization"
chapter of the NIST/SEMATECH Engineering Statistics Handbook.
The URL for this case study is:

   http://www.itl.nist.gov/div898/handbook/ppc/section5/ppc52.htm

Contact--Barry Hembree, AMD
Number of observations                       = 180
Number of observations per line image        = 5
Order of variables on a line image--
   1. Factor Variable MACHINE      = Machine Number
   2. Factor Variable DAY          = Day
   3. Factor Variable TIME         = 1 = AM, 2 = PM
   4. Factor Variable SAMPLE       = Sample Number
   5. Dependent Variable DIAMETER  = DIAMETER
  
To read this file into Dataplot--
   SKIP 25
   READ MACHINE.DAT MACHINE DAY TIME SAMPLE DIAMETER


MACHINE      DAY        TIME      SAMPLE      DIAMETER
------------------------------------------------------
   1          1           1          1          0.1247
   1          1           1          2          0.1264
   1          1           1          3          0.1252
   1          1           1          4          0.1253
   1          1           1          5          0.1263
   1          1           1          6          0.1251
   1          1           1          7          0.1254
   1          1           1          8          0.1239
   1          1           1          9          0.1235
   1          1           1         10          0.1257
   1          1           2          1          0.1271
   1          1           2          2          0.1253
   1          1           2          3          0.1265
   1          1           2          4          0.1254
   1          1           2          5          0.1243
   1          1           2          6          0.124
   1          1           2          7          0.1246
   1          1           2          8          0.1244
   1          1           2          9          0.1271
   1          1           2         10          0.1241
   1          2           1          1          0.1251
   1          2           1          2          0.1238
   1          2           1          3          0.1255
   1          2           1          4          0.1234
   1          2           1          5          0.1235
   1          2           1          6          0.1266
   1          2           1          7          0.125
   1          2           1          8          0.1246
   1          2           1          9          0.1243
   1          2           1         10          0.1248
   1          2           2          1          0.1248
   1          2           2          2          0.1235
   1          2           2          3          0.1243
   1          2           2          4          0.1265
   1          2           2          5          0.127
   1          2           2          6          0.1229
   1          2           2          7          0.125
   1          2           2          8          0.1248
   1          2           2          9          0.1252
   1          2           2         10          0.1243
   1          3           1          1          0.1255
   1          3           1          2          0.1237
   1          3           1          3          0.1235
   1          3           1          4          0.1264
   1          3           1          5          0.1239
   1          3           1          6          0.1266
   1          3           1          7          0.1242
   1          3           1          8          0.1231
   1          3           1          9          0.1232
   1          3           1         10          0.1244
   1          3           2          1          0.1233
   1          3           2          2          0.1237
   1          3           2          3          0.1244
   1          3           2          4          0.1254
   1          3           2          5          0.1247
   1          3           2          6          0.1254
   1          3           2          7          0.1258
   1          3           2          8          0.126
   1          3           2          9          0.1235
   1          3           2         10          0.1273
   2          1           1          1          0.1239
   2          1           1          2          0.1239
   2          1           1          3          0.1239
   2          1           1          4          0.1231
   2          1           1          5          0.1221
   2          1           1          6          0.1216
   2          1           1          7          0.1233
   2          1           1          8          0.1228
   2          1           1          9          0.1227
   2          1           1         10          0.1229
   2          1           2          1          0.122
   2          1           2          2          0.1239
   2          1           2          3          0.1237
   2          1           2          4          0.1216
   2          1           2          5          0.1235
   2          1           2          6          0.124
   2          1           2          7          0.1224
   2          1           2          8          0.1236
   2          1           2          9          0.1236
   2          1           2         10          0.1217
   2          2           1          1          0.1247
   2          2           1          2          0.122
   2          2           1          3          0.1218
   2          2           1          4          0.1237
   2          2           1          5          0.1234
   2          2           1          6          0.1229
   2          2           1          7          0.1235
   2          2           1          8          0.1237
   2          2           1          9          0.1224
   2          2           1         10          0.1224
   2          2           2          1          0.1239
   2          2           2          2          0.1226
   2          2           2          3          0.1224
   2          2           2          4          0.1239
   2          2           2          5          0.1237
   2          2           2          6          0.1227
   2          2           2          7          0.1218
   2          2           2          8          0.122
   2          2           2          9          0.1231
   2          2           2         10          0.1244
   2          3           1          1          0.1219
   2          3           1          2          0.1243
   2          3           1          3          0.1231
   2          3           1          4          0.1223
   2          3           1          5          0.1218
   2          3           1          6          0.1218
   2          3           1          7          0.1225
   2          3           1          8          0.1238
   2          3           1          9          0.1244
   2          3           1         10          0.1236
   2          3           2          1          0.1231
   2          3           2          2          0.1223
   2          3           2          3          0.1241
   2          3           2          4          0.1215
   2          3           2          5          0.1221
   2          3           2          6          0.1236
   2          3           2          7          0.1229
   2          3           2          8          0.1205
   2          3           2          9          0.1241
   2          3           2         10          0.1232
   3          1           1          1          0.1255
   3          1           1          2          0.1215
   3          1           1          3          0.1219
   3          1           1          4          0.1253
   3          1           1          5          0.1232
   3          1           1          6          0.1266
   3          1           1          7          0.1271
   3          1           1          8          0.1209
   3          1           1          9          0.1212
   3          1           1         10          0.1249
   3          1           2          1          0.1228
   3          1           2          2          0.126
   3          1           2          3          0.1242
   3          1           2          4          0.1236
   3          1           2          5          0.1248
   3          1           2          6          0.1243
   3          1           2          7          0.126
   3          1           2          8          0.1231
   3          1           2          9          0.1234
   3          1           2         10          0.1246
   3          2           1          1          0.1207
   3          2           1          2          0.1279
   3          2           1          3          0.1268
   3          2           1          4          0.1222
   3          2           1          5          0.1244
   3          2           1          6          0.1225
   3          2           1          7          0.1234
   3          2           1          8          0.1244
   3          2           1          9          0.1207
   3          2           1         10          0.1264
   3          2           2          1          0.1224
   3          2           2          2          0.1254
   3          2           2          3          0.1237
   3          2           2          4          0.1254
   3          2           2          5          0.1269
   3          2           2          6          0.1236
   3          2           2          7          0.1248
   3          2           2          8          0.1253
   3          2           2          9          0.1252
   3          2           2         10          0.1237
   3          3           1          1          0.1217
   3          3           1          2          0.122
   3          3           1          3          0.1227
   3          3           1          4          0.1202
   3          3           1          5          0.127
   3          3           1          6          0.1224
   3          3           1          7          0.1219
   3          3           1          8          0.1266
   3          3           1          9          0.1254
   3          3           1         10          0.1258
   3          3           2          1          0.1236
   3          3           2          2          0.1247
   3          3           2          3          0.124
   3          3           2          4          0.1235
   3          3           2          5          0.124
   3          3           2          6          0.1217
   3          3           2          7          0.1235
   3          3           2          8          0.1242
   3          3           2          9          0.1247
   3          3           2         10          0.125
