This is Dataplot data file    cardoza.dat (== fiber.dat)
Evaluating an Analytical Method for Dietary Fiber (Journal Article)
Authors: Li and Cardoza (1994) J. of AOAC Int., 77, p. 689
Number 0f observations                   = 108 (= 6 foods x 9 labs x 2 reps)
Total number of variables per line image = 4
Order of variables on a line image--
   Response variable = fiber amount
   Factor 1          = material (food) (6 levels):
                          1 = apples;  2 = apricots; 3 = cabbage
                          4 = carrots; 5 = onions;   6 = fibrim
   Factor 2 = Lab                      (9 levels)
   Factor 3 = Replicated Material      (2 levels)
Problem   Classification: Multi-factor
Technique Classification: good Youden Plot example
To read this file into Dataplot--
   skip 25
   read cardoza.dat y x1 x2 x3




  Y            X1      X2      X3
Fiber       Material   Lab Replication
             (Food)
---------------------------------------
12.44           1       1       1
12.48           1       1       2
12.87           1       2       1
13.20           1       2       2
12.21           1       3       1
12.67           1       3       2
12.82           1       4       1
12.92           1       4       2
13.18           1       5       1
13.66           1       5       2
12.31           1       6       1
11.85           1       6       2
13.11           1       7       1
13.25           1       7       2
14.29           1       8       1
14.38           1       8       2
12.08           1       9       1
12.38           1       9       2

25.05           2       1       1
25.58           2       1       2
27.16           2       2       1
26.29           2       2       2
27.64           2       3       1
28.14           2       3       2
29.01           2       4       1
26.39           2       4       2
26.99           2       5       1
27.85           2       5       2
24.45           2       6       1
24.15           2       6       2
26.85           2       7       1
27.37           2       7       2
27.21           2       8       1
27.34           2       8       2
25.31           2       9       1
25.43           2       9       2

26.71           3       1       1
25.99           3       1       2
26.26           3       2       1
26.98           3       2       2
25.93           3       3       1
26.25           3       3       2
26.66           3       4       1
27.74           3       4       2
26.36           3       5       1
26.95           3       5       2
26.13           3       6       1
25.25           3       6       2
27.46           3       7       1
27.52           3       7       2
27.43           3       8       1
27.38           3       8       2
25.82           3       9       1
25.33           3       9       2

28.71           4       1       1
28.43           4       1       2
29.38           4       2       1
29.58           4       2       2
31.26           4       3       1
31.66           4       3       2
29.41           4       4       1
31.03           4       4       2
30.11           4       5       1
29.97           4       5       2
27.02           4       6       1
26.49           4       6       2
30.06           4       7       1
30.40           4       7       2
31.30           4       8       1
31.10           4       8       2
28.37           4       9       1
28.60           4       9       2

16.62           5       1       1
16.55           5       1       2
17.03           5       2       1
16.93           5       2       2
18.36           5       3       1
18.83           5       3       2
17.98           5       4       1
19.59           5       4       2
17.84           5       5       1
18.29           5       5       2
16.24           5       6       1
15.61           5       6       2
17.64           5       7       1
17.36           5       7       2
17.20           5       8       1
17.49           5       8       2
16.04           5       9       1
16.09           5       9       2

74.07           6       1       1
75.01           6       1       2
76.55           6       2       1
78.36           6       2       2
79.06           6       3       1
76.49           6       3       2
77.09           6       4       1
76.48           6       4       2
75.59           6       5       1
78.84           6       5       2
71.94           6       6       1
72.97           6       6       2
80.49           6       7       1
81.61           6       7       2
80.03           6       8       1
77.14           6       8       2
73.96           6       9       1
74.24           6       9       2
