This is Dataplot data file     SIMON1.DAT   (data in English units)
Optimization of Highway Concrete   (data in English units)
Marcia Simon, Federal Highway Administration  703-285-2069
Goal: Determine optimal highway concrete mix settings
Response variable                  = 1-day strength, slump
Number of observations             = 31 (= 19 + 16)
Order of variables on a line image--
   1. Response variable 1 = 1-day strength ?
   2. Response variable 2 = slump ?
   3. Factor 1            = water/concrete ratio
   4. Factor 2            = fine aggregate
   5. Factor 3            = coarse aggregate
   6. Factor 4            = HRWRA
   7. Factor 5            = silica fume
   8. Factor 6            = time block (2 levels)
   9. Factor 7            = run sequence (1 to 31)
Statistical Category: Multifactor Designed Experiment
   Block 1: 2**(5-1) fractional factorial with 3 center points
   Block 2: axial points                  with 2 center points
To read this data file into Dataplot--
   SKIP 25
   READ SIMON1.DAT Y1 Y2   X1 X2 X3 X4 X5 BLOCK SEQ

 Y1    Y2      X1     X2      X3      X4      X5   BLOCK  RUNSEQ
-----------------------------------------------------------------
2949  0.50    0.36   0.2571  0.4071  0.0051  0.0247  1       8
1867  2.62    0.43   0.2571  0.4071  0.0051  0.0153  1       7
3508  0.50    0.36   0.2853  0.4071  0.0051  0.0153  1      13
2381  2.25    0.43   0.2853  0.4071  0.0051  0.0247  1       5
3177  1.12    0.36   0.2571  0.4353  0.0051  0.0153  1      18
2486  1.25    0.43   0.2571  0.4353  0.0051  0.0247  1      12
3016  0.50    0.36   0.2853  0.4353  0.0051  0.0247  1       3
2204  4.00    0.43   0.2853  0.4353  0.0051  0.0153  1      10
2998  5.50    0.36   0.2571  0.4071  0.0069  0.0153  1      11
2388  4.00    0.43   0.2571  0.4071  0.0069  0.0247  1       4
3273  1.75    0.36   0.2853  0.4071  0.0069  0.0247  1       2
1977  5.62    0.43   0.2853  0.4071  0.0069  0.0153  1       6
3036  0.50    0.36   0.2571  0.4353  0.0069  0.0247  1      16
2495  3.00    0.43   0.2571  0.4353  0.0069  0.0153  1      14
3093  0.50    0.36   0.2853  0.4353  0.0069  0.0153  1      15
2338  1.38    0.43   0.2853  0.4353  0.0069  0.0247  1      19
2363  2.88    0.40   0.2712  0.4212  0.0060  0.0200  1       1
2666  3.38    0.40   0.2712  0.4212  0.0060  0.0200  1       9
2728  2.25    0.40   0.2712  0.4212  0.0060  0.0200  1      17

3826  0.62    0.32   0.2712  0.4212  0.0060  0.0200  2      24
2095  4.62    0.47   0.2712  0.4212  0.0060  0.0200  2      21
2530  4.00    0.40   0.2430  0.4212  0.0060  0.0200  2      30
2580  2.62    0.40   0.2994  0.4212  0.0060  0.0200  2      22
2929  3.75    0.40   0.2712  0.3930  0.0060  0.0200  2      28
2751  1.50    0.40   0.2712  0.4494  0.0060  0.0200  2      20
2769  2.50    0.40   0.2712  0.4212  0.0042  0.0200  2      26
2884  2.50    0.40   0.2712  0.4212  0.0078  0.0200  2      23
2436  6.00    0.40   0.2712  0.4212  0.0060  0.0106  2      27
2672  1.38    0.40   0.2712  0.4212  0.0060  0.0294  2      29
2667  3.00    0.40   0.2712  0.4212  0.0060  0.0200  2      31
2761  3.12    0.40   0.2712  0.4212  0.0060  0.0200  2      25
