FILE: SRP795 (= NORR795.DAT)        06/07/95

Row    SRP2_170   SRP7_170   SRP2_171   SRP7_171   SRP2_172   SRP7_172
---------------------------------------------------------------------
  1      0.0        0.2       -0.5        0.1        0.2        0.4
  2    946.8      947.4      943.1      944.7      308.8      309.6
  3    314.6      314.7      847.8      848.8      737.2      739.0
  4    181.0      181.0       14.0       14.1      840.2      841.6
  5     13.7       13.8      426.6      427.8      529.9      530.4
  6    428.3      428.9      103.6      103.7       14.0       13.7
  7    851.3      852.0      639.2      641.1      178.0      178.7
  8    749.1      749.2      745.9      747.7      424.1      425.2
  9    104.3      103.8      315.0      315.5      941.1      942.1
 10    536.5      536.8      181.8      181.9      636.6      637.4
 11    643.4      643.4      535.7      535.9      103.4      103.4
 12     -0.2        0.1       -0.1        0.2       -0.2        0.2
