This is Dataplot Data File     FEDRETIR.DAT
Monthly Performance of Federal Retirement Fund
      Treasureies/Bonds/Stocks
Number of Observations =
Number of variables per line image =
Number of variables per line image =
Order of variables per line image--
   1. Response Variable Y = Percentage monthly gain/loss
   2. Factor 1 = Type (3 levels--treasuries, bonds, stockes)
   3. Factor 2 = Cumulative month (24 levels--1 to 24)
   4. Factor 3 = Month (12 levels--1 to 12)
   5. Factor 4 = Year (3 levels--1991, 1992, 1993)
To read this into Dataplot--
   SKIP 25
   READ FEDRETIRE.DAT Y CUMMONTH TYPE MONTH YEAR
 
 
 
 
 
 
 
 
  Rate    Time     Type    Month    Year
-------------------------------------
  0.66      1      1      4      1
  0.68      2      1      5      1
  0.66      3      1      6      1
  0.69      4      1      7      1
  0.69      5      1      8      1
  0.64      6      1      9      1
  0.62      7      1     10      1
  0.61      8      1     11      1
  0.62      9      1     12      1
  0.57     10      1      1      2
  0.56     11      1      2      2
  0.62     12      1      3      2
  0.62     13      1      4      2
  0.64     14      1      5      2
  0.60     15      1      6      2
  0.60     16      1      7      2
  0.57     17      1      8      2
  0.54     18      1      9      2
  0.55     19      1     10      2
  0.56     20      1     11      2
  0.58     21      1     12      2
  0.58     22      1      1      3
  0.49     23      1      2      3
  0.52     24      1      3      3
  1.05      1      2      4      1
  0.57      2      2      5      1
 -0.01      3      2      6      1
  1.40      4      2      7      1
  2.12      5      2      8      1
  1.99      6      2      9      1
  1.09      7      2     10      1
  0.89      8      2     11      1
  2.96      9      2     12      1
 -1.35     10      2      1      2
  0.66     11      2      2      2
 -0.53     12      2      3      2
  0.67     13      2      4      2
  1.84     14      2      5      2
  1.36     15      2      6      2
  2.00     16      2      7      2
  1.00     17      2      8      2
  1.15     18      2      9      2
 -1.30     19      2     10      2
  0.01     20      2     11      2
  1.54     21      2     12      2
  1.88     22      2      1      3
  1.73     23      2      2      3
  0.41     24      2      3      3
  0.18      1      3      4      1
  4.30      2      3      5      1
 -4.49      3      3      6      1
  4.63      4      3      7      1
  2.37      5      3      8      1
 -1.63      6      3      9      1
  1.39      7      3     10      1
 -3.96      8      3     11      1
 11.41      9      3     12      1
 -1.89     10      3      1      2
  1.29     11      3      2      2
 -1.91     12      3      3      2
  2.91     13      3      4      2
  0.49     14      3      5      2
 -1.45     15      3      6      2
  4.11     16      3      7      2
 -2.02     17      3      8      2
  1.15     18      3      9      2
  0.42     19      3     10      2
  3.39     20      3     11      2
  1.21     21      3     12      2
  0.86     22      3      1      3
  1.35     23      3      2      3
  2.09     24      3      3      3
