ULTRASONIC CALIBRATION
CONTACT--DAN CHWIRUT (NIST)
NON-LINEAR MODEL--EXPONENTIAL/LINEAR MODEL
NUMBER OF OBSERVATIONS = 214
TOTAL NUMBER OF VARIABLES PER LINE IMAGE = 3
   1. RESPONSE VARIABLE Y = ULTRASONIC RESPONSE
   2. X                   = METAL DISTANCE
   3. TAG                 = CODED METAL DISTANCE
NOTE--MODEL--Y = EXP(-ALPHA*X)/(A+B*X)
      WITH STARTING VALUES--ALPHA = .1   A = .01   B = .01
TO READ THIS FILE INTO DATAPLOT--
   SKIP 25
   READ CHWIRUT1.DAT Y X
 
 
 
 
 
 
 
 
 
 
  Y        X       TAG
----------------------
92.9      0.5       1
78.7      0.625     1
64.2      0.75      1
64.9      0.875     1
57.1      1.0       1
43.3      1.25      1
31.1      1.75      1
23.6      2.25      1
31.05     1.75      1
23.775    2.25      1
17.7375   2.75      1
13.8      3.25      1
11.5875   3.75      1
9.4125    4.25      1
7.725     4.75      1
7.35      5.25      1
8.025     5.75      1
90.6      0.5       2
76.9      0.625     2
71.6      0.75      2
63.6      0.875     2
54.0      1.0       2
39.2      1.25      2
29.3      1.75      2
21.4      2.25      2
29.175    1.75      2
22.125    2.25      2
17.5125   2.75      2
14.25     3.25      2
9.45      3.75      2
9.15      4.25      2
7.9125    4.75      2
8.475     5.25      2
6.1125    5.75      2
80.0      0.5       3
79.0      0.625     3
63.8      0.75      3
57.2      0.875     3
53.2      1.0       3
42.5      1.25      3
26.8      1.75      3
20.4      2.25      3
26.85     1.75      3
21.0      2.25      3
16.4625   2.75      3
12.525    3.25      3
10.5375   3.75      3
8.5875    4.25      3
7.125     4.75      3
6.1125    5.25      3
5.9625    5.75      3
74.1      0.5       4
67.3      0.625     4
60.8      0.75      4
55.5      0.875     4
50.3      1.0       4
41.0      1.25      4
29.4      1.75      4
20.4      2.25      4
29.3625   1.75      4
21.15     2.25      4
16.7625   2.75      4
13.2      3.25      4
10.875     3.75     4
8.175     4.25      4
7.35      4.75      4
5.9625    5.25      4
5.625     5.75      4
 81.50     .50      5.
 62.40     .75      5.
 32.50    1.50      5.
 12.41    3.00      5.
 13.12    3.00      6.
 15.56    3.00      7.
  5.63    6.00      7.
 78.00     .50      8.
 59.90     .75      8.
 33.20    1.50      8.
 13.84    3.00      8.
 12.75    3.00      9.
 14.62    3.00     10.
  3.94    6.00     10.
 76.80     .50     11.
 61.00     .75     11.
 32.90    1.50     11.
 13.87    3.00     11.
 11.81    3.00     12.
 13.31    3.00     13.
  5.44    6.00     13.
 78.00     .50     14.
 63.50     .75     14.
 33.80    1.50     14.
 12.56    3.00     14.
  5.63    6.00     14.
 12.75    3.00     15.
 13.12    3.00     16.
  5.44    6.00     16.
 76.80     .50     17.
 60.00     .75     17.
 47.80    1.00     17.
 32.00    1.50     17.
 22.20    2.00     17.
 22.57    2.00     17.
 18.82    2.50     17.
 13.95    3.00     17.
 11.25    4.00     17.
  9.00    5.00     17.
  6.67    6.00     17.
 75.80     .50     18.
 62.00     .75     18.
 48.80    1.00     18.
 35.20    1.50     18.
 20.00    2.00     18.
 20.32    2.00     18.
 19.31    2.50     18.
 12.75    3.00     18.
 10.42    4.00     18.
  7.31    5.00     18.
  7.42    6.00     18.
 70.50     .50     19.
 59.50     .75     19.
 48.50    1.00     19.
 35.80    1.50     19.
 21.00    2.00     19.
 21.67    2.00     19.
 21.00    2.50     19.
 15.64    3.00     19.
  8.17    4.00     19.
  8.55    5.00     19.
 10.12    6.00     19.
 78.00     .50     20.
 66.00     .625     20.
 62.00     .75     20.
 58.00     .875     20.
 47.70    1.00     20.
 37.80    1.25     20.
 20.20    2.25     20.
 21.07    2.25     20.
 13.87    2.75     20.
  9.67    3.25     20.
  7.76    3.75     20.
  5.44    4.25     20.
  4.87    4.75     20.
  4.01    5.25     20.
  3.75    5.75     20.
 24.19    3.00     21.
 25.76    3.00     22.
 18.07    3.00     23.
 11.81    3.00     24.
 12.07    3.00     25.
 16.12    3.00     26.
 70.80     .50     27.
 54.70     .75     27.
 48.00    1.00     27.
 39.80    1.50     27.
 29.80    2.00     27.
 23.70    2.50     27.
 29.62    2.00     27.
 23.81    2.50     27.
 17.70    3.00     27.
 11.55    4.00     27.
 12.07    5.00     27.
  8.74    6.00     27.
 80.70     .50     28.
 61.30     .75     28.
 47.50    1.00     28.
 29.00    1.50     28.
 24.00    2.00     28.
 17.70    2.50     28.
 24.56    2.00     28.
 18.67    2.50     28.
 16.24    3.00     28.
  8.74    4.00     28.
  7.87    5.00     28.
  8.51    6.00     28.
 66.70     .50     29.
 59.20     .75     29.
 40.80    1.00     29.
 30.70    1.50     29.
 25.70    2.00     29.
 16.30    2.50     29.
 25.99    2.00     29.
 16.95    2.50     29.
 13.35    3.00     29.
  8.62    4.00     29.
  7.20    5.00     29.
  6.64    6.00     29.
 13.69    3.00     30.
 81.00     .50     31.
 64.50     .75     31.
 35.50    1.50     31.
 13.31    3.00     31.
  4.87    6.00     31.
 12.94    3.00     32.
  5.06    6.00     32.
 15.19    3.00     33.
 14.62    3.00     34.
 15.64    3.00     35.
 25.50    1.75     36.
 25.95    1.75     36.
 81.70     .50     37.
 61.60     .75     37.
 29.80    1.75     37.
 29.81    1.75     37.
 17.17    2.75     37.
 10.39    3.75     37.
 28.40    1.75     38.
 28.69    1.75     38.
 81.30     .50     39.
 60.90     .75     39.
 16.65    2.75     39.
 10.05    3.75     39.
 28.90    1.75     40.
 28.95    1.75     40.
