This is Dataplot data file     MANDEL4.DAT
Smoothness of Paper
Source--Mandel, John (1964).
        The Statistical Analysis of Experimental Data.
        Wiley, New York, page 325.
Source--Hoaglin, D., Mosteller, F., and Tukey, J. (1991).
        Fundamentals of Exploratory Analysis of Variance.
        Wiley, New York, page 375
Response Variable                  = Smoothness
Number of observations             = 160 (= 5 x 4 x 8 reps)
Number of variables per line image = 3
Order of variables per line image--
   Response variable = smoothness
   Factor 1          = material     (5 levels)
   Factor 2          = lab          (4 levels)
Statistical area--Multifactor
Problem Type    --Comparative
Design type     --Randomized Block
To read this file into Dataplot--
      SKIP 25
      READ MANDEL2.DAT Y X1 X2

 Smoothness  Material    Lab
     Y          X1        X2
-----------------------------
    6.5         1         1
    6.5         1         1
    6.6         1         1
    8.1         1         1
    6.5         1         1
    6.5         1         1
    6.8         1         1
    6.5         1         1
    6.0         1         2
    6.0         1         2
    6.1         1         2
    5.8         1         2
    5.7         1         2
    5.7         1         2
    5.7         1         2
    6.0         1         2
    6.0         1         3
    5.0         1         3
    6.0         1         3
    6.0         1         3
    6.0         1         3
    6.0         1         3
    6.0         1         3
    6.0         1         3
    5.0         1         4
    5.0         1         4
    4.9         1         4
    4.8         1         4
    4.6         1         4
    4.5         1         4
    4.8         1         4
    4.3         1         4
   12.9         2         1
   12.5         2         1
   12.8         2         1
   11.0         2         1
    9.3         2         1
   13.7         2         1
   13.1         2         1
   14.0         2         1
   13.2         2         2
   14.2         2         2
   12.2         2         2
   13.1         2         2
    9.9         2         2
    9.6         2         2
   12.6         2         2
    9.0         2         2
   11.0         2         3
   10.0         2         3
   12.0         2         3
   13.0         2         3
   11.0         2         3
   10.0         2         3
   11.0         2         3
   12.0         2         3
   11.4         2         4
   10.0         2         4
    8.8         2         4
    8.2         2         4
   10.0         2         4
    8.4         2         4
   10.0         2         4
   12.6         2         4
   38.7         3         1
   47.7         3         1
   44.5         3         1
   45.5         3         1
   41.5         3         1
   46.0         3         1
   43.8         3         1
   58.8         3         1
   42.9         3         2
   39.3         3         2
   39.7         3         2
   45.8         3         2
   43.3         3         2
   41.4         3         2
   41.8         3         2
   39.2         3         2
   39.0         3         3
   44.0         3         3
   43.0         3         3
   43.0         3         3
   40.0         3         3
   35.0         3         3
   34.0         3         3
   45.0         3         3
   35.4         3         4
   37.2         3         4
   34.8         3         4
   41.2         3         4
   42.6         3         4
   37.8         3         4
   34.8         3         4
   34.0         3         4
  166.3         4         1
  151.8         4         1
  141.0         4         1
  149.4         4         1
  151.7         4         1
  166.1         4         1
  148.6         4         1
  158.3         4         1
  178.5         4         2
  183.3         4         2
  150.8         4         2
  145.0         4         2
  162.9         4         2
  184.1         4         2
  160.5         4         2
  170.8         4         2
  150.0         4         3
  150.0         4         3
  150.0         4         3
  160.0         4         3
  150.0         4         3
  160.0         4         3
  182.0         4         3
  140.0         4         3
  121.8         4         4
  127.4         4         4
  145.0         4         4
  162.4         4         4
  122.2         4         4
  124.0         4         4
  110.2         4         4
  141.2         4         4
  125.9         5         1
  113.5         5         1
  123.4         5         1
  174.0         5         1
  130.1         5         1
  158.2         5         1
  144.5         5         1
  180.0         5         1
  196.7         5         2
  230.8         5         2
  146.0         5         2
  247.3         5         2
  183.7         5         2
  237.2         5         2
  229.3         5         2
  185.9         5         2
  150.0         5         3
  165.0         5         3
  172.0         5         3
  162.0         5         3
  170.0         5         3
  150.0         5         3
  158.0         5         3
  198.0         5         3
  123.8         5         4
  162.0         5         4
  128.4         5         4
  153.0         5         4
  164.4         5         4
  140.0         5         4
  130.2         5         4
  198.8         5         4

