This is dataplot data file     KAUL2.DAT
Refridgerant Analysis (Mike Kaul, NIST)
 
Number of observations             = 180
Number of variables per line image =   2
Order of variables on a line image--
    1. Response Variable  1 = refrigerant temperature
    2. Factor 2             = position along tube
Statistical category--regression
 
To read this file into Dataplot--
   SKIP 25
   READ KAUL2.DAT Y X
 
 
 
 
 
 
 
 
 
     Y           X
  Temperature  Position
-------------------------
 10.74054        3.50450
 11.96567        4.10350
 13.58144        4.71400
 16.20583        5.32500
 20.36050        5.93800
 25.32909        6.53250
 10.76755        3.50450
 11.99472        4.10350
 13.64026        4.71400
 16.20997        5.32500
 20.35766        5.93800
 25.20141        6.53250
 10.78750        3.50450
 12.00823        4.10350
 13.61587        4.71400
 16.17039        5.32500
 20.42899        5.93800
 25.36549        6.53250
 10.75226        3.50450
 11.97165        4.10350
 13.54836        4.71400
 16.16986        5.32500
 20.24478        5.93800
 25.62003        6.53250
 10.74690        3.50450
 11.96804        4.10350
 13.57066        4.71400
 16.19999        5.32500
 20.24927        5.93800
 25.38296        6.53250
 10.73350        3.50450
 11.95623        4.10350
 13.55464        4.71400
 16.15864        5.32500
 20.28216        5.93800
 25.29357        6.53250
 10.76516        3.50450
 11.98854        4.10350
 13.57461        4.71400
 16.18669        5.32500
 20.22234        5.93800
 25.44917        6.53250
 10.76200        3.50450
 11.98552        4.10350
 13.57080        4.71400
 16.17149        5.32500
 20.22991        5.93800
 25.46547        6.53250
 10.77046        3.50450
 11.99940        4.10350
 13.60186        4.71400
 16.26831        5.32500
 20.21822        5.93800
 25.39432        6.53250
 10.79650        3.50450
 12.02284        4.10350
 13.61926        4.71400
 16.23497        5.32500
 20.22831        5.93800
 25.61542        6.53250
 10.76577        3.50450
 11.98339        4.10350
 13.62335        4.71400
 16.18045        5.32500
 20.33798        5.93800
 25.32878        6.53250
 10.76038        3.50450
 11.98455        4.10350
 13.57439        4.71400
 16.22915        5.32500
 20.18793        5.93800
 25.51081        6.53250
 10.75324        3.50450
 11.98027        4.10350
 13.62862        4.71400
 16.22902        5.32500
 20.47307        5.93800
 25.24201        6.53250
 10.76134        3.50450
 11.98862        4.10350
 13.65570        4.71400
 16.25153        5.32500
 20.43140        5.93800
 25.40704        6.53250
 10.78600        3.50450
 12.02051        4.10350
 13.62247        4.71400
 16.21311        5.32500
 20.31021        5.93800
 25.78489        6.53250
 10.77797        3.50450
 12.00134        4.10350
 13.61857        4.71400
 16.25861        5.32500
 20.42050        5.93800
 25.34019        6.53250
 10.76988        3.50450
 11.98928        4.10350
 13.58927        4.71400
 16.17475        5.32500
 20.34509        5.93800
 25.40616        6.53250
 10.76077        3.50450
 11.98535        4.10350
 13.56977        4.71400
 16.18691        5.32500
 20.20409        5.93800
 25.40190        6.53250
 10.75638        3.50450
 11.97861        4.10350
 13.54746        4.71400
 16.21298        5.32500
 20.14842        5.93800
 25.54222        6.53250
 10.77156        3.50450
 11.98238        4.10350
 13.58052        4.71400
 16.17295        5.32500
 20.17837        5.93800
 25.55541        6.53250
 10.72935        3.50450
 11.95360        4.10350
 13.56481        4.71400
 16.12929        5.32500
 20.33382        5.93800
 25.12143        6.53250
 10.72750        3.50450
 11.95015        4.10350
 13.56891        4.71400
 16.17295        5.32500
 20.38780        5.93800
 25.27196        6.53250
 10.78833        3.50450
 11.99778        4.10350
 13.61053        4.71400
 16.17139        5.32500
 20.29680        5.93800
 25.29533        6.53250
 10.76086        3.50450
 11.97435        4.10350
 13.60311        4.71400
 16.24100        5.32500
 20.26603        5.93800
 25.41886        6.53250
 10.78866        3.50450
 12.01693        4.10350
 13.62103        4.71400
 16.21875        5.32500
 20.22517        5.93800
 25.53438        6.53250
 10.77430        3.50450
 11.99695        4.10350
 13.59924        4.71400
 16.18372        5.32500
 20.19538        5.93800
 25.58337        6.53250
 10.75729        3.50450
 11.97283        4.10350
 13.55873        4.71400
 16.13649        5.32500
 20.12006        5.93800
 25.53182        6.53250
 10.75262        3.50450
 11.97108        4.10350
 13.60244        4.71400
 16.23261        5.32500
 20.30269        5.93800
 25.58643        6.53250
 10.76734        3.50450
 11.97775        4.10350
 13.56661        4.71400
 16.17341        5.32500
 20.33623        5.93800
 25.04735        6.53250
 10.78884        3.50450
 12.00941        4.10350
 13.65405        4.71400
 16.18494        5.32500
 20.22818        5.93800
 25.09743        6.53250
