This is Dataplot data file    SINSIN.DAT
Cross-spectral analysis test data sets.
Data from multiple sinusoidal models for t = 1 1 100:
     y1 = 10 + 5 * sin(2*pi*(.1)*t + .8)
     y2 = 20 + 3 * sin(2*pi*(.1)*t + (.8 + 0.25*pi))
     y3 = 20 + 3 * sin(2*pi*(.1)*t + (.8 + 0.50*pi))
     y4 = 20 + 3 * sin(2*pi*(.1)*t + (.8 + 0.75*pi))
     y5 = 20 + 3 * sin(2*pi*(.1)*t + (.8 + 1.00*pi))
     y6 = 20 + 3 * sin(2*pi*(.3)*t + .8)
Number of observations = 100
Number of variables    =   2
Order of variables per line image--
   1. Horizontal axis variable = T
   2. Response variable 1 = sin curve #1
   3. Response variable 2 = sin curve #2
   4. Response variable 3 = sin curve #3
   5. Response variable 4 = sin curve #4
   6. Response variable 5 = sin curve #5
   7. Response variable 6 = sin curve #6
To read this into Dataplot--
   SKIP 25
   READ SINSIN.DAT   X   Y1 Y2 Y3 Y4 Y5 Y6
 
   X      Y1        Y2        Y3        Y4        Y5        Y6
 -----------------------------------------------------------------
  1.0   14.9493   22.4010   20.4260   18.2014   17.0304   21.3228
  2.0   14.4214   20.8853   18.5991   17.1336   17.3472   17.0304
  3.0   12.2047   19.0314   17.3074   17.1607   18.6772   20.5125
  4.0    9.1458   17.5475   17.0441   18.2723   20.5125   22.6528
  5.0    6.4132   17.0003   17.9099   20.0438   22.1521   17.8479
  6.0    5.0507   17.5990   19.5740   21.7986   22.9696   18.6772
  7.0    5.5786   19.1147   21.4009   22.8664   22.6528   22.9696
  8.0    7.7953   20.9686   22.6926   22.8393   21.3228   19.4875
  9.0   10.8542   22.4525   22.9559   21.7277   19.4875   17.3472
 10.0   13.5868   22.9997   22.0901   19.9562   17.8479   22.1521
 11.0   14.9493   22.4010   20.4260   18.2014   17.0304   21.3228
 12.0   14.4214   20.8853   18.5991   17.1336   17.3472   17.0304
 13.0   12.2047   19.0314   17.3074   17.1607   18.6772   20.5125
 14.0    9.1458   17.5475   17.0441   18.2723   20.5125   22.6528
 15.0    6.4132   17.0003   17.9099   20.0438   22.1521   17.8479
 16.0    5.0507   17.5990   19.5740   21.7986   22.9696   18.6772
 17.0    5.5786   19.1147   21.4009   22.8664   22.6528   22.9696
 18.0    7.7953   20.9686   22.6926   22.8393   21.3228   19.4875
 19.0   10.8542   22.4525   22.9559   21.7277   19.4875   17.3472
 20.0   13.5868   22.9997   22.0901   19.9562   17.8479   22.1521
 21.0   14.9493   22.4010   20.4260   18.2014   17.0304   21.3228
 22.0   14.4214   20.8853   18.5991   17.1336   17.3472   17.0304
 23.0   12.2047   19.0314   17.3074   17.1607   18.6772   20.5125
 24.0    9.1458   17.5475   17.0441   18.2723   20.5125   22.6528
 25.0    6.4132   17.0003   17.9099   20.0438   22.1521   17.8479
 26.0    5.0507   17.5990   19.5740   21.7986   22.9696   18.6772
 27.0    5.5786   19.1147   21.4009   22.8664   22.6528   22.9696
 28.0    7.7953   20.9686   22.6926   22.8393   21.3228   19.4875
 29.0   10.8542   22.4525   22.9559   21.7277   19.4875   17.3472
 30.0   13.5868   22.9997   22.0901   19.9562   17.8479   22.1521
 31.0   14.9493   22.4010   20.4260   18.2014   17.0304   21.3228
 32.0   14.4214   20.8853   18.5991   17.1336   17.3472   17.0304
 33.0   12.2047   19.0314   17.3074   17.1607   18.6772   20.5125
 34.0    9.1458   17.5475   17.0441   18.2723   20.5125   22.6528
 35.0    6.4132   17.0003   17.9099   20.0438   22.1521   17.8479
 36.0    5.0507   17.5990   19.5740   21.7986   22.9696   18.6772
 37.0    5.5786   19.1147   21.4009   22.8664   22.6529   22.9696
 38.0    7.7953   20.9686   22.6926   22.8393   21.3228   19.4875
 39.0   10.8542   22.4525   22.9559   21.7277   19.4875   17.3472
 40.0   13.5868   22.9997   22.0901   19.9562   17.8479   22.1521
 41.0   14.9493   22.4010   20.4260   18.2014   17.0304   21.3228
 42.0   14.4214   20.8853   18.5991   17.1336   17.3472   17.0304
 43.0   12.2047   19.0314   17.3074   17.1607   18.6772   20.5126
 44.0    9.1458   17.5475   17.0441   18.2723   20.5125   22.6528
 45.0    6.4132   17.0003   17.9099   20.0438   22.1521   17.8479
 46.0    5.0507   17.5990   19.5740   21.7986   22.9696   18.6772
 47.0    5.5786   19.1147   21.4009   22.8664   22.6528   22.9696
 48.0    7.7953   20.9686   22.6926   22.8393   21.3228   19.4875
 49.0   10.8542   22.4525   22.9559   21.7277   19.4875   17.3472
 50.0   13.5868   22.9997   22.0901   19.9562   17.8479   22.1521
 51.0   14.9493   22.4010   20.4260   18.2014   17.0304   21.3228
 52.0   14.4214   20.8853   18.5991   17.1336   17.3472   17.0304
 53.0   12.2047   19.0314   17.3074   17.1607   18.6772   20.5126
 54.0    9.1458   17.5475   17.0441   18.2723   20.5125   22.6528
 55.0    6.4132   17.0003   17.9099   20.0438   22.1521   17.8479
 56.0    5.0507   17.5989   19.5740   21.7986   22.9696   18.6772
 57.0    5.5786   19.1147   21.4009   22.8664   22.6528   22.9696
 58.0    7.7953   20.9686   22.6926   22.8393   21.3228   19.4875
 59.0   10.8542   22.4525   22.9559   21.7277   19.4875   17.3472
 60.0   13.5868   22.9997   22.0901   19.9562   17.8479   22.1521
 61.0   14.9493   22.4010   20.4260   18.2014   17.0304   21.3228
 62.0   14.4214   20.8853   18.5991   17.1336   17.3472   17.0304
 63.0   12.2047   19.0314   17.3074   17.1607   18.6772   20.5126
 64.0    9.1458   17.5475   17.0441   18.2723   20.5125   22.6528
 65.0    6.4132   17.0003   17.9099   20.0438   22.1521   17.8479
 66.0    5.0507   17.5990   19.5740   21.7986   22.9696   18.6772
 67.0    5.5786   19.1147   21.4009   22.8664   22.6528   22.9696
 68.0    7.7953   20.9686   22.6926   22.8393   21.3228   19.4875
 69.0   10.8542   22.4525   22.9559   21.7277   19.4875   17.3472
 70.0   13.5868   22.9997   22.0901   19.9562   17.8479   22.1521
 71.0   14.9493   22.4010   20.4260   18.2014   17.0304   21.3227
 72.0   14.4214   20.8853   18.5991   17.1336   17.3472   17.0304
 73.0   12.2047   19.0314   17.3074   17.1607   18.6772   20.5126
 74.0    9.1458   17.5475   17.0441   18.2723   20.5125   22.6528
 75.0    6.4132   17.0003   17.9099   20.0438   22.1521   17.8479
 76.0    5.0507   17.5990   19.5740   21.7986   22.9696   18.6772
 77.0    5.5786   19.1147   21.4009   22.8664   22.6528   22.9696
 78.0    7.7953   20.9686   22.6926   22.8393   21.3228   19.4874
 79.0   10.8542   22.4525   22.9559   21.7277   19.4875   17.3472
 80.0   13.5868   22.9997   22.0901   19.9562   17.8479   22.1521
 81.0   14.9493   22.4010   20.4260   18.2014   17.0304   21.3228
 82.0   14.4214   20.8853   18.5991   17.1336   17.3472   17.0304
 83.0   12.2047   19.0314   17.3074   17.1607   18.6772   20.5126
 84.0    9.1458   17.5475   17.0441   18.2723   20.5125   22.6528
 85.0    6.4132   17.0003   17.9099   20.0438   22.1521   17.8479
 86.0    5.0507   17.5990   19.5740   21.7986   22.9696   18.6773
 87.0    5.5786   19.1147   21.4009   22.8664   22.6528   22.9696
 88.0    7.7953   20.9686   22.6926   22.8393   21.3228   19.4874
 89.0   10.8542   22.4525   22.9559   21.7277   19.4875   17.3472
 90.0   13.5868   22.9997   22.0901   19.9562   17.8479   22.1521
 91.0   14.9493   22.4010   20.4260   18.2014   17.0304   21.3227
 92.0   14.4214   20.8853   18.5991   17.1336   17.3472   17.0304
 93.0   12.2047   19.0314   17.3074   17.1607   18.6772   20.5126
 94.0    9.1458   17.5475   17.0441   18.2723   20.5125   22.6528
 95.0    6.4132   17.0003   17.9099   20.0438   22.1521   17.8479
 96.0    5.0507   17.5990   19.5740   21.7986   22.9696   18.6772
 97.0    5.5786   19.1147   21.4009   22.8664   22.6528   22.9696
 98.0    7.7953   20.9686   22.6926   22.8393   21.3228   19.4874
 99.0   10.8542   22.4525   22.9559   21.7277   19.4875   17.3472
100.0   13.5868   22.9997   22.0901   19.9562   17.8479   22.1521
