This is dataplot data file     DDS1.DAT
DDS Example 1--Gate-opening (aperture) adjustment
               in paper making process.
Source--Pandit, Sudhakar M, and Wu, Shien-Ming (1983).
        Time Series and System Analysis with Applications.
        Wiley, New York, Appendix 1, Table A1.
Number of observations             = 160
Number of variables per line image =   2
Order of variables on a line image--
   1. Response variable Y = gate opening aperature (mm)
   2. Factor 1            = time (hours)
Statistics category--time series analysis
                   --univariate analysis
To read this file into Dataplot--
   SKIP 25
   READ DDS1.DAT Y X
 
 
 
 
 
 
     Y              X
gate aperture      time
-------------------------
   33.5            0.33
   34.0            0.67
   33.5            1.00
   33.5            1.33
   33.5            1.67
   33.0            2.00
   33.0            2.33
   33.5            2.67
   33.5            3.00
   33.3            3.33
   33.3            3.67
   33.5            4.00
   33.0            4.33
   32.5            4.67
   32.5            5.00
   32.8            5.33
   32.8            5.67
   32.5            6.00
   32.5            6.33
   32.2            6.67
   32.5            7.00
   32.5            7.33
   32.5            7.67
   32.3            8.00
   32.0            8.33
   32.5            8.67
   32.5            9.00
   32.5            9.33
   34.0            9.67
   33.3           10.00
   33.0           10.33
   32.5           10.67
   32.5           11.00
   32.5           11.33
   32.8           11.67
   32.8           12.00
   32.8           12.33
   32.2           12.67
   32.7           13.00
   33.0           13.33
   33.0           13.67
   33.0           14.00
   32.5           14.33
   32.0           14.67
   32.0           15.00
   31.8           15.33
   31.8           15.67
   31.8           16.00
   32.5           16.33
   32.7           16.67
   32.7           17.00
   32.0           17.33
   32.0           17.67
   32.6           18.00
   32.4           18.33
   32.4           18.67
   32.5           19.00
   32.5           19.33
   32.5           19.67
   32.5           20.00
   32.8           20.33
   32.5           20.67
   32.5           21.00
   32.4           21.33
   32.4           21.67
   32.4           22.00
   32.4           22.33
   32.0           22.67
   32.1           23.00
   32.1           23.33
   32.1           23.67
   31.6           24.00
   31.6           24.33
   31.5           24.67
   31.5           25.00
   31.2           25.33
   31.2           25.67
   31.4           26.00
   31.4           26.33
   31.4           26.67
   31.4           27.00
   31.6           27.33
   31.2           27.67
   31.8           28.00
   32.2           28.33
   32.0           28.67
   32.3           29.00
   32.0           29.33
   31.5           29.67
   31.2           30.00
   31.2           30.33
   31.2           30.67
   31.2           31.00
   31.2           31.33
   31.2           31.67
   31.0           32.00
   31.0           32.33
   31.2           32.67
   31.2           33.00
   32.2           33.33
   32.2           33.67
   32.2           34.00
   31.5           34.33
   31.5           34.67
   31.5           35.00
   31.6           35.33
   31.6           35.67
   31.8           36.00
   31.6           36.33
   31.4           36.67
   31.4           37.00
   31.4           37.33
   31.8           37.67
   32.0           38.00
   31.8           38.33
   31.8           38.67
   31.6           39.00
   31.6           39.33
   31.8           39.67
   31.8           40.00
   31.8           40.33
   31.8           40.67
   32.5           41.00
   32.3           41.33
   32.0           41.67
   32.0           42.00
   32.0           42.33
   31.5           42.67
   31.5           43.00
   31.5           43.33
   31.5           43.67
   31.5           44.00
   32.0           44.33
   32.0           44.67
   32.3           45.00
   32.3           45.33
   32.3           45.67
   32.0           46.00
   32.0           46.33
   31.2           46.67
   31.2           47.00
   31.0           47.33
   30.7           47.67
   30.7           48.00
   30.7           48.33
   30.7           48.67
   30.7           49.00
   30.7           49.33
   31.0           49.67
   31.0           50.00
   30.7           50.33
   30.7           50.67
   31.0           51.00
   31.0           51.33
   31.3           51.67
   31.3           52.00
   32.0           52.33
   31.3           52.67
   31.5           53.00
   31.5           53.33
