This is Dataplot data file     NAKATAN3.DAT
Small Angle Neutron Scattering
Alan Nakatani, NIST, Polymers Division (854)
Response Variable                  = Intensity
Number of observations             = 93
Number of variables per line image = 3
Order of variables per line image--
   Response variable = intensity
   Factor 1          = wavelength
   "Factor 2"        = standard deviation (intensity)
Statistical areas--Non-linear Fitting
Recommended model--Type 3
Recommended starting values: ...
To read this file into Dataplot--
      SKIP 25
      READ NAKATAN3.DAT Y X SDY






Intensity    Wavelength   SD(intensity)
    Y            X            SDY
---------------------------------------
 0.3563      0.3694E-03     0.6839E-01
 0.4336      0.1108E-02     0.1142
 0.6801      0.1847E-02     0.1010
  1.792      0.2586E-02     0.2492
  3.214      0.3325E-02     0.2943
  5.801      0.4064E-02     0.4202
  8.104      0.4802E-02     0.3758
  10.51      0.5541E-02     0.2784
  12.13      0.6280E-02     0.2443
  13.32      0.7019E-02     0.2150
  13.80      0.7757E-02     0.2173
  14.23      0.8496E-02     0.2091
  14.39      0.9235E-02     0.1874
  14.17      0.9973E-02     0.1342
  13.73      0.1071E-01     0.1327
  13.45      0.1145E-01     0.1479
  13.39      0.1219E-01     0.1543
  13.17      0.1293E-01     0.1393
  12.88      0.1367E-01     0.1219
  12.50      0.1440E-01     0.9989E-01
  12.28      0.1514E-01     0.1084
  11.90      0.1588E-01     0.1217
  11.90      0.1662E-01     0.1103
  11.71      0.1736E-01     0.1086
  11.40      0.1809E-01     0.9272E-01
  11.06      0.1883E-01     0.9755E-01
  10.69      0.1957E-01     0.8582E-01
  10.64      0.2031E-01     0.8764E-01
  10.33      0.2104E-01     0.8277E-01
  9.822      0.2178E-01     0.7835E-01
  9.647      0.2252E-01     0.8146E-01
  9.596      0.2326E-01     0.8221E-01
  9.528      0.2399E-01     0.8255E-01
  9.288      0.2473E-01     0.6979E-01
  9.024      0.2547E-01     0.6656E-01
  8.781      0.2620E-01     0.6859E-01
  8.662      0.2694E-01     0.7062E-01
  8.409      0.2768E-01     0.7050E-01
  8.228      0.2841E-01     0.6719E-01
  8.062      0.2915E-01     0.6813E-01
  7.875      0.2989E-01     0.6464E-01
  7.629      0.3062E-01     0.6301E-01
  7.485      0.3136E-01     0.6840E-01
  7.396      0.3209E-01     0.6186E-01
  7.127      0.3283E-01     0.6029E-01
  6.895      0.3357E-01     0.5419E-01
  6.785      0.3430E-01     0.5714E-01
  6.698      0.3504E-01     0.5623E-01
  6.496      0.3577E-01     0.5247E-01
  6.482      0.3651E-01     0.5380E-01
  6.365      0.3724E-01     0.5091E-01
  6.190      0.3798E-01     0.4865E-01
  5.944      0.3871E-01     0.4677E-01
  5.854      0.3944E-01     0.4526E-01
  5.668      0.4018E-01     0.4366E-01
  5.578      0.4091E-01     0.4493E-01
  5.499      0.4165E-01     0.4512E-01
  5.439      0.4238E-01     0.4560E-01
  5.394      0.4311E-01     0.4864E-01
  5.321      0.4385E-01     0.4947E-01
  5.457      0.4458E-01     0.9178E-01
  5.153      0.4531E-01     0.7223E-01
  5.147      0.4604E-01     0.1114
  4.867      0.4678E-01     0.1136
  4.681      0.4751E-01     0.1146
  4.282      0.4824E-01     0.1217
  4.158      0.4897E-01     0.1203
  4.111      0.4970E-01     0.1366
  4.142      0.5044E-01     0.1323
  4.037      0.5117E-01     0.1292
  3.965      0.5190E-01     0.1299
  3.941      0.5263E-01     0.1457
  3.966      0.5336E-01     0.1549
  3.940      0.5409E-01     0.1753
  3.700      0.5482E-01     0.1507
  3.610      0.5555E-01     0.1482
  3.632      0.5628E-01     0.1747
  3.544      0.5701E-01     0.1963
  3.362      0.5774E-01     0.1802
  3.454      0.5846E-01     0.2283
  3.190      0.5919E-01     0.2373
  3.462      0.5992E-01     0.2407
  3.416      0.6065E-01     0.3061
  3.247      0.6138E-01     0.2946
  2.670      0.6210E-01     0.3617
  2.479      0.6283E-01     0.3966
  2.045      0.6356E-01     0.3637
  1.992      0.6428E-01     0.4920
  1.447      0.6501E-01     0.3989
  1.243      0.6574E-01     0.3310
  1.030      0.6646E-01     0.2871
 0.5664      0.6719E-01     0.8206E-01
 0.7631      0.6791E-01     0.0000E+00
