This is dataplot data file     sarkar66_allresponses_040219.dat  (n = 7700)   4/2/19
Contents: All xx responses for Sumona Sarkar's cell counting experiment
Contact:  Sumona Sarkar, Laura Pierce, John Elliott
Date:     4/2/19
Number of observations = 7700 records = 11 conditions x 70 protocols x 10 "coded" images (actually 50 images)
Number of variables per line image = 19 (= 8 + 3 + 8)
Order of variables on a line image:
    1. Response 1 = TCC (Total  Cell Counts)
    2. Response 2 = VCC (Viable Cell Counts)
    3. Response 3 = DCC (Dead   Cell Counts)
    4. Response 4 = V   (Viability (%))
    5. Response 5 = ETCC (|Error| in Total  Cell Counts)
    6. Response 6 = EVCC (|Error| in Viable Cell Counts)
    7. Response 7 = EDCC (|Error| in Dead   Cell Counts)
    8. Response 8 = EV   (|Error| in Viability (%))
    9. Factor   1 = Cell Condition     (11 levels:  1 to 11)
                                                   1 = Bead Spiked	
                                                   2 = FPTB Spike-in	
                                                   3 = Heat Spike-in	
                                                   4 = LF Spike-in 50	
                                                   5 = LFP	
                                                   6 = Healthy	
                                                   7 = OG	
                                                   8 = Heat Comp (2hr)	
                                                   9 = Heat Comp (4hr)	
                                                  10 = H2O2	
                                                  11 = DMSO THAW
   10. Factor   2 = Images             (50 levels:  1 to 50???)
   11. Factor   3 = DEX Image Protocol (70 levels:  1 to 64 = core 2**(8-2) design,
                                                        65 = "center point" #1),
                                                        66 = "center point" #2)
                                                        67 = Laura)
                                                        68 = Sumona)
                                                        69 = H)
                                                        70 = F)
   12. Factor   4 = Protocol Factor 1 = Min Diameter        (2 levels:   5 and   8)
   13. Factor   5 = Protocol Factor 2 = Max Diameter        (2 levels:  30 and  60)
   14. Factor   6 = Protocol Factor 3 = Cell Brightness (%) (2 levels:  75 and  90)
   15. Factor   7 = Protocol Factor 4 = Cell Sharpness      (2 levels:  60 and 100)
   16. Factor   8 = Protocol Factor 5 = VCS Brightness (%)  (2 levels:  65 and  85)
   17. Factor   9 = Protocol Factor 6 = VCS Area (%)        (2 levels:   5 and  20)
   18. Factor  10 = Protocol Factor 7 = Min Circularity     (2 levels: 0.1 and 0.5)
   19. Factor  11 = Protocol Factor 8 = De-cluster Degree   (2 levels: Low and Med)

Experiment Design (Core): 2**(8-2) (k=8,n=64)    Resolution = 5 = 4+1 (thus the 8 main effects are confounded with 
                                                              some 4-level interactions and higher, but
                                                              not with any of the 28 2-level or 56 3-level interactions)

To read this data file into dataplot:
   skip 60; read     sarkar66_allresponses_040219      y1 to y8   x9 x10 x11   x1 to x8
   let cond = x9; let image = x10; let prot = x11
 

 

Y1	Y2	Y3	   Y4	  Y5	Y6	Y7	Y8		X10	X11	X9		X1	X2	X3	X4	X5	X6	X7	X8
Total	Viable	Dead 	Viability	Abs	Abs 	Abs 	Abs 		Condition	Image	Protocol 		Min	Max	Cell 	Cell 	Viable Cell	Viable Cell	Min 	Decluster
Cell	Cell	Cell		Error in	Error in	Error in	 Error in 						Diam	Diam	Brightness	Sharpness	Spot Bright.	Spot Area	Circularity	Degree
Count	Count	Count	Viability	TCC	VCC	DCC	% Viability			Image	Protocol 		(um)	(um)	%	%	%	%
-------------------------------------------------------------------------------------------------------------------------------------------------------------------		
15	7	8	46.66666667	1	0	1	2.916666667		1	3	1		5	30	75	60	65	5	0.5	2
13	3	10	23.07692308	0.5	0	0.5	1.241258741		1	4	1		5	30	75	60	65	5	0.5	2
6	3	3	50	0.25	0.25	0	1.785714286		1	10	1		5	30	75	60	65	5	0.5	2
10	4	6	40	1	1	0	6.666666667		1	21	1		5	30	75	60	65	5	0.5	2
13	4	9	30.76923077	0.5	0.5	0	2.472527473		1	23	1		5	30	75	60	65	5	0.5	2
15	11	4	73.33333333	0.25	1.5	1.25	8.556547619		1	24	1		5	30	75	60	65	5	0.5	2
19	10	9	52.63157895	3.75	3	0.75	4.413875598		1	34	1		5	30	75	60	65	5	0.5	2
9	2	7	22.22222222	0.25	0	0.25	0.555555556		1	42	1		5	30	75	60	65	5	0.5	2
14	8	6	57.14285714	1.5	0	1.5	6.95970696		1	45	1		5	30	75	60	65	5	0.5	2
11	7	4	63.63636364	1.5	0.25	1.75	9.294871795		1	47	1		5	30	75	60	65	5	0.5	2
15	7	8	46.66666667	1	0	1	2.916666667		1	3	2		8	30	75	60	65	5	0.1	1
12	3	9	25	0.5	0	0.5	0.681818182		1	4	2		8	30	75	60	65	5	0.1	1
6	3	3	50	0.25	0.25	0	1.785714286		1	10	2		8	30	75	60	65	5	0.1	1
9	3	6	33.33333333	0	0	0	0		1	21	2		8	30	75	60	65	5	0.1	1
13	4	9	30.76923077	0.5	0.5	0	2.472527473		1	23	2		8	30	75	60	65	5	0.1	1
15	11	4	73.33333333	0.25	1.5	1.25	8.556547619		1	24	2		8	30	75	60	65	5	0.1	1
19	10	9	52.63157895	3.75	3	0.75	4.413875598		1	34	2		8	30	75	60	65	5	0.1	1
9	2	7	22.22222222	0.25	0	0.25	0.555555556		1	42	2		8	30	75	60	65	5	0.1	1
14	8	6	57.14285714	1.5	0	1.5	6.95970696		1	45	2		8	30	75	60	65	5	0.1	1
11	6	5	54.54545455	1.5	0.75	0.75	0.203962704		1	47	2		8	30	75	60	65	5	0.1	1
15	7	8	46.66666667	1	0	1	2.916666667		1	3	3		5	60	75	60	65	5	0.1	1
13	3	10	23.07692308	0.5	0	0.5	1.241258741		1	4	3		5	60	75	60	65	5	0.1	1
6	3	3	50	0.25	0.25	0	1.785714286		1	10	3		5	60	75	60	65	5	0.1	1
10	4	6	40	1	1	0	6.666666667		1	21	3		5	60	75	60	65	5	0.1	1
13	4	9	30.76923077	0.5	0.5	0	2.472527473		1	23	3		5	60	75	60	65	5	0.1	1
15	11	4	73.33333333	0.25	1.5	1.25	8.556547619		1	24	3		5	60	75	60	65	5	0.1	1
19	10	9	52.63157895	3.75	3	0.75	4.413875598		1	34	3		5	60	75	60	65	5	0.1	1
9	2	7	22.22222222	0.25	0	0.25	0.555555556		1	42	3		5	60	75	60	65	5	0.1	1
14	8	6	57.14285714	1.5	0	1.5	6.95970696		1	45	3		5	60	75	60	65	5	0.1	1
12	7	5	58.33333333	0.5	0.25	0.75	3.991841492		1	47	3		5	60	75	60	65	5	0.1	1
15	7	8	46.66666667	1	0	1	2.916666667		1	3	4		8	60	75	60	65	5	0.5	2
12	3	9	25	0.5	0	0.5	0.681818182		1	4	4		8	60	75	60	65	5	0.5	2
6	3	3	50	0.25	0.25	0	1.785714286		1	10	4		8	60	75	60	65	5	0.5	2
10	4	6	40	1	1	0	6.666666667		1	21	4		8	60	75	60	65	5	0.5	2
13	4	9	30.76923077	0.5	0.5	0	2.472527473		1	23	4		8	60	75	60	65	5	0.5	2
15	11	4	73.33333333	0.25	1.5	1.25	8.556547619		1	24	4		8	60	75	60	65	5	0.5	2
19	10	9	52.63157895	3.75	3	0.75	4.413875598		1	34	4		8	60	75	60	65	5	0.5	2
9	2	7	22.22222222	0.25	0	0.25	0.555555556		1	42	4		8	60	75	60	65	5	0.5	2
14	8	6	57.14285714	1.5	0	1.5	6.95970696		1	45	4		8	60	75	60	65	5	0.5	2
10	6	4	60	2.5	0.75	1.75	5.658508159		1	47	4		8	60	75	60	65	5	0.5	2
16	7	9	43.75	0	0	0	0		1	3	5		5	30	90	60	65	5	0.1	2
13	3	10	23.07692308	0.5	0	0.5	1.241258741		1	4	5		5	30	90	60	65	5	0.1	2
6	3	3	50	0.25	0.25	0	1.785714286		1	10	5		5	30	90	60	65	5	0.1	2
9	3	6	33.33333333	0	0	0	0		1	21	5		5	30	90	60	65	5	0.1	2
14	5	9	35.71428571	0.5	0.5	0	2.472527473		1	23	5		5	30	90	60	65	5	0.1	2
17	12	5	70.58823529	2.25	2.5	0.25	5.81144958		1	24	5		5	30	90	60	65	5	0.1	2
24	16	8	66.66666667	1.25	3	1.75	9.621212121		1	34	5		5	30	90	60	65	5	0.1	2
10	3	7	30	0.75	1	0.25	8.333333333		1	42	5		5	30	90	60	65	5	0.1	2
15	10	5	66.66666667	2.5	2	0.5	2.564102564		1	45	5		5	30	90	60	65	5	0.1	2
13	9	4	69.23076923	0.5	2.25	1.75	14.88927739		1	47	5		5	30	90	60	65	5	0.1	2
16	7	9	43.75	0	0	0	0		1	3	6		8	30	90	60	65	5	0.5	1
13	3	10	23.07692308	0.5	0	0.5	1.241258741		1	4	6		8	30	90	60	65	5	0.5	1
6	3	3	50	0.25	0.25	0	1.785714286		1	10	6		8	30	90	60	65	5	0.5	1
9	3	6	33.33333333	0	0	0	0		1	21	6		8	30	90	60	65	5	0.5	1
14	5	9	35.71428571	0.5	0.5	0	2.472527473		1	23	6		8	30	90	60	65	5	0.5	1
16	11	5	68.75	1.25	1.5	0.25	3.973214286		1	24	6		8	30	90	60	65	5	0.5	1
22	14	8	63.63636364	0.75	1	1.75	6.590909091		1	34	6		8	30	90	60	65	5	0.5	1
9	2	7	22.22222222	0.25	0	0.25	0.555555556		1	42	6		8	30	90	60	65	5	0.5	1
13	9	4	69.23076923	0.5	1	0.5	5.128205128		1	45	6		8	30	90	60	65	5	0.5	1
12	8	4	66.66666667	0.5	1.25	1.75	12.32517483		1	47	6		8	30	90	60	65	5	0.5	1
16	7	9	43.75	0	0	0	0		1	3	7		5	60	90	60	65	5	0.5	1
13	3	10	23.07692308	0.5	0	0.5	1.241258741		1	4	7		5	60	90	60	65	5	0.5	1
6	3	3	50	0.25	0.25	0	1.785714286		1	10	7		5	60	90	60	65	5	0.5	1
9	3	6	33.33333333	0	0	0	0		1	21	7		5	60	90	60	65	5	0.5	1
14	5	9	35.71428571	0.5	0.5	0	2.472527473		1	23	7		5	60	90	60	65	5	0.5	1
