JOSEPHSON JUNCTION CRYOTHERMOMETRY EXPERIMENT
BOB SOULEN
DATE--OCTOBER 1971
RESPONSE VARIABLE = COUNTS
NUMBER OF OBSERVATIONS = 700
NUMBER OF LINE IMAGES  = 140
NUMBER OF VARIABLES RECORDED = 1 (VOLTAGE COUNTS)
(BUT WITH 5 OBSERVATIONS PER LINE IMAGE)
FORMAT FOR A LINE = 5F5.0
NOTE--THE JOSEPHSON JUNCTION CAN BE USED AS A
      CRYOTHERMOMETRY DEVICE.
      BOB'S EXPERIMENT IS AN ALTERNATE APPROACH
      TO HARVEY MARSHAK'S NUCLEAR THERMOMETRY CRYOTHERMOMETER.
STATISTICAL AREAS--UNIVARIATE ANALYSIS, 4-PLOT, OUTLIER ANALYSIS
                   DISTRIBUTIONAL ANALYSIS
                   TIME SERIES ANALYSIS
                   SHEPHERD'S CORRECTION
TO READ THIS FILE INTO DATAPLOT--
   SKIP 25
   SERIAL READ SOULEN0.DAT Y
TO READ THIS FILE INTO DATAPLOT EVEN FASTER--
   SKIP 25
   SET READ FORMAT 5F5.0
   SERIAL READ SOULEN0.DAT Y

 2899 2898 2898 2900 2898
 2901 2899 2901 2900 2898
 2898 2898 2898 2900 2898
 2897 2899 2897 2899 2899
 2900 2897 2900 2900 2899
 2898 2898 2899 2899 2899
 2899 2899 2898 2899 2899
 2899 2902 2899 2900 2898
 2899 2899 2899 2899 2899
 2899 2900 2899 2900 2898
 2901 2900 2899 2899 2899
 2899 2899 2900 2899 2898
 2898 2898 2900 2896 2897
 2899 2899 2900 2898 2900
 2901 2898 2899 2901 2900
 2898 2900 2899 2899 2897
 2899 2898 2899 2899 2898
 2899 2897 2899 2899 2897
 2899 2897 2899 2897 2897
 2899 2897 2898 2898 2899
 2897 2898 2897 2899 2899
 2898 2898 2897 2898 2895
 2897 2898 2898 2896 2898
 2898 2897 2896 2898 2898
 2897 2897 2898 2898 2896
 2898 2898 2896 2899 2898
 2898 2898 2899 2899 2898
 2898 2899 2899 2899 2900
 2900 2901 2899 2898 2898
 2900 2899 2898 2901 2897
 2898 2898 2900 2899 2899
 2898 2898 2899 2898 2901
 2900 2897 2897 2898 2898
 2900 2898 2899 2898 2898
 2898 2896 2895 2898 2898
 2898 2898 2897 2897 2895
 2897 2897 2900 2898 2896
 2897 2898 2898 2899 2898
 2897 2898 2898 2896 2900
 2899 2898 2896 2898 2896
 2896 2896 2897 2897 2896
 2897 2897 2896 2898 2896
 2898 2896 2897 2896 2897
 2897 2898 2897 2896 2895
 2898 2896 2896 2898 2896
 2898 2898 2897 2897 2898
 2897 2899 2896 2897 2899
 2900 2898 2898 2897 2898
 2899 2899 2900 2900 2900
 2900 2899 2899 2899 2898
 2900 2901 2899 2898 2900
 2901 2901 2900 2899 2898
 2901 2899 2901 2900 2901
 2898 2900 2900 2898 2900
 2900 2898 2899 2901 2900
 2899 2899 2900 2900 2899
 2900 2901 2899 2898 2898
 2899 2896 2898 2897 2898
 2898 2897 2897 2897 2898
 2897 2899 2900 2899 2897
 2898 2900 2900 2898 2898
 2899 2900 2898 2900 2900
 2898 2900 2898 2898 2898
 2898 2898 2899 2898 2900
 2897 2899 2898 2899 2898
 2897 2900 2901 2899 2898
 2898 2901 2898 2899 2897
 2899 2897 2896 2898 2898
 2899 2900 2896 2897 2897
 2898 2899 2899 2898 2898
 2897 2897 2898 2897 2897
 2898 2898 2898 2896 2895
 2898 2898 2898 2896 2898
 2898 2898 2897 2897 2899
 2896 2900 2897 2897 2898
 2896 2897 2898 2898 2898
 2897 2897 2898 2899 2897
 2898 2899 2897 2900 2896
 2899 2897 2898 2897 2900
 2899 2900 2897 2897 2898
 2897 2899 2899 2898 2897
 2901 2900 2898 2901 2899
 2900 2899 2898 2900 2900
 2899 2898 2897 2900 2898
 2898 2897 2899 2898 2900
 2899 2898 2899 2897 2900
 2898 2902 2897 2898 2899
 2899 2899 2898 2897 2898
 2897 2898 2899 2900 2900
 2899 2898 2899 2900 2899
 2900 2899 2899 2899 2899
 2899 2898 2899 2899 2900
 2902 2899 2900 2900 2901
 2899 2901 2899 2899 2902
 2898 2898 2898 2898 2899
 2899 2900 2900 2900 2898
 2899 2899 2900 2899 2900
 2899 2900 2898 2898 2898
 2900 2898 2899 2900 2899
 2899 2900 2898 2898 2899
 2899 2899 2899 2898 2898
 2897 2898 2899 2897 2897
 2901 2898 2897 2898 2899
 2898 2897 2899 2898 2897
 2898 2898 2897 2898 2899
 2899 2899 2899 2900 2899
