This is Dataplot data file     AUTO83B.DAT
U.S versus Japan Auto mpg
Bivariate Analysis of 1983 EPA Auto MPG (for autos 1970 to 1982)
ASA Graphics Exposition (1983) (Toronto)--Graphics Exhibition #2
Response variable                  = miles per gallon
Number of observations             = 249 (U.S.) and 79 (Japan)
Number of variables per line image =   2
Order of variables on a line image--
   1. Response variable 1 = miles per gallon for U.S.  cars
   2. Response variable 1 = miles per gallon for Japan cars
Statistical area--1-factor
                  multivariate (bivariate)
                  t-test, bihistogram
                  quantile-quantile plot
Note--The -999 for the Japan data indicates
      that the data should be deleted
Note--This is not a paired comparison
To read this file into Dataplot--
   SKIP 25
   READ AUTO83B.DAT Y1 Y2
   DELETE Y2 SUBSET Y2 < 0
 
   Mpg         Mpg
 (U.S.)      (Japan)
-----------------------
   18           24
   15           27
   18           27
   16           25
   17           31
   15           35
   14           24
   14           19
   14           28
   15           23
   15           27
   14           20
   15           22
   14           18
   22           20
   18           31
   21           32
   21           31
   10           32
   10           24
   11           26
    9           29
   28           24
   25           24
   19           33
   16           33
   17           32
   19           28
   18           19
   14           32
   14           34
   14           26
   14           30
   12           22
   13           22
   13           33
   18           39
   22           36
   19           28
   18           27
   23           21
   26           24
   25           30
   20           34
   21           32
   13           38
   14           37
   15           30
   14           31
   17           37
   11           32
   13           47
   12           41
   13           45
   15           34
   13           33
   13           24
   14           32
   22           39
   28           35
   13           32
   14           37
   13           38
   14           34
   15           34
   12           32
   13           33
   13           32
   14           25
   13           24
   12           37
   13           31
   18           36
   16           36
   18           34
   18           38
   23           32
   11           38
   12           32
   13         -999
   12         -999
   18         -999
   21         -999
   19         -999
   21         -999
   15         -999
   16         -999
   15         -999
   11         -999
   20         -999
   21         -999
   19         -999
   15         -999
   26         -999
   25         -999
   16         -999
   16         -999
   18         -999
   16         -999
   13         -999
   14         -999
   14         -999
   14         -999
   28         -999
   19         -999
   18         -999
   15         -999
   15         -999
   16         -999
   15         -999
   16         -999
   14         -999
   17         -999
   16         -999
   15         -999
   18         -999
   21         -999
   20         -999
   13         -999
   23         -999
   20         -999
   23         -999
   18         -999
   19         -999
   25         -999
   26         -999
   18         -999
   16         -999
   16         -999
   15         -999
   22         -999
   22         -999
   24         -999
   23         -999
   29         -999
   25         -999
   20         -999
   18         -999
   19         -999
   18         -999
   27         -999
   13         -999
   17         -999
   13         -999
   13         -999
   13         -999
   30         -999
   26         -999
   18         -999
   17         -999
   16         -999
   15         -999
   18         -999
   21         -999
   19         -999
   19         -999
   16         -999
   16         -999
   16         -999
   16         -999
   25         -999
   26         -999
   31         -999
   34         -999
   36         -999
   20         -999
   19         -999
   20         -999
   19         -999
   21         -999
   20         -999
   25         -999
   21         -999
   19         -999
   21         -999
   21         -999
   19         -999
   18         -999
   19         -999
   18         -999
   18         -999
   18         -999
   30         -999
   31         -999
   23         -999
   24         -999
   22         -999
   20         -999
   22         -999
   20         -999
   21         -999
   17         -999
   18         -999
   17         -999
   18         -999
   17         -999
   16         -999
   19         -999
   19         -999
   36         -999
   27         -999
   23         -999
   24         -999
   34         -999
   35         -999
   28         -999
   29         -999
   27         -999
   34         -999
   32         -999
   28         -999
   26         -999
   24         -999
   19         -999
   28         -999
   24         -999
   27         -999
   27         -999
   26         -999
   24         -999
   30         -999
   39         -999
   35         -999
   34         -999
   30         -999
   22         -999
   27         -999
   20         -999
   18         -999
   28         -999
   27         -999
   34         -999
   31         -999
   29         -999
   27         -999
   24         -999
   23         -999
   38         -999
   36         -999
   25         -999
   38         -999
   26         -999
   22         -999
   36         -999
   27         -999
   27         -999
   32         -999
   28         -999
   31         -999
