This is Dataplot data file     QUASIBIE.DAT
Quasi-biennial Index (= equatorial wind direction index near Singapore)
Source--Jim Elkins (NOAA) Janaury 1995
Note--quasi-biennial oscillation is the shift in wind direction
      at the equator approximately every 2 years.
Importance--Quasi-biennial oscillation is related to the
            transport of gases between the hemispheres
            and into the upper atmosphere.
Note--easterly winds indicated by negative values
      westerly winds indicated by positive values
      missing values indicated by -999
Number of observations             = 341
Number of variables per line image =   4
Order of variables per line image--
   1. Response variable = wind velocity (negative value = from east)
   2. Factor 1          = year and fraction of a year
   3. Factor 2          = year (1958 to 1992)
   4. Factor 3          = month (1 to 12)
Statistical category--time series analysis
To read this file into Dataplot--
   SKIP 25
   READ QUASIBIE.DAT Y X YEAR MONTH
 
    QBI      Year&Month       Year      Month
-----------------------------------------------
      4        1964.08        1964        1
     23        1964.17        1964        2
     17        1964.25        1964        3
     17        1964.33        1964        4
     14        1964.42        1964        5
     11        1964.50        1964        6
   -999        1964.58        1964        7
      4        1964.67        1964        8
     -8        1964.75        1964        9
    -13        1964.83        1964       10
    -16        1964.92        1964       11
    -11        1965.00        1964       12
 
    -13        1965.08        1965        1
    -15        1965.17        1965        2
    -21        1965.25        1965        3
    -37        1965.33        1965        4
    -51        1965.42        1965        5
    -58        1965.50        1965        6
    -54        1965.58        1965        7
    -61        1965.67        1965        8
    -53        1965.75        1965        9
    -52        1965.83        1965       10
    -56        1965.92        1965       11
    -54        1966.00        1965       12
 
    -44        1966.08        1966        1
    -14        1966.17        1966        2
     10        1966.25        1966        3
     17        1966.33        1966        4
     18        1966.42        1966        5
     19        1966.50        1966        6
     20        1966.58        1966        7
     21        1966.67        1966        8
     18        1966.75        1966        9
     21        1966.83        1966       10
     28        1966.92        1966       11
     25        1967.00        1966       12
 
     18        1967.08        1967        1
     25        1967.17        1967        2
     20        1967.25        1967        3
     18        1967.33        1967        4
      8        1967.42        1967        5
    -20        1967.50        1967        6
    -27        1967.58        1967        7
    -30        1967.67        1967        8
    -20        1967.75        1967        9
    -31        1967.83        1967       10
    -42        1967.92        1967       11
    -49        1968.00        1967       12
 
    -50        1968.08        1968        1
    -51        1968.17        1968        2
    -55        1968.25        1968        3
    -54        1968.33        1968        4
    -52        1968.42        1968        5
    -52        1968.50        1968        6
    -60        1968.58        1968        7
    -58        1968.67        1968        8
    -57        1968.75        1968        9
    -36        1968.83        1968       10
    -23        1968.92        1968       11
      1        1969.00        1968       12
 
     16        1969.08        1969        1
     15        1969.17        1969        2
     19        1969.25        1969        3
     27        1969.33        1969        4
     27        1969.42        1969        5
     25        1969.50        1969        6
     17        1969.58        1969        7
     17        1969.67        1969        8
     14        1969.75        1969        9
      8        1969.83        1969       10
     -6        1969.92        1969       11
    -29        1970.00        1969       12
 
    -29        1970.08        1970        1
    -43        1970.17        1970        2
    -45        1970.25        1970        3
    -44        1970.33        1970        4
    -45        1970.42        1970        5
    -45        1970.50        1970        6
    -56        1970.58        1970        7
   -999        1970.67        1970        8
   -999        1970.75        1970        9
    -64        1970.83        1970       10
    -52        1970.92        1970       11
    -14        1971.00        1970       12
 
     -6        1971.08        1971        1
     26        1971.17        1971        2
     13        1971.25        1971        3
     19        1971.33        1971        4
     16        1971.42        1971        5
     22        1971.50        1971        6
     24        1971.58        1971        7
     17        1971.67        1971        8
     11        1971.75        1971        9
     18        1971.83        1971       10
     26        1971.92        1971       11
     16        1972.00        1971       12
 
     21        1972.08        1972        1
     23        1972.17        1972        2
     17        1972.25        1972        3
     12        1972.33        1972        4
    -32        1972.42        1972        5
    -46        1972.50        1972        6
    -43        1972.58        1972        7
    -51        1972.67        1972        8
    -48        1972.75        1972        9
    -45        1972.83        1972       10
    -53        1972.92        1972       11
    -35        1973.00        1972       12
 
     11        1973.08        1973        1
     25        1973.17        1973        2
     17        1973.25        1973        3
     21        1973.33        1973        4
     23        1973.42        1973        5
     13        1973.50        1973        6
     10        1973.58        1973        7
      5        1973.67        1973        8
     11        1973.75        1973        9
      4        1973.83        1973       10
    -15        1973.92        1973       11
    -12        1974.00        1973       12
 
     -4        1974.08        1974        1
     -3        1974.17        1974        2
     -3        1974.25        1974        3
    -10        1974.33        1974        4
    -13        1974.42        1974        5
