This is Dataplot data file    NELS138.DAT
Transformer failure data for normal Hazard Plot
Reference--Nelson, Wayne.
Applied Life Data Analysis
Wiley, New York, page 138.
Response varible = Hours to failure/removal
Number of observations = 180
Order of observations on a line image--
   Response varible = Hours to failure/removal
   Factor 1 = failure tag (0 = not failed due to removal from test
                           1 = failed)
   Factor 2 = Transformer ID (1 to 180)








Failure/  Failure/  Transformer
Removal   Removal  Identification
Time      Tag
 Y        TAG         ID
---------------------------
10          1         1
314         1         2
730         1         3
740         1         4
990         1         5
1046        1         6
1570        1         7
1600        0         8
1600        0         9
1600        0         10
1600        0         11
1870        1         12
1900        0         13
1900        0         14
1900        0         15
1900        0         16
2020        1         17
2030        0         18
2030        0         19
2040        1         20
2050        0         21
2050        0         22
2050        0         23
2096        1         24
2110        1         25
2177        1         26
2200        0         27
2200        0         28
2200        0         29
2200        0         30
2200        0         31
2200        0         32
2200        0         33
2200        0         34
2306        1         35
2400        0         38
2400        0         39
2400        0         40
2400        0         41
2400        0         42
2400        0         43
2400        0         44
2400        0         45
2400        0         46
2400        0         47
2400        0         48
2400        0         49
2400        0         50
2400        0         51
2400        0         52
2400        0         53
2400        0         54
2400        0         55
2400        0         56
2400        0         57
2400        0         58
2400        0         59
2400        0         60
2400        0         61
2400        0         62
2400        0         63
2400        0         64
2400        0         65
2400        0         66
2400        0         67
2400        0         68
2400        0         69
2400        0         70
2400        0         71
2400        0         72
2400        0         73
2400        0         74
2400        0         75
2400        0         76
2400        0         77
2400        0         77
2400        0         77
2690        1         78
2700        0         79
2700        0         80
2700        0         81
2700        0         82
2700        0         83
2700        0         84
2700        0         85
2700        0         86
2700        0         87
2700        0         88
2700        0         89
2700        0         90
2700        0         91
2700        0         92
2700        0         93
2700        0         94
2700        0         95
2700        0         96
2700        0         97
2700        0         98
2700        0         99
2700        0         100
2700        0         101
2700        0         102
2700        0         103
2700        0         104
2700        0         105
2700        0         106
2700        0         107
2700        0         108
2700        0         109
2700        0         110
2700        0         111
2700        0         112
2700        0         113
3200        1         114
3360        1         115
3400        0         116
3400        0         117
3444        1         118
3508        1         119
3600        0         120
3600        0         121
3600        0         122
3600        0         123
3600        0         124
3600        0         125
3600        0         126
3600        0         127
3600        0         128
3600        0         129
3600        0         130
3600        0         131
3600        0         132
3600        0         133
3600        0         134
3770        1         135
3800        0         136
3800        0         137
3800        0         138
3800        0         139
3800        0         140
3800        0         141
3800        0         142
3800        0         143
3800        0         144
3800        0         145
3800        0         146
3800        0         147
3800        0         148
4042        1         149
4100        0         150
4100        0         151
4100        0         152
4100        0         153
4100        0         154
4186        1         155
4200        0         156
4200        0         157
4200        0         158
4200        0         159
4200        0         160
4200        0         161
4200        0         162
4200        0         163
4200        0         164
4200        0         165
4200        0         166
4200        0         167
4200        0         168
4200        0         169
4200        0         170
4200        0         171
4200        0         172
4200        0         173
4200        0         174
4200        0         175
4200        0         176
4200        0         177
4200        0         178
4200        0         179
4200        0         180
