This is file   HUMPHR11.DAT = Jim's SUMALL.DAT
Thermoluminescent Dosimetry
Data Collection Date = June 21, 1993
Jim Humphreys
September 1993
NUMBER OF OBSERVATIONS = (21 dates ) x (1 + 18x4) =15XX (approx.)
NUMBER OF VARIABLES PER LINE IMAGE = 9 (only 7 used)
NUMBER OF DATES = 21
ORDER OF VARIABLES ON A LINE IMAGE--
   1. Date ID (21 LEVELS--1, 2, 13 to 28, 30 to 32)
   2. Hour of Day
   3. Minute
   4. Second
   5. Card ID (54 LEVELS--DRAWN FROM 1 TO 66)
   6. Chip Number (4 LEVELS--1 to 4)
   7. "Integrated Spectrum"
   8. Left Half Spectrum
   9. Right Half Spectrum
To read this into Dataplot--
   SKIP 25
   READ HUMPHR11.DAT DATE J1 J2 J3 CARD CHIP Y
Note--  -9.99 = missing data
Note--My "date" == Jim's TLD File Number
"DATE" HR MIN SEC  CARD CHIP     DOSE         DOSE         DOSE
-----------------------------------------------------------------
   1  10 19 00      60   1      170.72        -9.99        -9.99
   1  10 24 00      60   2        5.63        -9.99        -9.99
   1  10 28 00      60   3        6.26        -9.99        -9.99
   1  10 32 00      60   4      160.32        -9.99        -9.99
   1  10 38 00      20   1      146.85        -9.99        -9.99
   1  10 42 00      20   2        7.36        -9.99        -9.99
   1  10 47 00      20   3        6.87        -9.99        -9.99
   1  10 51 00      20   4      153.94        -9.99        -9.99
   1  10 57 00      34   1      168.49        -9.99        -9.99
   1  11  1 00      34   2        6.55        -9.99        -9.99
   1  11  6 00      34   3        6.59        -9.99        -9.99
   1  11 10 00      34   4      190.24        -9.99        -9.99
   1  11 15 00      54   1      234.98        -9.99        -9.99
   1  11 20 00      54   2        9.17        -9.99        -9.99
   1  11 25 00      54   3        8.32        -9.99        -9.99
   1  11 30 00      54   4      210.85        -9.99        -9.99
   1  11 36 00      38   1      187.42        -9.99        -9.99
   1  11 41 00      38   2        8.55        -9.99        -9.99
   1  11 47 00      38   3       11.10        -9.99        -9.99
   1  11 51 00      38   4      217.79        -9.99        -9.99
   1  12  1 00      51   4      204.10        -9.99        -9.99
   1  12  6 00      51   3        8.09        -9.99        -9.99
   1  12 10 00      51   2        8.25        -9.99        -9.99
   1  12 15 00      51   1      182.11        -9.99        -9.99
   1  12 21 00      25   4      162.52        -9.99        -9.99
   1  12 26 00      25   3        6.79        -9.99        -9.99
   1  12 30 00      25   2        6.71        -9.99        -9.99
   1  12 34 00      25   1      158.32        -9.99        -9.99
   1  12 41 00      48   4      239.32        -9.99        -9.99
   1  12 45 00      48   3        7.22        -9.99        -9.99
   1  12 50 00      48   2        8.05        -9.99        -9.99
   1  12 55 00      48   1      214.68        -9.99        -9.99
   1  12 59 00       1   1      263.73        -9.99        -9.99
   1   1  5 00       1   4      259.61        -9.99        -9.99
   1   1 11 00       1   3        9.89        -9.99        -9.99
   1   1 16 00       1   2        8.91        -9.99        -9.99
   1   1 45 00       7   2        6.39        -9.99        -9.99
   1   1 50 00       7   1      155.24        -9.99        -9.99
   1   1 54 00       7   4      173.46        -9.99        -9.99
   1   1 59 00       7   3        6.30        -9.99        -9.99
   1   2  6 00      31   4      181.64        -9.99        -9.99
   1   2 10 00      31   3        6.17        -9.99        -9.99
   1   2 15 00      31   2        6.14        -9.99        -9.99
   1   2 20 00      31   1      168.02        -9.99        -9.99
   1   2 25 00      28   1      200.05        -9.99        -9.99
   1   2 30 00      28   4      199.74        -9.99        -9.99
   1   2 35 00      28   3        9.35        -9.99        -9.99
   1   2 40 00      28   2       10.14        -9.99        -9.99
   1   2 45 00      22   2       12.66        -9.99        -9.99
   1   2 51 00      22   1      198.56        -9.99        -9.99
   1   2 57 00      22   4      221.39        -9.99        -9.99
   1   3  2 00      22   3       10.56        -9.99        -9.99
   1   3  7 00      16   4      217.28        -9.99        -9.99
   1   3 13 00      16   3        8.74        -9.99        -9.99
   1   3 18 00      16   2        9.84        -9.99        -9.99
   1   3 24 00      16   1      186.29        -9.99        -9.99
   1   3 29 00      17   1      179.65        -9.99        -9.99
   1   3 34 00      17   4      181.04        -9.99        -9.99
   1   3 40 00      17   3        9.09        -9.99        -9.99
   1   3 44 00      17   2        8.08        -9.99        -9.99
   1   3 50 00      37   2       11.00        -9.99        -9.99
   1   3 55 00      37   1      201.08        -9.99        -9.99
   1   4  1 00      37   4      229.29        -9.99        -9.99
   1   4  7 00      37   3        9.76        -9.99        -9.99
   1   4 11 00      33   3        8.44        -9.99        -9.99
   1   4 17 00      33   2        8.70        -9.99        -9.99
   1   4 22 00      33   1      204.79        -9.99        -9.99
   1   4 28 00      33   4      180.90        -9.99        -9.99
   1   4 33 00      21   4      174.05        -9.99        -9.99
   1   4 38 00      21   3        8.23        -9.99        -9.99
   1   4 43 00      21   2       13.43        -9.99        -9.99
   1   4 51 00      21   1      176.10        -9.99        -9.99
 
   2  10 00 10      19   4      218.95       209.83         9.12
   2  10 05 17      19   3        6.77         5.35         1.43
   2  10 10 14      19   2        6.63         5.07         2.26
   2  10 14 23      19   1      217.14       208.45         8.70
   2  10 19 17      18   1      180.91        81.08        99.82
   2  10 23 31      18   4      186.97       105.68        81.29
   2  10 28 05      18   3        7.47         3.28         3.41
   2  10 32 25      18   2        5.97         2.65         3.31
   2  10 37 26       6   2        5.91          .92         3.01
   2  10 41 26       6   1      193.15        74.48       103.37
   2  10 45 36       6   4      197.64       112.55        85.09
   2  10 49 39       6   3        6.36         2.74         1.07
   2  10 54 23      52   3        7.57         5.95         1.62
   2  10 58 43      52   2        6.71         5.04         1.67
   2  11 02 53      52   1      214.26       204.56         9.69
   2  11 07 07      52   4      229.10       197.68        10.50
   2  11 13 06      32   4      252.71       225.13         3.69
   2  11 17 48      32   3        8.20         5.95         2.25
   2  11 24 24      32   2       10.96         8.28         2.68
   2  11 29 15      32   1      253.88       187.09          .42
   2  11 34 51      26   1      205.65       131.81        73.84
   2  11 39 19      26   4      206.46       132.79        73.66
   2  11 43 49      26   3        6.78         4.36         2.42
   2  11 48 23      26   2        6.57         4.25         2.31
   2  11 53 07      64   2        6.98         4.39         2.59
   2  11 57 38      64   1      171.00       119.20        51.80
   2  12 06 12      64   4      181.85       129.13        52.72
   2  12 10 29      64   3        6.27         4.01         2.26
   2  12 18 33       3   3       10.83         4.04         6.78
