This is Dataplot data file       STG.DAT
Source--Shirley Turner (through Stefan Leigh) (CSTL of NIST)
Number of Observations = 213
Number of Variables per line image = 4
Order of variables on a line image--
  1. LABID     = Lab ID
  2. F         = Filter Number
  3. LABAVE    = Lab Average
  4. FAVE      = Filter Average

Use the following commands:

SKIP 25
READ STG.DAT  LABID FNUM LABAVE FAVE
CHARACTER BLANK 1 2 3 4 5 6 7 8 9
LINE BLANK ALL
LINE SOLID
BIVARIATE NORMAL TOLERANCE REGION PLOT LABAVE FAVE LABID





LABID F LABAVE FAVE
---------------------------------
       1      19  697.67  459.30
       1      45  872.09  779.12
       1      28  918.60  618.27
       2      53  318.24  294.68
       2      38  483.01  506.67
       2      48  484.50  531.10
       3      29 1215.12  798.13
       3      16 1255.81 1001.87
       3      32 1302.33 1148.26
       4      57  325.58  453.49
       4      51  360.47  575.58
       4      22  430.23  691.21
       5      59  335.92  361.60
       5      41  483.01  673.08
       5      55  523.26  809.11
       7      20  250.00  458.16
       7       5  459.30  691.63
       7      10  665.37  724.00
       8      60  116.28  184.11
       8      11  406.98  464.52
       8      40  459.30  446.38
       9      46  465.12  566.45
       9       1  686.05  678.94
       9       2  770.35  619.74
      10      30  668.60  740.96
      10      24  674.42  744.83
      10       6  686.05  666.51
      11      47  342.00  413.30
      11      44  447.23  572.56
      11       7  602.54  653.04
      12      18  133.72  178.78
      12      35  581.40  794.57
      12       9  671.83  585.11
      13      27  755.81  844.10
      13      36  796.51  730.26
      13      23  808.14  840.60
      14      37  540.70  577.52
      14      17  552.33  680.18
      14      21  883.72  549.57
      15      39  570.82  645.70
      15       4  828.49  745.16
      15      15 1255.81  792.88
      16      25 1017.44  796.30
      16      56 1110.47  800.39
      16      54 1482.56  956.40
      17      33  174.42  574.60
      17      31  337.21  657.03
      17      58  348.84  484.01
      18       3  639.53  579.33
      18      52  684.75  593.49
      18      34  755.81  811.05
      19       8  571.71  583.33
      19      43  847.18  875.11
      19      50  930.23  828.72
      20      49  587.21  499.52
      20      14  593.02  496.12
      20      42  770.35  766.20
      21       8  668.60  583.33
      21       2  674.42  619.74
      21      32 1259.69 1148.26
      22      60  203.49  184.11
      22      38  476.74  506.67
      22      25  622.09  796.30
      23      53  343.02  294.68
      23       4  761.63  745.16
      23      29  901.16  798.13
      24       9  470.93  585.11
      24      41  773.26  673.08
      24      16  924.42 1001.87
      25      48  498.34  531.10
      25      26  857.56  776.81
      25      50  963.46  828.72
      26      12  424.42  426.36
      26      56  563.95  800.39
      26      10  767.44  724.00
      27      22  457.36  691.21
      27      33  602.54  574.60
      27      31  626.12  657.03
      28      47  369.36  413.30
      28      39  523.26  645.70
      28      24 1007.75  744.83
      29      59  441.86  361.60
      29      57  540.70  453.49
      29      44  732.56  572.56
      30      46  558.14  566.45
      30      34  953.49  811.05
      30      30 1133.72  740.96
      31      18  238.37  178.78
      31      17  915.70  680.18
      31       6  981.91  666.51
      32      19  418.60  459.30
      32      49  482.56  499.52
      32      52  639.53  593.49
      33      28  528.54  618.27
      33       7  697.67  653.04
      33      55  799.42  809.11
      34      11  532.95  464.52
      34      54  988.37  956.40
      34       5 1065.89  691.63
      35      42  830.56  766.20
      35      45  913.62  779.12
      35      35 1201.55  794.57
      37      13  267.44  430.40
      37      58  343.02  484.01
      37      20  354.65  458.16
      38      21  570.82  549.57
      38      37  627.91  577.52
      38      23 1395.35  840.60
      39      40  542.64  446.38
      39      27  710.59  844.10
      39      15  770.35  792.88
      40       3  528.54  579.33
      40      43  560.25  875.11
      40      36  581.40  730.26
      41      58  476.74  484.01
      41      28  569.77  618.27
      41      54  906.98  956.40
      42      20  678.29  458.16
      42       8  736.43  583.33
      42      33  946.84  574.60
      43      19  267.44  459.30
      43      36  457.85  730.26
      43      29  471.58  798.13
      44       9  616.28  585.11
      44      41  651.16  673.08
      44      16  996.68 1001.87
      45      23  600.78  840.60
      45      45  684.75  779.12
      45      25  749.35  796.30
      46      42  697.67  766.20
      46      56  726.74  800.39
      46      51  726.74  575.58
      47      21  447.23  549.57
      47      52  456.17  593.49
      47       5  549.68  691.63
      48      46  847.18  566.45
      48      27 1065.89  844.10
      48      32 1255.81 1148.26
      49      11  447.23  464.52
      49      44  593.02  572.56
      49       7  658.91  653.04
      50      15  616.28  792.88
      50      24  762.27  744.83
      50      39  843.02  645.70
      51      60  232.56  184.11
      51      30  476.74  740.96
      51       3  529.07  579.33
      52      14  465.12  496.12
      52      47  517.44  413.30
      52      48  610.47  531.10
      53      13  549.68  430.40
      53      35  723.51  794.57
      53      31 1007.75  657.03
      54      59  325.58  361.60
      54      37  563.95  577.52
      54      34  720.93  811.05
      55      18  186.05  178.78
      55      17  897.01  680.18
      55      43 1065.89  875.11
      56      53  279.07  294.68
      56      12  453.49  426.36
      56       4  645.35  745.16
      57      50  710.59  828.72
      57      55 1104.65  809.11
      57      22 1186.05  691.21
      58      40  337.21  446.38
      58       6  494.19  666.51
      58      10  503.88  724.00
      59       2  484.50  619.74
      59      26  542.64  776.81
      59       1  671.83  678.94
      60      17  355.68  680.18
      60      28  456.17  618.27
      60       6  503.88  666.51
      62      59  343.02  361.60
      62      20  549.68  458.16
      62      50  710.59  828.72
      63      47  424.42  413.30
      63       3  620.16  579.33
      63      45  645.99  779.12
      64      21  296.51  549.57
      64       8  356.59  583.33
      64      30  684.75  740.96
      65      13  474.06  430.40
      65       2  549.68  619.74
      65      35  671.83  794.57
      67      49  428.78  499.52
      67      32  775.19 1148.26
      67      26  930.23  776.81
      68      44  517.44  572.56
      68      15  529.07  792.88
      68      24  534.88  744.83
      69      18  156.98  178.78
      69      46  395.35  566.45
      69      54  447.67  956.40
      70      11  470.93  464.52
      70      23  558.14  840.60
      70      29  604.65  798.13
      71      53  238.37  294.68
      71      38  560.25  506.67
      71       9  581.40  585.11
      72      34  813.95  811.05
      72      16  830.56 1001.87
      72      36 1085.27  730.26
      73      51  639.53  575.58
      73      58  767.44  484.01
      73      10  959.30  724.00
      74      12  401.16  426.36
      74      19  453.49  459.30
      74      57  494.19  453.49
      75      14  430.23  496.12
      75      41  784.88  673.08
      75      43 1027.13  875.11
