THIS IS DATAPLOT DATA FILE LOTTERY3.DAT
MARYLAND "PICK 3" LOTTERY NUMBERS
SEPTEMBER 3, 1989 TO APRIL 14, 1990 (32 WEEKS)
NUMBER OF DATA POINTS = 218
ORDER OF VARIABLES--
   1. LOTTERY NUMBER (3-DIGIT)
   2. MONTH
   3. DAY OF MONTH
   4. YEAR
   5. WEEK (1 TO 32)
TO READ THIS FILE INTO DATAPLOT (& ANALYZE)--
   SKIP 25
   READ LOTTERY3.DAT Y MONTH DAY YEAR WEEK
   X3LABEL AUTOMATIC; 4-PLOT Y
   UNIFORM PROBABILITY PLOT Y
   CHARACTERS X ALL; PLOT Y WEEK WEEK
   CHAR BOX PLOT; LINES BOX PLOT; BOX PLOT Y WEEK
   CHAR CONTROL CHART; LINES CONTROL CHART
   MEAN CONTROL CHART Y WEEK
   RANGE CONTROL CHART Y WEEK
   AUTOCORRELATION PLOT Y
   GRID ON; MIDRANGE PLOT Y WEEK
   AUTOCORRELATION STATISTIC PLOT Y WEEK
NUMBER   MONTH    DAY    YEAR    WEEK
---------------------------------------
 162       9       4      89       1
 671       9       5      89       1
 933       9       6      89       1
 414       9       7      89       1
 788       9       8      89       1
 730       9       9      89       1
 817       9      11      89       2
  33       9      12      89       2
 536       9      13      89       2
 875       9      14      89       2
 670       9      15      89       2
 236       9      16      89       2
 473       9      18      89       3
 167       9      19      89       3
 877       9      20      89       3
 980       9      21      89       3
 316       9      22      89       3
 950       9      23      89       3
 456       9      24      89       3
  92       9      25      89       4
 517       9      26      89       4
 557       9      27      89       4
 956       9      28      89       4
 954       9      29      89       4
 104       9      30      89       4
 178      10       1      89       4
 794      10       2      89       5
 278      10       3      89       5
 147      10       4      89       5
 773      10       5      89       5
 437      10       6      89       5
 435      10       7      89       5
 502      10       8      89       5
 610      10       9      80       6
 582      10      10      89       6
 780      10      11      89       6
 689      10      12      89       6
 562      10      13      89       6
 964      10      14      89       6
 791      10      15      89       6
  28      10      16      89       7
  97      10      17      89       7
 848      10      18      89       7
 281      10      19      89       7
 858      10      20      89       7
 538      10      21      89       7
 660      10      22      89       7
 972      10      23      89       8
 671      10      24      89       8
 613      10      25      89       8
 867      10      26      89       8
 448      10      27      89       8
 738      10      28      89       8
 966      10      29      89       8
 139      10      30      89       9
 636      10      31      89       9
 847      11       1      89       9
 659      11       2      89       9
 754      11       3      89       9
 243      11       4      89       9
 122      11       5      89       9
 455      11       6      89      10
 195      11       7      89      10
 968      11       8      89      10
 793      11       9      89      10
  59      11      10      89      10
 730      11      11      89      10
 361      11      12      89      10
 574      11      13      89      11
