30.0   28.0   25.0   24.0   23.0   21.0   20.0   22.0   24.0   27.0
30.0   31.0   34.0   37.0   33.0   28.0   25.0   23.0   21.0   19.0
18.0   17.0   16.0   17.0   18.5   22.0   29.0   32.0   32.0   30.0
25.0   20.0   17.0   14.0   13.0   17.0   22.0   27.0   33.0   30.0
21.0   15.0   12.0   10.0    9.0    6.0    6.0    8.0   10.0   12.0
15.0   16.0   16.5   18.0   21.0   15.0    7.0    4.0    3.0    7.0
15.5   22.0   30.0   40.0   40.0   39.0   38.0   35.0   30.0   25.0
20.0   18.0   20.0   22.5   27.0   32.0   32.5   33.0   32.0   30.0
25.5   23.3   23.3   24.0   27.0   31.5   35.0   36.0   34.0   30.5
29.0   25.0   20.0   19.0   21.0   23.5   28.0   33.5   36.0   37.5
38.0   36.0   33.0   29.5   28.0   28.0   30.0   30.5   30.0   30.0
28.0   25.0   23.0   24.5   27.0   31.0   34.0   33.0   25.0   16.0
13.0   14.0   17.0   22.0   29.0   32.0   30.0   26.0   24.0   24.0
