MONTHLY CARBON DIOXIDE READINGS AT POINT BARROW (ALASKA) 1/73 TO 3/87
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = CO2BRW.DAT
NUMBER OF OBSERVATIONS = 171
RESPONSE VARIABLE = MEAN CARBON DIOXIDE CONCENTRATION (IN PARTS PER MILLION)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1973 TO 1987)
   2. MONTH (1 TO 12)
   3. MEAN (OVER THE MONTH) CARBON DIOXIDE CONCENTRATION (PPM)
NOTE--A ZERO RESPONSE MEANS NO READING AVAILABLE.
NOTE--FROM 1973 ONWARD, THE RAW DATA POINTS WERE HOURLY
      AND SO THE REPORTED MONTHLY AVERAGES CONSISTED OF
      ABOUT 720 OBSERVATIONS.
      PRE-1973, THE RAW DATA WAS SPARSE, SOMETIMES ONLY ONE READING PER MONTH.
NOTE--POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?

1973 01   0.00
1973 02   0.00
1973 03   0.00
1973 04   0.00
1973 05   0.00
1973 06   0.00
1973 07   0.00
1973 08 321.95
1973 09 323.36
1973 10 327.78
1973 11 332.73
1973 12 333.50
1974 01 336.47
1974 02 336.02
1974 03 336.66
1974 04 337.09
1974 05 336.85
1974 06 335.94
1974 07 328.70
1974 08 323.45
1974 09 324.21
1974 10 328.76
1974 11 331.98
1974 12 335.17
1975 01 336.79
1975 02 336.58
1975 03 337.14
1975 04 337.72
1975 05 337.92
1975 06 335.37
1975 07 330.10
1975 08 324.39
1975 09 324.58
1975 10 329.25
1975 11 334.33
1975 12 336.45
1976 01 336.98
1976 02 336.70
1976 03 337.73
1976 04 338.04
1976 05 337.80
1976 06 336.77
1976 07 331.04
1976 08 323.47
1976 09 325.09
1976 10 329.78
1976 11 334.07
1976 12 336.57
1977 01 336.83
1977 02 336.91
1977 03 338.23
1977 04 339.15
1977 05 339.43
1977 06 337.74
1977 07 330.12
1977 08 325.38
1977 09 326.84
1977 10 331.96
1977 11 334.69
1977 12 338.78
1978 01 339.13
1978 02 340.23
1978 03 341.49
1978 04 340.98
1978 05 340.78
1978 06 339.39
1978 07 332.61
1978 08 327.72
1978 09 327.43
1978 10 332.14
1978 11 338.78
1978 12 339.40
1979 01 340.09
1979 02 341.33
1979 03 342.50
1979 04 342.35
1979 05 342.87
1979 06 342.04
1979 07 333.63
1979 08 327.74
1979 09 329.32
1979 10 333.12
1979 11 338.14
1979 12 341.51
1980 01 341.92
1980 02 342.44
1980 03 343.36
1980 04 343.30
1980 05 343.26
1980 06 342.61
1980 07 337.29
1980 08 331.77
1980 09 331.35
1980 10 337.87
1980 11 340.52
1980 12 342.59
1981 01 344.27
1981 02 345.48
1981 03 344.55
1981 04 345.79
1981 05 346.79
1981 06 344.40
1981 07 338.22
1981 08 331.77
1981 09 333.28
1981 10 338.76
1981 11 342.20
1981 12 344.86
1982 01 345.75
1982 02 347.18
1982 03 348.27
1982 04 348.39
1982 05 347.99
1982 06 345.70
1982 07 339.15
1982 08 333.16
1982 09 333.16
1982 10 337.85
1982 11 342.11
1982 12 344.47
1983 01 347.47
1983 02 347.01
1983 03 348.13
1983 04 348.13
1983 05 348.31
1983 06 346.95
1983 07 340.42
1983 08 333.77
1983 09 335.54
1983 10 340.58
1983 11 346.53
1983 12 346.84
1984 01 350.97
1984 02 350.74
1984 03 350.04
1984 04 349.77
1984 05 350.66
1984 06 348.30
1984 07 341.34
1984 08 335.92
1984 09 338.30
1984 10 342.18
1984 11 345.00
1984 12 348.52
1985 01 349.78
1985 02 349.46
1985 03 350.45
1985 04 351.44
1985 05 352.45
1985 06 349.94
1985 07 343.35
1985 08 337.39
1985 09 338.21
1985 10 344.29
1985 11 347.74
1985 12 349.72
1986 01 350.18
1986 02 351.65
1986 03 353.58
1986 04 353.04
1986 05 353.33
1986 06 351.38
1986 07 344.63
1986 08 339.63
1986 09 341.58
1986 10 345.10
1986 11 348.56
1986 12 350.50
1987  1 352.16
1987  2 352.66
1987  3 354.04
