This is dataplot data file    sarkar78_distinct_protocol_factor_settings.dat     4/11/19
Contents: the 64 distinct setting of the 8 protocol factors
Date: 4/11/19
Note: This file was formed (once) in sarkar78.dp via   get_distinct_protocol_factor_settings.dp
Number of observations = 64
Number of variables per line image = 1 + 8
Order of variables on a line image:
   1. Distinct protocol (64 levels: 1 to 64)
   2. Corresponding setting for protocol factor 1
   3. Correspondign setting for protocol factor 2
   4. Corresponding setting for protocol factor 3
   5. Correspondign setting for protocol factor 4
   6. Corresponding setting for protocol factor 5
   7. Correspondign setting for protocol factor 6
   8. Corresponding setting for protocol factor 7
   9. Correspondign setting for protocol factor 8
 To read this data file into dataplot:
   skip 25; read    sarkar78_distinct_protocol_factor_settings.dat   dprot dx1 to dx8 

 Example of calling routine: sarkar78.dp and beyond



 dprot    dx1   dx2    dx3   dx4   dx5   dx6   dx7   dx8
---------------------------------------------------------
   1       -1    -1    -1    -1    -1    -1     1     1 
   2        1    -1    -1    -1    -1    -1    -1    -1 
   3       -1     1    -1    -1    -1    -1    -1    -1 
   4        1     1    -1    -1    -1    -1     1     1 
   5       -1    -1     1    -1    -1    -1    -1     1 
   6        1    -1     1    -1    -1    -1     1    -1 
   7       -1     1     1    -1    -1    -1     1    -1 
   8        1     1     1    -1    -1    -1    -1     1 
   9       -1    -1    -1     1    -1    -1    -1     1 
  10        1    -1    -1     1    -1    -1     1    -1 
  11       -1     1    -1     1    -1    -1     1    -1 
  12        1     1    -1     1    -1    -1    -1     1 
  13       -1    -1     1     1    -1    -1     1     1 
  14        1    -1     1     1    -1    -1    -1    -1 
  15       -1     1     1     1    -1    -1    -1    -1 
  16        1     1     1     1    -1    -1     1     1 
  17       -1    -1    -1    -1     1    -1     1    -1 
  18        1    -1    -1    -1     1    -1    -1     1 
  19       -1     1    -1    -1     1    -1    -1     1 
  20        1     1    -1    -1     1    -1     1    -1 
  21       -1    -1     1    -1     1    -1    -1    -1 
  22        1    -1     1    -1     1    -1     1     1 
  23       -1     1     1    -1     1    -1     1     1 
  24        1     1     1    -1     1    -1    -1    -1 
  25       -1    -1    -1     1     1    -1    -1    -1 
  26        1    -1    -1     1     1    -1     1     1 
  27       -1     1    -1     1     1    -1     1     1 
  28        1     1    -1     1     1    -1    -1    -1 
  29       -1    -1     1     1     1    -1     1    -1 
  30        1    -1     1     1     1    -1    -1     1 
  31       -1     1     1     1     1    -1    -1     1 
  32        1     1     1     1     1    -1     1    -1 
  33       -1    -1    -1    -1    -1     1     1    -1 
  34        1    -1    -1    -1    -1     1    -1     1 
  35       -1     1    -1    -1    -1     1    -1     1 
  36        1     1    -1    -1    -1     1     1    -1 
  37       -1    -1     1    -1    -1     1    -1    -1 
  38        1    -1     1    -1    -1     1     1     1 
  39       -1     1     1    -1    -1     1     1     1 
  40        1     1     1    -1    -1     1    -1    -1 
  41       -1    -1    -1     1    -1     1    -1    -1 
  42        1    -1    -1     1    -1     1     1     1 
  43       -1     1    -1     1    -1     1     1     1 
  44        1     1    -1     1    -1     1    -1    -1 
  45       -1    -1     1     1    -1     1     1    -1 
  46        1    -1     1     1    -1     1    -1     1 
  47       -1     1     1     1    -1     1    -1     1 
  48        1     1     1     1    -1     1     1    -1 
  49       -1    -1    -1    -1     1     1     1     1 
  50        1    -1    -1    -1     1     1    -1    -1 
  51       -1     1    -1    -1     1     1    -1    -1 
  52        1     1    -1    -1     1     1     1     1 
  53       -1    -1     1    -1     1     1    -1     1 
  54        1    -1     1    -1     1     1     1    -1 
  55       -1     1     1    -1     1     1     1    -1 
  56        1     1     1    -1     1     1    -1     1 
  57       -1    -1    -1     1     1     1    -1     1 
  58        1    -1    -1     1     1     1     1    -1 
  59       -1     1    -1     1     1     1     1    -1 
  60        1     1    -1     1     1     1    -1     1 
  61       -1    -1     1     1     1     1     1     1 
  62        1    -1     1     1     1     1    -1    -1 
  63       -1     1     1     1     1     1    -1    -1 
  64        1     1     1     1     1     1     1     1 
