Name:         CANDLESTICK.DAT
Source:       Downloaded from web
Description:  Example data for a candlestick plot
Data:         Column 1:  Date
              Column 2:  Closing price
              Column 3:  Opening price
              Column 4:  Low price
              Column 5:  High price















Date         Close   Open    Low     High
------------------------------------------
01/03/2022   76.08   75.69   74.27   76.46
01/04/2022   76.99   76.02   75.70   77.64
01/05/2022   77.85   77.18   76.51   78.58
01/06/2022   79.46   77.24   76.73   80.24
01/07/2022   78.90   79.62   78.52   80.47
01/10/2022   78.23   78.88   77.83   79.45
01/11/2022   81.22   78.42   78.36   81.59
01/12/2022   82.64   81.38   81.17   83.10
01/13/2022   82.12   82.82   81.39   82.94
01/14/2022   83.82   81.73   81.58   84.45
01/16/2022   83.83   83.78   83.68   84.09
01/17/2022   83.69   83.84   82.94   83.95
01/18/2022   85.43   84.32   83.50   86.63
01/19/2022   86.96   86.61   85.77   87.91
01/20/2022   86.90   86.23   86.00   87.82
01/21/2022   85.14   84.57   82.78   85.56
01/24/2022   83.31   84.91   81.90   86.09
01/25/2022   85.60   84.15   82.99   85.71
01/26/2022   87.35   85.26   85.01   87.95
01/27/2022   86.61   87.15   86.20   88.54
01/28/2022   86.82   87.50   86.44   88.84
01/31/2022   88.15   87.45   86.34   88.39
02/01/2022   88.20   88.15   86.55   88.87
02/02/2022   88.26   88.35   87.10   89.72
02/03/2022   90.27   87.98   86.75   90.45
02/04/2022   92.31   90.19   90.07   93.17
02/07/2022   91.32   91.82   90.73   92.73
02/08/2022   89.36   91.64   88.51   91.68
