DIALECTRIC BREAKDOWN STRENGTH OF INSULATION
WAYNE NELSON PAPER (1981)
NUMBER OF OBSERVATIONS = 128
NUMBER OF VARIABLES PER LINE IMAGE = 3
ORDER OF VARIABLES ON A LINE IMAGE--
   Y  = DIALECTRIC BREAKDOWN STRENGTH (IN KVOLTS)
   X1 = TIME (IN WEEKS)
   X2 = TEMPERATURE (IN DEGREES C)
SOURCE--NELSON, WAYNE (1981).  ANALYSIS OF PERFORMANCE-DEGRADATION
        DATA FROM ACCELERATED TESTS.   IEEE TRANSACTIONS ON
        RELIABILITY, VOL. R-30, NO. 2, JUNE 1981,
        PAGES 149-155.
STATISTICAL AREA = NON-LINEAR FITTING OF ARRHENIUS EQUATION
          LOG(Y) = ALPHA - TIME*BETA*EXP(-GAMMA*TEMPERATURE)
TO READ THIS FILE INTO DATAPLOT--
   SKIP 25
   READ NELSON.DAT Y TIME TEMP
 
 
 
 
 
BREAKDOWN        WEEK       TEMPERATURE
 VOLTAGE
---------------------------------------------
   15.             1.           180.
   17.             1.           180.
   15.50           1.           180.
   16.50           1.           180.
   15.50           1.           225.
   15.             1.           225.
   16.             1.           225.
   14.50           1.           225.
   15.             1.           250.
   14.50           1.           250.
   12.50           1.           250.
   11.             1.           250.
   14.             1.           275.
   13.             1.           275.
   14.             1.           275.
   11.50           1.           275.
   14.             2.           180.
   16.             2.           180.
   13.             2.           180.
   13.50           2.           180.
   13.             2.           225.
   13.50           2.           225.
   12.50           2.           225.
   12.50           2.           225.
   12.50           2.           250.
   12.             2.           250.
   11.50           2.           250.
   12.             2.           250.
   13.             2.           275.
   11.50           2.           275.
   13.             2.           275.
   12.50           2.           275.
   13.50           4.           180.
   17.50           4.           180.
   17.50           4.           180.
   13.50           4.           180.
   12.50           4.           225.
   12.50           4.           225.
   15.             4.           225.
   13.             4.           225.
   12.             4.           250.
   13.             4.           250.
   12.             4.           250.
   13.50           4.           250.
   10.             4.           275.
   11.50           4.           275.
   11.             4.           275.
    9.50           4.           275.
   15.             8.           180.
   15.             8.           180.
   15.50           8.           180.
   16.             8.           180.
   13.             8.           225.
   10.50           8.           225.
   13.50           8.           225.
   14.             8.           225.
   12.50           8.           250.
   12.             8.           250.
   11.50           8.           250.
   11.50           8.           250.
    6.50           8.           275.
    5.50           8.           275.
    6.             8.           275.
    6.             8.           275.
   18.50          16.           180.
   17.            16.           180.
   15.30          16.           180.
   16.            16.           180.
   13.            16.           225.
   14.            16.           225.
   12.50          16.           225.
   11.            16.           225.
   12.            16.           250.
   12.            16.           250.
   11.50          16.           250.
   12.            16.           250.
    6.            16.           275.
    6.            16.           275.
    5.            16.           275.
    5.50          16.           275.
   12.50          32.           180.
   13.            32.           180.
   16.            32.           180.
   12.            32.           180.
   11.            32.           225.
    9.50          32.           225.
   11.            32.           225.
   11.            32.           225.
   11.            32.           250.
   10.            32.           250.
   10.50          32.           250.
   10.50          32.           250.
    2.70          32.           275.
    2.70          32.           275.
    2.50          32.           275.
    2.40          32.           275.
   13.            48.           180.
   13.50          48.           180.
   16.50          48.           180.
   13.60          48.           180.
   11.50          48.           225.
   10.50          48.           225.
   13.50          48.           225.
   12.            48.           225.
    7.            48.           250.
    6.90          48.           250.
    8.80          48.           250.
    7.90          48.           250.
    1.20          48.           275.
    1.50          48.           275.
    1.            48.           275.
    1.50          48.           275.
   13.            64.           180.
   12.50          64.           180.
   16.50          64.           180.
   16.            64.           180.
   11.            64.           225.
   11.50          64.           225.
   10.50          64.           225.
   10.            64.           225.
    7.27          64.           250.
    7.50          64.           250.
    6.70          64.           250.
    7.60          64.           250.
    1.50          64.           275.
    1.            64.           275.
    1.20          64.           275.
    1.20          64.           275.
