WEEKLY (ROUGHLY) FREON-11 READINGS AT SOUTH POLE 1/77 TO 12/86
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = SPOF11_WK.DAT
NUMBER OF OBSERVATIONS = 321
RESPONSE VARIABLE = MEAN FREON-11 CONCENTRATION (IN PARTS PER TRILLION)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1977 TO 1986)
   2. DAY OF YEAR (1 TO 365)
   3. SAMPLE BOTTLE (OF ONLY MINOR INTEREST)
   4. STANDARD DEVIATION (OVER 3 OBSERVATIONS)
   5. MEAN (OVER 3 OBSERVATIONS) FREON-11 CONCENTRATION (PPT)
   6. VALIDITY FLAG (ONLY USE DATA WITH FLAG = 0)
   7. WATER VAPOR
   8. CO2
NOTE--ONLY USE DATA WITH VALIDTY FLAG = 0
      POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2)
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11)
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?
1977  26  13  3.1 127.7 32   1.0000 -99.9900
1977  26  13  3.4 129.6 32   1.0000 -99.9900
1977  35  14  3.1 124.0 32   1.0000 330.0800
1977  35  14 10.8 127.3 33   1.0000 330.0800
1977  38  15  1.6 119.5 32   1.0000 331.7700
1977  38  15  1.4 117.2 32   1.0000 331.7700
1977  41  16  0.0  89.7 36   1.0000 331.5600
1977  41  16  0.0 117.6 34   1.0000 331.5600
1977  72  17  0.0  66.2 36   1.0000 330.7700
1977  72  17  0.0 902.0 38   1.0000 330.7700
1977 105  18  0.0  76.3  4   1.0000 330.9000
1977 105  18  0.0 151.2  6   1.0000 330.9000
1977 134  19  0.0 405.1  4   1.0000 331.0000
1977 134  19  0.0 391.7  6   1.0000 331.0000
1977 165  20  0.0   0.0  4   1.0000 331.4000
1977 165  20  0.0   0.0  4   1.0000 331.4000
1977 195  21  0.0 119.5  4   1.0000 331.6700
1977 195  21  0.0 961.7  6   1.0000 331.6700
1977 229  22  0.0 637.6  4   1.0000 331.8600
1977 229  22  0.0 961.2  6   1.0000 331.8600
1977 257  23  0.0 164.5  4   1.0000 332.4200
1977 257  23  0.0 373.9  6   1.0000 332.4200
1977 287  24  0.0 960.2  4   1.0000 332.8400
1977 287  24  0.0 130.4  2   1.0000 332.8400
