This is Dataplot data file    GLUCOSE.DAT
Sample data set from Table 1, p. 4, of
"Standard Practice for Conducting an Interlaboratory Study to
Determine the Precision of a Test Method",
ASTM International, 100 Barr Harbor Drive, PO BOX C700,
West Conshohoceken, PA 19428-2959, USA
This document is in support of ASTM Standard E 691 - 99

This data represents an example Interlaboratory Study (ILS)
Response variable   = Glucose in Serum ILS
Number of observations = 120
Number of observations per line image = 3
Order of observations per line image--
   Response variable = Glucose in Serum ILS
   Factor 1          = lab      (8 levels)
   Factor 2          = material (5 levels)
Statistical area--Multifactor Interlab
Problem Type    --Comparative
Design type     --Randomized Block
To read this file into Dataplot--
   skip 25; read glucose.dat y lab material

    GLUCOSE     LAB      MATERIAL
      Y          X1       X2
-------------------------------------------------
    41.03        1         1
    41.45        1         1
    41.37        1         1
    41.17        2         1
    42.00        2         1
    41.15        2         1
    41.01        3         1
    40.68        3         1
    42.66        3         1
    39.37        4         1
    42.37        4         1
    42.63        4         1
    41.88        5         1
    41.19        5         1
    41.32        5         1
    43.28        6         1
    40.50        6         1
    42.28        6         1
    41.08        7         1
    41.27        7         1
    39.02        7         1
    43.36        8         1
    42.65        8         1
    41.72        8         1
    78.28        1         2
    78.18        1         2
    78.49        1         2
    77.78        2         2
    80.38        2         2
    79.54        2         2
    79.18        3         2
    79.72        3         2
    80.81        3         2
    84.08        4         2
    78.60        4         2
    81.92        4         2
    78.16        5         2
    79.58        5         2
    78.33        5         2
    78.66        6         2
    79.27        6         2
    81.75        6         2
    79.76        7         2
    81.45        7         2
    77.35        7         2
    80.44        8         2
    80.80        8         2
    79.80        8         2
   132.66        1         3
   133.83        1         3
   133.10        1         3
   132.92        2         3
   136.90        2         3
   136.40        2         3
   132.61        3         3
   135.80        3         3
   135.36        3         3
   138.50        4         3
   148.30        4         3
   135.69        4         3
   131.90        5         3
   134.14        5         3
   133.76        5         3
   137.21        6         3
   135.14        6         3
   137.50        6         3
   130.97        7         3
   131.59        7         3
   134.92        7         3
   135.46        8         3
   135.14        8         3
   133.63        8         3
   193.71        1         4
   193.59        1         4
   193.65        1         4
   190.88        2         4
   200.14        2         4
   194.30        2         4
   192.71        3         4
   193.28        3         4
   190.28        3         4
   195.85        4         4
   196.36        4         4
   199.43        4         4
   192.59        5         4
   191.44        5         4
   195.12        5         4
   195.34        6         4
   198.26        6         4
   198.13        6         4
   194.66        7         4
   191.99        7         4
   187.13        7         4
   197.56        8         4
   195.99        8         4
   200.82        8         4
   292.78        1         5
   294.09        1         5
   292.89        1         5
   292.27        2         5
   309.40        2         5
   295.08        2         5
   295.53        3         5
   290.14        3         5
   292.34        3         5
   295.19        4         5
   295.44        4         5
   296.83        4         5
   293.93        5         5
   292.48        5         5
   294.28        5         5
   297.74        6         5
   296.80        6         5
   290.33        6         5
   287.29        7         5
   293.76        7         5
   289.36        7         5
   298.46        8         5
   295.28        8         5
   296.12        8         5
