THIS IS DATAPLOT DATA FILE     LASHMORE.DAT
ELECTRO-DEPOSITION & RESISITIVITY
DECEMBER 1993
RESPONSE VARIABLE = PERCENT CHANGE IN ...
NUMBER OF OBSERVATIONS = 312
NUMBER OF VARIABLES PER LINE IMAGE = 2
ORDER OF VARIABLES ON A LINE IMAGE--
   1. RESPONSE VARIABLE Y = PERCENT CHANGE IN ...
   2. FACTOR 1 = FIELD STRENGTH
PROBLEM CLASSIFICATION--MODELING
TO READ THIS INTO DATAPLOT (AND FIT)--
   SKIP 25
   READ LASHMORE.DAT Y X
   PLOT Y X
   RETAIN Y X FOR I = 1 1 70
   RETAIN Y X SUBSET X > 0
   LET X2 = 1/SQRT(X)
   QUADRATIC FIT Y X2
   PLOT Y PRED VERSUS X
   PLOT RES X
 
 
 
    Y           X          X2         X3         X4
--------------------------------------------------------
  -1.947844    0.80824   16.96259   643.1772  0.1050761
  -1.947844    0.80150   16.53852   637.8137  0.1050761
  -1.958398    0.79424   16.11446   632.0364  0.1050648
  -1.953121    0.78664   15.69039   625.9885  0.1050704
  -1.947844    0.77858   15.26633   619.5745  0.1050761
  -1.947844    0.76998   14.84226   612.7308  0.1050761
  -1.947844    0.76104   14.41820   605.6166  0.1050761
  -1.947844    0.75152   13.99413   598.0408  0.1050761
  -1.947844    0.74140   13.57007   589.9876  0.1050761
  -1.947844    0.73086   13.14601   581.6002  0.1050761
  -1.947844    0.71970   12.72194   572.7192  0.1050761
  -1.947844    0.70780   12.29788   563.2495  0.1050761
  -1.947844    0.69542   11.87381   553.3979  0.1050761
  -1.947844    0.68218   11.44975   542.8618  0.1050761
  -1.947844    0.66826   11.02568   531.7846  0.1050761
  -1.921452    0.65328   10.60162   519.8640  0.1051044
  -1.908235    0.63766   10.17755   507.4339  0.1051185
  -1.921452    0.62100    9.75349   494.1763  0.1051044
  -1.881850    0.60304    9.32942   479.8842  0.1051468
  -1.881850    0.58424    8.90536   464.9236  0.1051468
  -1.881850    0.56432    8.48129   449.0718  0.1051468
  -1.881850    0.54296    8.05723   432.0740  0.1051468
  -1.881850    0.52080    7.63316   414.4396  0.1051468
  -1.862056    0.49768    7.20910   396.0413  0.1051680
  -1.842276    0.47312    6.78504   376.4971  0.1051892
  -1.862056    0.44814    6.36097   356.6186  0.1051680
  -1.842276    0.42208    5.93691   335.8807  0.1051892
  -1.842276    0.39570    5.51284   314.8882  0.1051892
  -1.842276    0.36848    5.08878   293.2272  0.1051892
  -1.815878    0.34108    4.66471   271.4229  0.1052175
  -1.756496    0.31334    4.24065   249.3482  0.1052812
  -1.782888    0.28476    3.81658   226.6049  0.1052529
  -1.749891    0.25614    3.39252   203.8298  0.1052882
  -1.736695    0.22730    2.96845   180.8797  0.1053024
  -1.683898    0.19740    2.54439   157.0860  0.1053590
  -1.683898    0.16742    2.12033   133.2287  0.1053590
  -1.578323    0.13658    1.69626   108.6870  0.1054721
  -1.578323    0.13658    1.69626   108.6870  0.1054721
  -1.578323    0.13388    1.65385   106.5384  0.1054721
  -1.578323    0.13066    1.61145   103.9760  0.1054721
  -1.578323    0.12786    1.56904   101.7478  0.1054721
  -1.578323    0.12464    1.52663    99.1854  0.1054721
  -1.578323    0.12184    1.48423    96.9572  0.1054721
  -1.558529    0.11866    1.44182    94.4267  0.1054933
  -1.571725    0.11532    1.39941    91.7688  0.1054792
  -1.532138    0.11244    1.35701    89.4769  0.1055216
  -1.512351    0.10954    1.31460    87.1692  0.1055428
  -1.512351    0.10630    1.27219    84.5909  0.1055428
  -1.512351    0.10296    1.22979    81.9330  0.1055428
  -1.509702    0.10010    1.18738    79.6571  0.1055456
  -1.489908    0.09684    1.14497    77.0629  0.1055668
  -1.443729    0.09400    1.10257    74.8028  0.1056163
  -1.446364    0.09072    1.06016    72.1927  0.1056135
  -1.438445    0.08782    1.01776    69.8850  0.1056220
  -1.380378    0.08456    0.97535    67.2907  0.1056842
  -1.380378    0.08168    0.93294    64.9989  0.1056842
  -1.373780    0.07838    0.89054    62.3728  0.1056913
  -1.314398    0.07508    0.84813    59.7468  0.1057549
  -1.311756    0.07226    0.80572    57.5027  0.1057578
  -1.307807    0.06944    0.76332    55.2586  0.1057620
  -1.255002    0.06622    0.72091    52.6962  0.1058186
  -1.222020    0.06286    0.67850    50.0224  0.1058539
  -1.183753    0.05998    0.63610    47.7306  0.1058949
  -1.156026    0.05668    0.59369    45.1045  0.1059246
  -1.120408    0.05384    0.55128    42.8445  0.1059628
  -1.113810    0.05048    0.50888    40.1707  0.1059699
  -1.113810    0.04764    0.46647    37.9107  0.1059699
  -1.045168    0.04436    0.42407    35.3006  0.1060434
  -1.024074    0.04154    0.38166    33.0565  0.1060660
  -0.960722    0.03826    0.33925    30.4464  0.1061339
  -0.922456    0.03498    0.29685    27.8362  0.1061749
  -0.864374    0.03212    0.25444    25.5603  0.1062372
  -0.808963    0.02926    0.21203    23.2844  0.1062966
  -0.760128    0.02594    0.16963    20.6424  0.1063489
  -0.695476    0.02266    0.12722    18.0323  0.1064182
  -0.611017    0.01986    0.08481    15.8041  0.1065087
  -0.585932    0.01660    0.04241    13.2099  0.1065356
  -0.498838    0.01384    0.00000    11.0135  0.1066289
  -0.430195    0.01080   -0.04241     8.5944  0.1067025
  -0.329912    0.00752   -0.08481     5.9842  0.1068099
  -0.232263    0.00468   -0.12722     3.7242  0.1069146
  -0.080496    0.00134   -0.16962     1.0663  0.1070772
   0.042244   -0.00202   -0.21203    -1.6075  0.1072087
   0.203230   -0.00492   -0.25444    -3.9152  0.1073813
   0.348406   -0.00780   -0.29684    -6.2070  0.1075368
   0.633453   -0.01110   -0.33925    -8.8331  0.1078423
   1.018790   -0.01442   -0.38166   -11.4751  0.1082552
   1.549303   -0.01724   -0.42406   -13.7192  0.1088238
   1.959733   -0.02054   -0.46647   -16.3452  0.1092636
   1.866033   -0.02342   -0.50888   -18.6371  0.1091632
   1.331557   -0.02680   -0.55128   -21.3268  0.1085904
   0.816881   -0.02964   -0.59369   -23.5868  0.1080389
   0.335203   -0.03294   -0.63610   -26.2128  0.1075227
  -0.014510   -0.03584   -0.67850   -28.5206  0.1071479
  -0.298250   -0.03920   -0.72091   -31.1944  0.1068439
  -0.496196   -0.04242   -0.76332   -33.7568  0.1066317
  -0.588574   -0.04526   -0.80572   -36.0168  0.1065327
  -0.728466   -0.04810   -0.84813   -38.2768  0.1063828
  -0.832712   -0.05140   -0.89053   -40.9028  0.1062711
  -0.892101   -0.05472   -0.93294   -43.5448  0.1062075
  -0.983158   -0.05756   -0.97535   -45.8048  0.1061099
  -1.034621   -0.06084   -1.01775   -48.4150  0.1060547
  -1.111161   -0.06372   -1.06016   -50.7068  0.1059727
  -1.152063   -0.06702   -1.10257   -53.3328  0.1059289
  -1.156026   -0.06984   -1.14497   -55.5769  0.1059246
  -1.202226   -0.07310   -1.18738   -58.1712  0.1058751
  -1.222020   -0.07594   -1.22979   -60.4311  0.1058539
  -1.281394   -0.07932   -1.27219   -63.1209  0.1057903
  -1.301202   -0.08254   -1.31460   -65.6833  0.1057691
  -1.314398   -0.08544   -1.35701   -67.9910  0.1057549
  -1.367175   -0.08830   -1.39941   -70.2669  0.1056984
  -1.380378   -0.09166   -1.44182   -72.9407  0.1056842
  -1.380378   -0.09484   -1.48423   -75.4713  0.1056842
