WEEKLY (ROUGHLY) FREON-12 READINGS AT POINT BARROW (ALASKA) 1/77 TO 12/86
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = BRWF12_WK.DAT
NUMBER OF OBSERVATIONS = 899
RESPONSE VARIABLE = MEAN FREON-12 CONCENTRATION (IN PARTS PER TRILLION)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1977 TO 1986)
   2. DAY OF YEAR (1 TO 365)
   3. SAMPLE BOTTLE (OF ONLY MINOR INTEREST)
   4. STANDARD DEVIATION (OVER 3 OBSERVATIONS)
   5. MEAN (OVER 3 OBSERVATIONS) FREON-12 CONCENTRATION (PPT)
   6. VALIDITY FLAG (ONLY USE DATA WITH FLAG = 0)
   7. WATER VAPOR
   8. CO2
NOTE--ONLY USE DATA WITH VALIDTY FLAG = 0
      POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2)
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11)
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?
1977   6 111  0.0   0.0 36   1.0012 -99.9900
1977  12 112  0.0   0.0 36   1.0004 -99.9900
1977  26 113  0.0   0.0 36   1.0010 -99.9900
1977  46 114  0.0   0.0 36   1.0008 -99.9900
1977  53 115  0.0   0.0 36   1.0010 -99.9900
1977  70 116  0.0   0.0 36   1.0006 -99.9900
1977  78 117  0.0   0.0 36   1.0007 -99.9900
1977  83 118  0.0   0.0 36   1.0005 -99.9900
1977  98 119  0.0   0.0 36   1.0008 -99.9900
1977 103 120  0.0   0.0 36   1.0007 -99.9900
1977 110 121  0.0   0.0 36   1.0020 -99.9900
1977 122 122  5.6 467.5 36   1.0017 -99.9900
1977 144 124 12.7 850.8 37   1.0031 -99.9900
1977 153 125  1.3 265.3 32   1.0048 -99.9900
1977 167 127  0.0 313.4 36   1.0062 -99.9900
1977 215 128  1.5 255.1  2
1977 215 128  2.7 275.8  2   1.0094 328.5300
1977 220 129 24.8 314.3  5   1.0077 325.6400
1977 220 129  3.6 333.9  6   1.0077 325.6400
1977 229 130  5.4 264.3  2
1977 229 130  4.0 277.8  2   1.0139 328.1900
1977 247 131  1.5 256.4  2
1977 247 131  2.2 274.1  2   1.0106 329.2900
1977 254 132  6.9 258.9  1   1.0056 326.2600
