 EVENT #: 6   NBS METROLOGY B165
 DATE:    07/27/89
 TIME:    14:51:28.16
 TYPE:    RMS/IMPULSE
 UNITS:   VOLTS
 CHANNEL: A
 SITE ID: Monitor 1

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
           0.0     12.000
         256.0     20.800
         512.0     29.600
         768.0     38.400
        1024.0     46.400
        1280.0     54.400
        1536.0     61.600
        1792.0     69.200
        2048.0     76.800
        2304.0     84.000
        2560.0     90.800
        2816.0     96.800
        3072.0    104.000
        3328.0    111.600
        3584.0    118.000
        3840.0    123.200
        4096.0    128.800
        4352.0    133.600
        4608.0    138.000
        4864.0    142.400
        5120.0    146.800
        5376.0    150.000
        5632.0    152.800
        5888.0    154.400
        6144.0    156.400
        6400.0    158.000
        6656.0    159.200
        6912.0    160.000
        7168.0    161.200
        7424.0    162.000
        7680.0    162.400
        7936.0    162.400
        8192.0    162.400
        8448.0    162.400
        8704.0    161.200
        8960.0    159.600
        9216.0    157.600
        9472.0    154.400
        9728.0    150.000
        9984.0    145.200
       10240.0    138.800
       10496.0    132.800
       10752.0    127.600
       11008.0    122.400
       11264.0    116.000
       11520.0    109.600
       11776.0    104.000
       12032.0     97.600
       12288.0     90.400
       12544.0     82.800
       12800.0     75.200
       13056.0     67.600
       13312.0     59.200
       13568.0     50.800
       13824.0     41.600
       14080.0     32.800
       14336.0     24.000
       14592.0     15.200
       14848.0      5.600
       15104.0     -3.200
       15360.0    -11.600
       15616.0    -20.800
       15872.0    -29.600
       16128.0    -38.400
       16384.0    -45.600
       16640.0    -53.600
       16896.0    -61.600
       17152.0    -68.800
       17408.0    -76.800
       17664.0    -84.000
       17920.0    -90.400
       18176.0    -96.800
       18432.0   -104.000
       18688.0   -111.200
       18944.0   -117.600
       19200.0   -123.200
       19456.0   -128.400
       19712.0   -133.600
       19968.0   -138.000
       20224.0   -142.400
       20480.0   -146.400
       20736.0   -149.600
       20992.0   -152.000
       21248.0   -154.400
       21504.0   -156.000
       21760.0   -157.600
       22016.0   -158.800
       22272.0   -160.000
       22528.0   -160.800
       22784.0   -161.600
       23040.0   -162.400
       23296.0   -162.000
       23552.0   -162.400
       23808.0   -161.600
       24064.0   -160.800
       24320.0   -159.200
       24576.0   -156.800
       24832.0   -153.600
       25088.0   -149.600
       25344.0   -144.800
       25600.0   -138.400
       25856.0   -132.800
       26112.0   -127.200
       26368.0   -121.600
       26624.0   -116.000
       26880.0   -109.600
       27136.0   -104.000
       27392.0    -97.600
       27648.0    -90.400
       27904.0    -82.400
       27905.0      0.000
       27906.0   -108.000
       27907.0    -60.000
       27908.0    -72.000
       27909.0    -48.000
       27910.0    -60.000
       27911.0    -60.000
       27912.0    -48.000
       27913.0    -60.000
       27914.0    -48.000
       27915.0    -60.000
       27916.0    -60.000
       27917.0    -60.000
       27918.0    -36.000
       27919.0    -24.000
       27920.0   -132.000
       27921.0    -12.000
       27922.0    -60.000
       27923.0    -60.000
       27924.0    -48.000
       27925.0    -60.000
       27926.0    -60.000
       27927.0    -60.000
       27928.0    -60.000
       27929.0    -60.000
       27930.0    -60.000
       27931.0    -60.000
       27932.0     12.000
       27933.0    -84.000
       27934.0   -120.000
       27935.0    -60.000
       27936.0    -60.000
       27937.0    -72.000
       27938.0    -48.000
       27939.0    -48.000
       27940.0    -60.000
       27941.0    -48.000
       27942.0    -60.000
       27943.0    -60.000
       27944.0    -60.000
       27945.0    -48.000
       27946.0    -48.000
       27947.0    -60.000
       27948.0      0.000
       27949.0   -108.000
       27950.0    -60.000
       27951.0    -72.000
       27952.0    -48.000
       27953.0    -60.000
       27954.0    -60.000
       27955.0    -48.000
       27956.0    -60.000
       27957.0    -48.000
       27958.0    -60.000
       27959.0    -60.000
       27960.0    -60.000
       27961.0    -60.000
       27962.0    -12.000
       27963.0   -108.000
       27964.0    -48.000
       27965.0    -72.000
       27966.0    -48.000
       27967.0    -60.000
       27968.0    -60.000
       27969.0    -48.000
       27970.0    -48.000
       27971.0    -48.000
       27972.0    -60.000
       27973.0    -60.000
       27974.0    -60.000
       27975.0    -48.000
       27976.0    -48.000
       27977.0    -48.000
       27978.0    -60.000
       27979.0    -48.000
       27980.0      0.000
       27981.0   -120.000
       27982.0    -24.000
       27983.0   -108.000
       27984.0    -24.000
       27985.0    -72.000
       27986.0    -60.000
       27987.0    -48.000
       27988.0    -48.000
       27989.0    -48.000
       27990.0    -60.000
       27991.0    -48.000
       27992.0    -60.000
       27993.0      0.000
       27994.0   -108.000
       27995.0    -48.000
       27996.0    -72.000
       27997.0    -48.000
       27998.0    -60.000
       27999.0    -48.000
       28000.0    -48.000
