ALARM.DAT
Column 1:  Instrument ID
Column 2:  Source to Detect
Column 3:  Expected Alarm (Ground Truth)
           1 = alarm expected
           0 = alarm not expected
Column 4:  Observed Alarm
           1 = alarm given
           0 = alarm not given

Methods of Analysis:
  1) Odds Ratio
  2) ROC Curve
  3) Rose Plot
  4) Binary Tabulation Plot








   Instrument  Source    Expalarm  Obsalarm
--------------------------------------------
       10.        1.        0.        0.
       10.        2.        1.        1.
       10.        2.        1.        1.
       10.        2.        1.        1.
       10.        3.        0.        0.
       10.        3.        0.        0.
       10.        3.        0.        0.
       10.        3.        0.        0.
       10.        3.        0.        0.
       10.        3.        0.        0.
       10.        4.        0.        0.
       10.        4.        0.        1.
       10.        4.        0.        0.
       10.        4.        0.        1.
       10.        4.        0.        1.
       10.        4.        0.        1.
       10.        4.        0.        1.
       10.        4.        0.        1.
       10.        5.        1.        1.
       10.        5.        1.        1.
       10.        5.        1.        1.
       10.        5.        1.        1.
       10.        5.        1.        1.
       10.        5.        1.        1.
       10.        6.        1.        0.
       10.        6.        1.        0.
       10.        6.        1.        0.
       10.        6.        1.        0.
       10.        6.        1.        0.
       10.        6.        1.        0.
       10.        1.        0.        0.
       10.        3.        0.        0.
       10.        3.        0.        0.
       10.        3.        0.        0.
       10.        3.        0.        0.
       10.        3.        0.        0.
       10.        3.        0.        0.
       10.        4.        0.        1.
       10.        4.        0.        0.
       10.        4.        0.        0.
       10.        4.        0.        1.
       10.        4.        0.        1.
       10.        4.        0.        1.
       10.        5.        1.        1.
       10.        5.        1.        1.
       10.        5.        1.        1.
       10.        5.        1.        1.
       10.        5.        1.        1.
       10.        5.        1.        1.
       10.        6.        1.        0.
       10.        6.        1.        0.
       10.        6.        1.        0.
       10.        6.        1.        0.
       10.        6.        1.        0.
       10.        6.        1.        0.
       12.        1.        0.        0.
       12.        2.        1.        1.
       12.        2.        1.        1.
       12.        2.        1.        1.
       12.        3.        0.        1.
       12.        3.        0.        0.
       12.        3.        0.        0.
       12.        3.        0.        1.
       12.        3.        0.        0.
       12.        3.        0.        0.
       12.        4.        0.        0.
       12.        4.        0.        0.
       12.        4.        0.        0.
       12.        4.        0.        1.
       12.        4.        0.        1.
       12.        4.        0.        1.
       12.        4.        0.        1.
       12.        4.        0.        1.
       12.        5.        1.        1.
       12.        5.        1.        1.
       12.        5.        1.        1.
       12.        5.        1.        1.
       12.        5.        1.        1.
       12.        5.        1.        1.
       12.        6.        1.        0.
       12.        6.        1.        0.
       12.        6.        1.        0.
       12.        6.        1.        0.
       12.        6.        1.        0.
       12.        6.        1.        0.
       12.        1.        0.        1.
       12.        3.        0.        0.
       12.        3.        0.        0.
       12.        3.        0.        0.
       12.        3.        0.        0.
       12.        3.        0.        0.
       12.        3.        0.        0.
       12.        4.        0.        1.
       12.        4.        0.        0.
       12.        4.        0.        0.
       12.        4.        0.        1.
       12.        4.        0.        1.
       12.        4.        0.        1.
       12.        5.        1.        1.
       12.        5.        1.        1.
       12.        5.        1.        1.
       12.        5.        1.        1.
       12.        5.        1.        1.
       12.        5.        1.        1.
       12.        6.        1.        0.
       12.        6.        1.        0.
       12.        6.        1.        0.
       12.        6.        1.        0.
       12.        6.        1.        0.
       12.        6.        1.        1.
        1.        1.        0.        0.
        1.        2.        1.        1.
        1.        2.        1.        1.
        1.        2.        1.        1.
        1.        3.        0.        0.
        1.        3.        0.        0.
        1.        3.        0.        0.
        1.        3.        0.        0.
        1.        3.        0.        0.
        1.        3.        0.        0.
        1.        4.        0.        0.
        1.        4.        0.        0.
        1.        4.        0.        0.
        1.        4.        0.        0.
        1.        4.        0.        0.
        1.        4.        0.        0.
        1.        4.        0.        0.
        1.        4.        0.        0.
        1.        5.        1.        0.
        1.        5.        1.        0.
        1.        5.        1.        1.
        1.        5.        1.        0.
        1.        5.        1.        0.
        1.        5.        1.        0.
        1.        6.        1.        0.
        1.        6.        1.        0.
        1.        6.        1.        0.
        1.        6.        1.        0.
        1.        6.        1.        0.
        1.        6.        1.        0.
        1.        1.        0.        0.
        1.        3.        0.        0.
        1.        3.        0.        0.
        1.        3.        0.        0.
        1.        3.        0.        0.
        1.        3.        0.        0.
        1.        3.        0.        0.
        1.        4.        0.        1.
        1.        4.        0.        1.
        1.        4.        0.        1.
        1.        4.        0.        1.
        1.        4.        0.        1.
        1.        4.        0.        1.
        1.        5.        1.        1.
        1.        5.        1.        1.
        1.        5.        1.        1.
        1.        5.        1.        1.
        1.        5.        1.        1.
        1.        5.        1.        1.
        1.        6.        1.        0.
        1.        6.        1.        0.
        1.        6.        1.        0.
        1.        6.        1.        0.
        1.        6.        1.        0.
        1.        6.        1.        0.
       15.        1.        0.        0.
       15.        3.        0.        0.
       15.        3.        0.        0.
       15.        3.        0.        0.
       15.        3.        0.        0.
       15.        3.        0.        0.
       15.        3.        0.        0.
       15.        4.        0.        1.
       15.        4.        0.        1.
       15.        4.        0.        1.
       15.        4.        0.        1.
       15.        4.        0.        1.
       15.        4.        0.        1.
       15.        5.        1.        1.
       15.        5.        1.        1.
       15.        5.        1.        1.
       15.        5.        1.        1.
       15.        5.        1.        1.
       15.        5.        1.        1.
       15.        6.        1.        0.
       15.        6.        1.        0.
       15.        6.        1.        0.
       15.        6.        1.        1.
       15.        6.        1.        0.
       15.        6.        1.        0.
       15.        1.        0.        0.
       15.        2.        1.        1.
       15.        2.        1.        1.
       15.        2.        1.        1.
       15.        3.        0.        0.
       15.        3.        0.        0.
       15.        3.        0.        0.
       15.        3.        0.        0.
       15.        3.        0.        0.
       15.        3.        0.        0.
       15.        4.        0.        1.
       15.        4.        0.        1.
       15.        4.        0.        1.
       15.        4.        0.        1.
       15.        4.        0.        1.
       15.        4.        0.        1.
       15.        4.        0.        1.
       15.        4.        0.        1.
       15.        5.        1.        1.
       15.        5.        1.        1.
       15.        5.        1.        1.
       15.        5.        1.        1.
       15.        5.        1.        1.
       15.        5.        1.        1.
       15.        6.        1.        0.
       15.        6.        1.        0.
       15.        6.        1.        0.
       15.        6.        1.        1.
       15.        6.        1.        0.
       15.        6.        1.        0.
        4.        1.        0.        0.
        4.        2.        1.        1.
        4.        2.        1.        1.
        4.        2.        1.        1.
        4.        3.        0.        0.
        4.        3.        0.        0.
        4.        3.        0.        0.
        4.        3.        0.        0.
        4.        3.        0.        0.
        4.        3.        0.        0.
        4.        4.        0.        1.
        4.        4.        0.        1.
        4.        4.        0.        1.
        4.        4.        0.        1.
        4.        4.        0.        1.
        4.        4.        0.        1.
        4.        4.        0.        1.
        4.        4.        0.        1.
        4.        5.        1.        1.
        4.        5.        1.        1.
        4.        5.        1.        1.
        4.        5.        1.        1.
        4.        5.        1.        1.
        4.        5.        1.        1.
        4.        6.        1.        0.
        4.        6.        1.        0.
        4.        6.        1.        0.
        4.        6.        1.        0.
        4.        6.        1.        1.
        4.        6.        1.        1.
        4.        1.        0.        0.
        4.        3.        0.        0.
        4.        3.        0.        0.
        4.        3.        0.        0.
        4.        3.        0.        0.
        4.        3.        0.        0.
        4.        3.        0.        0.
        4.        4.        0.        1.
        4.        4.        0.        1.
        4.        4.        0.        1.
        4.        4.        0.        1.
        4.        4.        0.        1.
        4.        4.        0.        1.
        4.        5.        1.        1.
        4.        5.        1.        1.
        4.        5.        1.        1.
        4.        5.        1.        1.
        4.        5.        1.        1.
        4.        5.        1.        1.
        4.        6.        1.        0.
        4.        6.        1.        0.
        4.        6.        1.        0.
        4.        6.        1.        0.
        4.        6.        1.        0.
        4.        6.        1.        1.
       11.        1.        0.        0.
       11.        2.        1.        1.
       11.        2.        1.        1.
       11.        2.        1.        1.
       11.        3.        0.        0.
       11.        3.        0.        0.
       11.        3.        0.        0.
       11.        3.        0.        0.
       11.        3.        0.        0.
       11.        3.        0.        0.
       11.        4.        0.        0.
       11.        4.        0.        0.
       11.        4.        0.        0.
       11.        4.        0.        1.
       11.        4.        0.        1.
       11.        4.        0.        1.
       11.        4.        0.        1.
       11.        4.        0.        1.
       11.        5.        1.        0.
       11.        5.        1.        1.
       11.        5.        1.        1.
       11.        5.        1.        1.
       11.        5.        1.        1.
       11.        5.        1.        1.
       11.        6.        1.        0.
       11.        6.        1.        0.
       11.        6.        1.        0.
       11.        6.        1.        0.
       11.        6.        1.        0.
       11.        6.        1.        0.
       11.        1.        0.        0.
       11.        3.        0.        0.
       11.        3.        0.        0.
       11.        3.        0.        0.
       11.        3.        0.        0.
       11.        3.        0.        0.
       11.        3.        0.        0.
       11.        4.        0.        0.
       11.        4.        0.        1.
       11.        4.        0.        1.
       11.        4.        0.        1.
       11.        4.        0.        1.
       11.        4.        0.        1.
       11.        5.        1.        1.
       11.        5.        1.        1.
       11.        5.        1.        1.
       11.        5.        1.        1.
       11.        5.        1.        1.
       11.        5.        1.        1.
       11.        6.        1.        0.
       11.        6.        1.        0.
       11.        6.        1.        0.
       11.        6.        1.        0.
       11.        6.        1.        0.
       11.        6.        1.        0.
        5.        1.        0.        0.
        5.        2.        1.        1.
        5.        2.        1.        0.
        5.        2.        1.        0.
        5.        3.        0.        0.
        5.        3.        0.        0.
        5.        3.        0.        0.
        5.        3.        0.        0.
        5.        3.        0.        0.
        5.        3.        0.        0.
        5.        4.        0.        0.
        5.        4.        0.        0.
        5.        4.        0.        0.
        5.        4.        0.        0.
        5.        4.        0.        0.
        5.        4.        0.        0.
        5.        4.        0.        0.
        5.        4.        0.        0.
        5.        5.        1.        1.
        5.        5.        1.        1.
        5.        5.        1.        0.
        5.        5.        1.        0.
        5.        5.        1.        1.
        5.        5.        1.        1.
        5.        6.        1.        0.
        5.        6.        1.        0.
        5.        6.        1.        0.
        5.        6.        1.        0.
        5.        6.        1.        0.
        5.        6.        1.        0.
        5.        1.        0.        0.
        5.        3.        0.        0.
        5.        3.        0.        0.
        5.        3.        0.        0.
        5.        3.        0.        0.
        5.        3.        0.        0.
        5.        3.        0.        0.
        5.        4.        0.        0.
        5.        4.        0.        0.
        5.        4.        0.        0.
        5.        4.        0.        0.
        5.        4.        0.        0.
        5.        4.        0.        0.
        5.        5.        1.        1.
        5.        5.        1.        1.
        5.        5.        1.        1.
        5.        5.        1.        1.
        5.        5.        1.        1.
        5.        5.        1.        0.
        5.        6.        1.        0.
        5.        6.        1.        0.
        5.        6.        1.        0.
        5.        6.        1.        0.
        5.        6.        1.        0.
        5.        6.        1.        0.
        6.        1.        0.        0.
        6.        2.        1.        1.
        6.        2.        1.        1.
        6.        2.        1.        0.
        6.        3.        0.        0.
        6.        3.        0.        0.
        6.        3.        0.        0.
        6.        3.        0.        0.
        6.        3.        0.        0.
        6.        3.        0.        0.
        6.        4.        0.        0.
        6.        4.        0.        0.
        6.        4.        0.        0.
        6.        4.        0.        0.
        6.        4.        0.        0.
        6.        4.        0.        1.
        6.        4.        0.        0.
        6.        4.        0.        0.
        6.        5.        1.        1.
        6.        5.        1.        1.
        6.        5.        1.        1.
        6.        5.        1.        1.
        6.        5.        1.        1.
        6.        5.        1.        1.
        6.        6.        1.        0.
        6.        6.        1.        0.
        6.        6.        1.        0.
        6.        6.        1.        0.
        6.        6.        1.        0.
        6.        6.        1.        0.
        6.        1.        0.        0.
        6.        3.        0.        0.
        6.        3.        0.        0.
        6.        3.        0.        0.
        6.        3.        0.        0.
        6.        3.        0.        0.
        6.        3.        0.        0.
        6.        4.        0.        0.
        6.        4.        0.        0.
        6.        4.        0.        1.
        6.        4.        0.        1.
        6.        4.        0.        0.
        6.        4.        0.        1.
        6.        5.        1.        0.
        6.        5.        1.        1.
        6.        5.        1.        1.
        6.        5.        1.        1.
        6.        5.        1.        1.
        6.        5.        1.        0.
        6.        6.        1.        0.
        6.        6.        1.        0.
        6.        6.        1.        0.
        6.        6.        1.        0.
        6.        6.        1.        0.
        6.        6.        1.        0.
        7.        1.        0.        0.
        7.        2.        1.        1.
        7.        2.        1.        1.
        7.        2.        1.        1.
        7.        3.        0.        0.
        7.        3.        0.        0.
        7.        3.        0.        0.
        7.        3.        0.        0.
        7.        3.        0.        0.
        7.        3.        0.        0.
        7.        4.        0.        0.
        7.        4.        0.        0.
        7.        4.        0.        0.
        7.        4.        0.        1.
        7.        4.        0.        1.
        7.        4.        0.        1.
        7.        4.        0.        1.
        7.        4.        0.        1.
        7.        5.        1.        1.
        7.        5.        1.        1.
        7.        5.        1.        1.
        7.        5.        1.        1.
        7.        5.        1.        1.
        7.        5.        1.        1.
        7.        6.        1.        0.
        7.        6.        1.        0.
        7.        6.        1.        0.
        7.        6.        1.        0.
        7.        6.        1.        0.
        7.        6.        1.        0.
        7.        1.        0.        0.
        7.        3.        0.        0.
        7.        3.        0.        0.
        7.        3.        0.        0.
        7.        3.        0.        0.
        7.        3.        0.        0.
        7.        3.        0.        0.
        7.        4.        0.        0.
        7.        4.        0.        0.
        7.        4.        0.        1.
        7.        4.        0.        1.
        7.        4.        0.        1.
        7.        4.        0.        1.
        7.        5.        1.        1.
        7.        5.        1.        1.
        7.        5.        1.        1.
        7.        5.        1.        1.
        7.        5.        1.        1.
        7.        5.        1.        1.
        7.        6.        1.        0.
        7.        6.        1.        0.
        7.        6.        1.        0.
        7.        6.        1.        0.
        7.        6.        1.        0.
        7.        6.        1.        0.
        8.        1.        0.        0.
        8.        2.        1.        0.
        8.        2.        1.        0.
        8.        2.        1.        0.
        8.        3.        0.        0.
        8.        3.        0.        0.
        8.        3.        0.        0.
        8.        3.        0.        0.
        8.        3.        0.        0.
        8.        3.        0.        0.
        8.        4.        0.        0.
        8.        4.        0.        0.
        8.        4.        0.        0.
        8.        4.        0.        0.
        8.        4.        0.        0.
        8.        4.        0.        0.
        8.        4.        0.        1.
        8.        4.        0.        0.
        8.        5.        1.        0.
        8.        5.        1.        0.
        8.        5.        1.        0.
        8.        5.        1.        1.
        8.        5.        1.        0.
        8.        5.        1.        0.
        8.        6.        1.        0.
        8.        6.        1.        0.
        8.        6.        1.        0.
        8.        6.        1.        0.
        8.        6.        1.        0.
        8.        6.        1.        0.
        8.        1.        0.        0.
        8.        3.        0.        0.
        8.        3.        0.        0.
        8.        3.        0.        0.
        8.        3.        0.        0.
        8.        3.        0.        0.
        8.        3.        0.        0.
        8.        4.        0.        0.
        8.        4.        0.        0.
        8.        4.        0.        0.
        8.        4.        0.        0.
        8.        4.        0.        0.
        8.        4.        0.        0.
        8.        5.        1.        1.
        8.        5.        1.        1.
        8.        5.        1.        1.
        8.        5.        1.        0.
        8.        5.        1.        1.
        8.        5.        1.        1.
        8.        6.        1.        0.
        8.        6.        1.        0.
        8.        6.        1.        0.
        8.        6.        1.        0.
        8.        6.        1.        0.
        8.        6.        1.        0.
        9.        1.        0.        0.
        9.        2.        1.        1.
        9.        2.        1.        1.
        9.        2.        1.        0.
        9.        3.        0.        0.
        9.        3.        0.        0.
        9.        3.        0.        0.
        9.        3.        0.        0.
        9.        3.        0.        0.
        9.        3.        0.        0.
        9.        4.        0.        0.
        9.        4.        0.        0.
        9.        4.        0.        1.
        9.        4.        0.        1.
        9.        4.        0.        1.
        9.        4.        0.        1.
        9.        4.        0.        1.
        9.        4.        0.        1.
        9.        5.        1.        1.
        9.        5.        1.        1.
        9.        5.        1.        1.
        9.        5.        1.        1.
        9.        5.        1.        0.
        9.        5.        1.        0.
        9.        6.        1.        0.
        9.        6.        1.        0.
        9.        6.        1.        0.
        9.        6.        1.        0.
        9.        6.        1.        0.
        9.        6.        1.        0.
        9.        1.        0.        0.
        9.        3.        0.        0.
        9.        3.        0.        0.
        9.        3.        0.        0.
        9.        3.        0.        0.
        9.        3.        0.        0.
        9.        3.        0.        0.
        9.        4.        0.        0.
        9.        4.        0.        0.
        9.        4.        0.        1.
        9.        4.        0.        1.
        9.        4.        0.        1.
        9.        4.        0.        1.
        9.        5.        1.        1.
        9.        5.        1.        0.
        9.        5.        1.        0.
        9.        5.        1.        0.
        9.        5.        1.        0.
        9.        5.        1.        0.
        9.        6.        1.        0.
        9.        6.        1.        0.
        9.        6.        1.        0.
        9.        6.        1.        0.
        9.        6.        1.        0.
        9.        6.        1.        0.
       13.        1.        0.        0.
       13.        2.        1.        1.
       13.        2.        1.        1.
       13.        2.        1.        0.
       13.        3.        0.        0.
       13.        3.        0.        0.
       13.        3.        0.        0.
       13.        3.        0.        0.
       13.        3.        0.        0.
       13.        3.        0.        0.
       13.        4.        0.        1.
       13.        4.        0.        1.
       13.        4.        0.        1.
       13.        4.        0.        1.
       13.        4.        0.        1.
       13.        4.        0.        1.
       13.        4.        0.        0.
       13.        4.        0.        1.
       13.        5.        1.        1.
       13.        5.        1.        1.
       13.        5.        1.        1.
       13.        5.        1.        1.
       13.        5.        1.        1.
       13.        5.        1.        1.
       13.        6.        1.        0.
       13.        6.        1.        0.
       13.        6.        1.        0.
       13.        6.        1.        1.
       13.        6.        1.        0.
       13.        6.        1.        1.
       13.        1.        0.        0.
       13.        3.        0.        0.
       13.        3.        0.        0.
       13.        3.        0.        0.
       13.        3.        0.        0.
       13.        3.        0.        0.
       13.        3.        0.        0.
       13.        4.        0.        1.
       13.        4.        0.        1.
       13.        4.        0.        1.
       13.        4.        0.        1.
       13.        4.        0.        1.
       13.        4.        0.        1.
       13.        5.        1.        0.
       13.        5.        1.        1.
       13.        5.        1.        1.
       13.        5.        1.        1.
       13.        5.        1.        1.
       13.        5.        1.        1.
       13.        6.        1.        0.
       13.        6.        1.        0.
       13.        6.        1.        0.
       13.        6.        1.        1.
       13.        6.        1.        0.
       13.        6.        1.        0.
       14.        1.        0.        0.
       14.        2.        1.        1.
       14.        2.        1.        1.
       14.        2.        1.        1.
       14.        3.        0.        0.
       14.        3.        0.        0.
       14.        3.        0.        0.
       14.        3.        0.        0.
       14.        3.        0.        0.
       14.        3.        0.        0.
       14.        4.        0.        0.
       14.        4.        0.        0.
       14.        4.        0.        0.
       14.        4.        0.        1.
       14.        4.        0.        1.
       14.        4.        0.        1.
       14.        4.        0.        1.
       14.        4.        0.        1.
       14.        5.        1.        1.
       14.        5.        1.        1.
       14.        5.        1.        1.
       14.        5.        1.        1.
       14.        5.        1.        1.
       14.        5.        1.        1.
       14.        6.        1.        0.
       14.        6.        1.        0.
       14.        6.        1.        0.
       14.        6.        1.        0.
       14.        6.        1.        0.
       14.        6.        1.        0.
       14.        1.        0.        0.
       14.        3.        0.        0.
       14.        3.        0.        0.
       14.        3.        0.        0.
       14.        3.        0.        0.
       14.        3.        0.        0.
       14.        3.        0.        0.
       14.        4.        0.        1.
       14.        4.        0.        0.
       14.        4.        0.        1.
       14.        4.        0.        1.
       14.        4.        0.        1.
       14.        4.        0.        1.
       14.        5.        1.        1.
       14.        5.        1.        1.
       14.        5.        1.        1.
       14.        5.        1.        1.
       14.        5.        1.        1.
       14.        5.        1.        1.
       14.        6.        1.        0.
       14.        6.        1.        0.
       14.        6.        1.        0.
       14.        6.        1.        0.
       14.        6.        1.        0.
       14.        6.        1.        0.
        2.        1.        0.        0.
        2.        2.        1.        1.
        2.        2.        1.        1.
        2.        2.        1.        1.
        2.        3.        0.        0.
        2.        3.        0.        0.
        2.        3.        0.        0.
        2.        3.        0.        0.
        2.        3.        0.        0.
        2.        3.        0.        0.
        2.        4.        0.        1.
        2.        4.        0.        1.
        2.        4.        0.        1.
        2.        4.        0.        1.
