This is Dataplot data file     NATR94.DAT
Breakdowns of Electricity Meters
Question: Does the new product differ from the standard with regard
          to the proportions in each category? 
Source--Natella, Mary G. (1963). Experimental Statistics.
        National Bureau of Standards Handbook 91.
        U.S. Government Printing Office.  Page 9-4
Number of observations = 4
Number of variables per line image = 2
Order of variables on a line image--
   1. Y = Response Variable = Number of Breakdowns
   2. X = Category (Type of Meter)

To read this file into Dataplot--
   SKIP 25
   READ NATR94.DAT Y X






     Y             X  
 Number         Category
------------------------
     30             1  
     40             2 
     33             3
     47             4
