This is Dataplot data file     DRAFT69.DAT
1969 Draft Lottery Rankings
Number of observations             = 365
Number of variables per line image =   3
Order of variables on a line image--
   1. Response variable = draft rank (1 to 365)
   2. Factor 1          = day of year (1 to 365)
   3. Factor 2          = month (1 to 12)
To read this file into Dataplot--
   SKIP 25
   READ DRAFT69.DAT Y DAY MONTH











 Rank    Day of   Month
          Year
------------------------
  258        1      1
  115        2      1
  365        3      1
   45        4      1
  292        5      1
  250        6      1
  300        7      1
  251        8      1
  327        9      1
  341       10      1
  244       11      1
  342       12      1
  190       13      1
  102       14      1
  194       15      1
  364       16      1
   15       17      1
  270       18      1
  306       19      1
  156       20      1
  223       21      1
  178       22      1
  206       23      1
  279       24      1
   50       25      1
  349       26      1
  203       27      1
  157       28      1
   62       29      1
   91       30      1
  145       31      1

   92       32      2
   77       33      2
  307       34      2
  128       35      2
  237       36      2
  132       37      2
  304       38      2
  346       39      2
  124       40      2
  345       41      2
  195       42      2
  344       43      2
  229       44      2
  215       45      2
  316       46      2
  332       47      2
  221       48      2
  247       49      2
  189       50      2
  312       51      2
   25       52      2
  357       53      2
  218       54      2
  137       55      2
  340       56      2
   54       57      2
   19       58      2
   24       59      2
  173       60      2

  242       61      3
  112       62      3
  264       63      3
  179       64      3
  131       65      3
  317       66      3
  207       67      3
   43       68      3
  165       69      3
  356       70      3
  254       71      3
  286       72      3
  169       73      3
  118       74      3
  140       75      3
  311       76      3
   28       77      3
  362       78      3
  305       79      3
  314       80      3
   95       81      3
  249       82      3
   94       83      3
  360       84      3
  159       85      3
   32       86      3
  280       87      3
  210       88      3
   46       89      3
  109       90      3
   38       91      3

   26       92      4
  183       93      4
  302       94      4
  359       95      4
  351       96      4
  313       97      4
  199       98      4
  334       99      4
  366      100      4
    5      101      4
  228      102      4
  151      103      4
  171      104      4
  343      105      4
  222      106      4
  321      107      4
   61      108      4
  175      109      4
  158      110      4
  214      111      4
  138      112      4
  259      113      4
  219      114      4
  185      115      4
  236      116      4
  296      117      4
   23      118      4
  267      119      4
  198      120      4
   16      121      4

   67      122      5
  363      123      5
  104      124      5
  276      125      5
  318      126      5
  319      127      5
  353      128      5
  336      129      5
  136      130      5
  320      131      5
  330      132      5
  133      133      5
  163      134      5
  355      135      5
   71      136      5
  177      137      5
  287      138      5
   66      139      5
   18      140      5
  231      141      5
  225      142      5
  322      143      5
   33      144      5
  217      145      5
  323      146      5
   98      147      5
  107      148      5
  269      149      5
   42      150      5
  273      151      5
   44      152      5

  204      153      6
  230      154      6
  127      155      6
  326      156      6
  338      157      6
  255      158      6
    2      159      6
  266      160      6
  246      161      6
  358      162      6
  348      163      6
   30      164      6
  339      165      6
   76      166      6
  241      167      6
  220      168      6
   75      169      6
   86      170      6
  289      171      6
  205      172      6
  361      173      6
  335      174      6
  257      175      6
  299      176      6
  263      177      6
  135      178      6
   56      179      6
  167      180      6
   39      181      6
  328      182      6

  141      183      7
  252      184      7
  325      185      7
   21      186      7
  202      187      7
  187      188      7
   48      189      7
  200      190      7
  120      191      7
  294      192      7
  213      193      7
    9      194      7
  268      195      7
  298      196      7
  130      197      7
  227      198      7
    8      199      7
   79      200      7
  297      201      7
  278      202      7
  324      203      7
  265      204      7
   58      205      7
  162      206      7
  260      207      7
  121      208      7
  182      209      7
   35      210      7
   31      211      7
   47      212      7
   68      213      7

   36      214      8
    4      215      8
   41      216      8
   90      217      8
  101      218      8
  100      219      8
  284      220      8
   12      221      8
  180      222      8
   88      223      8
    6      224      8
  245      225      8
  150      226      8
  201      227      8
  154      228      8
  303      229      8
  329      230      8
  105      231      8
  248      232      8
  271      233      8
  281      234      8
   17      235      8
   55      236      8
  285      237      8
   14      238      8
   80      239      8
  354      240      8
  293      241      8
  256      242      8
  295      243      8
  277      244      8

  239      245      9
  262      246      9
  174      247      9
  193      248      9
  153      249      9
  142      250      9
    3      251      9
  114      252      9
   97      253      9
  290      254      9
  261      255      9
   83      256      9
  272      257      9
   84      258      9
   73      259      9
  108      260      9
  216      261      9
  119      262      9
  253      263      9
  301      264      9
   82      265      9
  309      266      9
   63      267      9
   87      268      9
   96      269      9
  211      270      9
   93      271      9
  164      272      9
  106      273      9
  168      274      9

   64      275      10
  125      276      10
  191      277      10
  139      278      10
  186      279      10
   20      280      10
  333      281      10
  315      282      10
  282      283      10
  192      284      10
   60      285      10
  238      286      10
  212      287      10
  291      288      10
  209      289      10
   53      290      10
  234      291      10
   49      292      10
   65      293      10
  288      294      10
  134      295      10
  148      296      10
   34      297      10
  123      298      10
   59      299      10
   72      300      10
  155      301      10
   51      302      10
  208      303      10
  352      304      10
    1      305      10

    7      306      11
  226      307      11
  149      308      11
  331      309      11
  310      310      11
  232      311      11
   99      312      11
  152      313      11
  347      314      11
  274      315      11
  113      316      11
   69      317      11
   13      318      11
  144      319      11
  350      320      11
  129      321      11
  197      322      11
   70      323      11
  224      324      11
   10      325      11
  143      326      11
  188      327      11
  337      328      11
   11      329      11
  122      330      11
  196      331      11
   78      332      11
  243      333      11
   81      334      11
  161      335      11

  110      336      12
   22      337      12
   40      338      12
  235      339      12
  117      340      12
  170      341      12
  283      342      12
   85      343      12
  233      344      12
  111      345      12
  103      346      12
   37      347      12
  308      348      12
   29      349      12
  184      350      12
  116      351      12
  240      352      12
  181      353      12
   74      354      12
   27      355      12
  166      356      12
  147      357      12
  176      358      12
  275      359      12
  172      360      12
  146      361      12
   89      362      12
   52      363      12
  126      364      12
   57      365      12
  160      366      12
