This is Dataplot data file    SIMON.DAT
Federal Highway Administration Concrete Analysis
Mixture Experiment    March 1997
   6-Factor Multi-response Constrained Mixture (non-Simplex sub-region)
Number of observations             = 36
Number of variables per line image = 11 (= 5 + 6)
Order of variables on a line image--
   Response variable 1 = slump            (inches)
   Response variable 2 = 1-day strength   (psi)
   Response variable 3 = 28-day strength  (psi)
   Response variable 4 = 1-day RCP        (coulombs)
   Response variable 5 = cost             ($/cubic yard)
   Factor 1            = water            (0 <= X1 <= 1)
   Factor 2            = cement           (0 <= X2 <= 1)
   Factor 3            = microsilica      (0 <= X3 <= 1)
   Factor 4            = HRWRA            (0 <= X4 <= 1)
   Factor 5            = course aggregate (0 <= X5 <= 1)
   Factor 6            = fine aggregate   (0 <= X6 <= 1)
Project Question--What settings for the 6 components
                  optimize? slump, maximize strength & RCP, minimize cost
Statistical area--mixture design of experiment
To read this file into Dataplot--
      SKIP 25; READ SIMON.DAT Y1 Y2 Y3 Y4 Y5 X1 X2 X3 X4 X5 X6
  Y1   Y2   Y3   Y4    Y5        X1   X2   X3   X4    X5   X6
----------------------------------------------------------------
2.625 3114 6996 1278  72.77     .185 .147 .013 .0046 .400 .250
2.250 3920 8006  862  78.15     .160 .150 .013 .0074 .410 .260
4.000 2429 7035 1162  69.82     .185 .130 .013 .0046 .417 .250
0.500 3246 7028  387  90.87     .160 .130 .027 .0046 .428 .250
1.375 3138 7700  776  70.49     .160 .130 .013 .0046 .442 .250
7.875 2435 8766 1027  74.08     .185 .130 .013 .0074 .407 .257
0.875 3851 7777  744  73.58     .171 .150 .013 .0046 .411 .250
5.000 2782 7492  492  94.47     .185 .130 .027 .0074 .400 .250
3.875 3118 7286  842  73.91     .172 .139 .013 .0060 .410 .260
4.625 2636 7388  903  69.82     .185 .130 .013 .0046 .400 .267
2.500 3974 7919  583  76.01     .160 .150 .013 .0060 .421 .250
2.250 3161 7709  684  70.49     .160 .130 .013 .0046 .400 .292
1.125 3213 7771  292  90.87     .160 .130 .027 .0046 .400 .278
1.250 3665 7533  604  72.18     .160 .140 .013 .0046 .432 .250
3.625 3235 7841  847  73.91     .172 .139 .013 .0060 .410 .260
1.500 3157 7880  720  72.18     .160 .140 .013 .0046 .400 .282
3.750 3199 8812  554  79.36     .166 .134 .016 .0067 .423 .254
2.000 3580 7715  792  73.58     .171 .150 .013 .0046 .400 .261
1.000 3397 7841  348  90.87     .160 .130 .027 .0046 .428 .250
4.500 2398 6960  968  69.82     .185 .130 .013 .0046 .417 .250
2.625 3325 7391  700  70.49     .160 .130 .013 .0046 .421 .271
3.000 3584 8675  316  95.14     .160 .130 .027 .0074 .413 .263
1.125 3333 7708  390  92.40     .177 .142 .027 .0046 .400 .250
4.875 3143 8004  302  94.80     .172 .130 .027 .0074 .413 .250
6.750 3341 8426  682  74.42     .172 .130 .013 .0074 .400 .277
2.000 3986 7908  505  76.01     .160 .150 .013 .0060 .400 .271
1.375 3964 8127  245  96.83     .160 .140 .027 .0074 .400 .266
1.250 3947 7413  310  96.83     .160 .140 .027 .0074 .416 .250
4.750 3248 8290  636  73.91     .172 .139 .013 .0060 .410 .260
4.500 3463 8151  356  94.80     .172 .130 .027 .0074 .400 .263
5.000 2703 7485  820  69.82     .185 .130 .013 .0046 .400 .267
4.250 4179 9466  553  78.15     .160 .150 .013 .0074 .410 .260
3.875 3858 8852  340  84.51     .160 .140 .020 .0060 .412 .262
4.000 3502 7918  640  73.91     .172 .139 .013 .0060 .410 .260
2.000 4172 8423  239  98.38     .166 .150 .027 .0074 .400 .250
1.000 3424 7909  332  92.40     .177 .142 .027 .0046 .400 .250
