Atmospheric Chemical Concentrations
Lloyd Currie, July 1990, Extracted from DDS Database
Number of Observations = 26
Number of Variables = 14 (= 2 ID Variables + 12 Chem Species)
Order of Variables on a line image--
   1. Sample ID (49 to 74)
   2. Set ID (1 to 5) (that is, 5 population groups)
   3. Arsenic Concentration (micrograms/kilogram) (Toxic)
   4. Calcium Concentration (grams/kilogram)
   5. Cadmium Concentration (micrograms/kilogram) (Toxic)
   6. Chromium Concentration (micrograms/kilogram)
   7. FB Concentration (grams/kilogram)
   8. Mercury Concentration (micrograms/kilogram) (Toxic)
   9. Iodine Concentration (micrograms/kilogram)
  10. Nickel Concentration (miligrams/kilogram)
  11. PA Concentration (grams/kilogram)
  12. Lead Concentration (micrograms/kilogram) (Toxic)
  13. Selenium Concentration (micrograms/kilogram)
  14. Zinc Concentration (miligrams/kilogram)
Statistical Area--Multivariate Analysis
To read this file into DATAPLOT--
   DIMENSION 100 VARIABLES; SKIP 25
   READ CURRIE4.DAT X1 X2 Y1 TO Y12
ID Group As   Ca   Cd   Cr   FB  Hg    I    Ni    PA     Pb    Se    Zn
-------------------------------------------------------------------------
49  1   16.2 1.65 72.0 148.0 27   6  121.0 0.159 1.530  1300  70.0  17.60
50  1   75.4 3.95 50.0 251.0 29   3  234.0 0.468 1.240   375 122.0  29.90
51  1   16.5 1.99 50.0 271.0 34   4   67.4 0.235 1.080   323  92.1  18.80
52  1   14.6 1.45 24.0 152.0 26   7  191.0 0.200 1.140   200  75.5  21.00
53  2  442.0 1.40 44.7 110.0 24 165  255.0 0.158 1.080   930 280.0  11.80
54  2  395.0 2.73 39.7 168.0 21  11  294.0 0.182 1.090   746 138.0  22.70
55  2  294.0 1.75 55.9 154.0 20  32  314.0 0.282 0.730 98300 198.0  16.40
56  2   16.3 1.69 37.8 86.1  24  22  194.0 0.136 0.960   275  83.0  25.10
57  3   25.2 3.21 13.5 272.0 32   7  325.0 0.228 0.793   156  45.0  20.30
58  3  252.0 1.80 54.5 85.5  36  14  150.0 0.326 1.060   583 188.0  22.80
59  3   68.7 0.83 16.1 145.0 23  13 1960.0 0.204 0.934   442  63.0  29.20
60  3 2060.0 4.00 36.0 141.0 31 120  344.0 0.210 0.798   165 113.0  18.90
61  3  402.0 1.62 42.0 69.5  28  25  193.0 0.176 0.683   536 195.0  16.00
62  3  445.0 1.62 30.0 119.0 33   8  216.0 0.361 2.380   173 116.0  33.30
63  4  409.0 2.34 26.9 176.0 28  45  427.0 0.237 0.905   303 205.0  15.40
64  4  488.0 3.14 20.9 193.0 44  29  274.0 0.450 1.530   219 225.0  17.50
65  4   30.5 1.98 15.3 80.8  19   1  275.0 0.321 0.870   142 102.0  42.40
66  4 1390.0 2.36 18.3 151.0 29  23  929.0 0.319 1.720   129 115.0  16.60
67  4   23.4 1.10 22.0 63.3  28  17  495.0 0.257 1.010   156 147.0  31.20
68  4   26.2 1.61 28.5 300.0 16  13  185.0 0.229 0.612   387  73.0  13.10
69  5  277.0 1.63 25.0 124.0 47 168  193.0 0.684 0.668   102 121.0   1.85
70  5   37.7 1.36 14.0 264.0 70   7   65.1 0.698 1.760    94  27.7  25.80
71  5   72.8 1.46 16.0 177.0 37  80  178.0 0.880 0.634   172  50.4  14.00
72  5   43.3 1.52 20.0 185.0 58  46   79.9 0.970 0.543   301  71.3  26.60
73  5   53.6 1.60 13.0 284.0 70  29  148.0 1.130 2.760   406  45.7  20.10
74  5   73.0 2.66 21.0 221.0 49  54  337.0 0.930 1.400   172  68.2  31.60
