.  This is test data for a Hotelling T-Square
.  control chart from:
.    "Statistical Methods for Quality Improvement", Thomas Ryan, p. 220
.  There are:
.      2 variables
.      20 sub-groups
.      4 observations per sub-group
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
   Y1    Y2      X
-----------------------------------------
   72    23      1
   84    30      1
   79    28      1
   49    10      1
   56    14      2
   87    31      2
   33     8      2
   42     9      2
   55    13      3
   73    22      3
   22     6      3
   60    16      3
   44     9      4
   80    28      4
   54    15      4
   74    25      4
   97    36      5
   26    10      5
   48    14      5
   58    15      5
   83    30      6
   89    35      6
   91    36      6
   62    18      6
   47    12      7
   66    18      7
   53    14      7
   58    16      7
   88    31      8
   50    11      8
   84    30      8
   69    19      8
   57    14      9
   47    10      9
   41     8      9
   46    10      9
   26     7     10
   39    11     10
   52    35     10
   48    30     10
   46    10     11
   27     8     11
   63    19     11
   34     9     11
   49    11     12
   62    20     12
   78    27     12
   87    31     12
   71    22     13
   63    16     13
   82    31     13
   55    15     13
   71    21     14
   58    19     14
   69    17     14
   70    20     14
   67    18     15
   69    19     15
   70    18     15
   94    35     15
   55    15     16
   63    16     16
   72    20     16
   49    12     16
   49    13     17
   51    14     17
   55    16     17
   76    26     17
   72    22     18
   80    28     18
   61    18     18
   59    17     18
   61    19     19
   74    20     19
   62    16     19
   57    14     19
   35    10     20
   38    11     20
   41    13     20
   46    16     20
END OF DATA
