This is dataplot data file     SPIEGEL.DAT
Nuclear Safeguards Tank Calibration
Analysts--Cliff Spiegelman & Jim Lechner (NIST)
Linear and linear spline fits
Number of observations             = 192
Number of variables per line image =   2
Order of variables on a line image--
   1. Response variable Y = tank volume
   2. Factor 1            = tank pressure
To read this file into Dataplot--
   SKIP 25
   READ SPIEGEL.DAT Y X
 
 
 
 
 
 
 
 
 
 
     Y               X
   Volume         Pressure
----------------------------
  214.89999        0.18941
  211.89999        0.18949
  631.59998        0.37880
  628.59998        0.37884
  629.20001        0.37884
 1034.09998        0.56840
 1031.59998        0.56843
 1471.09998        0.75755
 1474.90002        0.75767
 1474.69995        0.75769
 1925.09998        0.94740
 1921.59998        0.94746
 2373.50000        1.13642
 2375.69995        1.13646
 2377.80005        1.13665
 2820.50000        1.32640
 2816.80005        1.32640
 3265.19995        1.51523
 3264.89990        1.51528
 3269.10010        1.51561
 3713.10010        1.70525
 3713.69995        1.70527
 4154.29980        1.89401
 4155.50000        1.89414
 4152.10010        1.89458
 4153.70020        1.89465
 4156.29980        1.89466
 4602.70020        2.08406
 4602.20020        2.08411
 5046.50000        2.27272
 5046.39990        2.27302
 5045.79980        2.27340
 5490.70020        2.46295
 5490.70020        2.46313
 5933.89990        2.65154
 5935.29980        2.65191
 5933.70020        2.65216
 6382.89990        2.84196
 6384.50000        2.84205
 6820.60010        3.03029
 6821.50000        3.03084
 6820.50000        3.03108
 7270.20020        3.22096
 7272.50000        3.22114
 7712.79980        3.40919
 7714.20020        3.40977
 7713.60010        3.40994
 8159.79980        3.59999
 8162.79980        3.60028
 8601.29980        3.78805
 8604.20020        3.78871
 8603.90039        3.78883
 9053.09961        3.97893
 9053.20020        3.97932
 9488.70020        4.16693
 9491.59961        4.16762
 9490.70020        4.16781
 9940.59961        4.35796
 9943.59961        4.35825
10381.90039        4.54579
10385.00000        4.54660
10383.40039        4.54674
10825.70020        4.73699
10828.09961        4.73715
11260.29980        4.92470
11264.60059        4.92553
11263.29980        4.92572
11705.29980        5.11598
11706.70020        5.11601
12140.09961        5.30359
12145.29980        5.30445
12142.60059        5.30459
12145.90039        5.30545
12146.90039        5.30558
12581.59961        5.49482
12583.29980        5.49499
12993.09961        5.68248
12995.59961        5.68339
12994.59961        5.68354
13407.10059        5.87381
13409.50000        5.87408
13815.29980        6.06140
13817.79980        6.06229
13817.59961        6.06255
14228.10059        6.25282
14228.20020        6.25317
14634.10059        6.44025
14637.50000        6.44116
14635.90039        6.44156
15045.29980        6.63179
15043.79980        6.63211
15448.40039        6.81913
15450.90039        6.82009
15450.40039        6.82043
15858.99902        7.01070
15859.29883        7.01115
16261.60059        7.19798
16263.29980        7.19901
16265.90039        7.19940
16673.80078        7.38969
16673.50000        7.39017
17075.60156        7.57684
17077.59961        7.57791
17081.00000        7.57833
17487.59961        7.76867
17487.69922        7.76916
17889.19922        7.95565
17891.69922        7.95687
17894.40039        7.95726
18302.09961        8.14760
18302.19922        8.14815
18702.50000        8.33453
18704.00000        8.33576
18707.20117        8.33617
18709.19922        8.33704
18707.20117        8.33774
19116.19922        8.52645
19115.69922        8.52723
19517.09961        8.71340
19519.09961        8.71469
19520.90039        8.71507
19931.40039        8.90559
19929.50000        8.90621
20332.80078        9.09241
20334.59961        9.09361
20340.19922        9.09402
20747.59961        9.28455
20745.40039        9.28520
21147.80078        9.47135
21148.69922        9.47253
21153.59961        9.47292
21561.30078        9.66349
21560.30078        9.66418
21961.09961        9.85020
21963.50000        9.85149
21967.69922        9.85184
22375.69922       10.04250
22374.40039       10.04313
22777.50000       10.22908
22780.90039       10.23046
22784.59961       10.23084
22785.90039       10.23196
22784.30078       10.23261
23192.90039       10.42137
23195.50000       10.42199
23594.50000       10.60793
23596.80078       10.60941
23599.30078       10.60979
24006.70117       10.80001
24008.59961       10.80097
24408.80078       10.98676
24410.90039       10.98829
24412.79883       10.98870
24821.19922       11.17884
24823.50000       11.17997
25223.79883       11.36562
25226.00000       11.36710
25226.50000       11.36762
25634.59961       11.55769
25639.09961       11.55895
26036.00000       11.74446
26040.09961       11.74593
26041.00000       11.74656
26448.40039       11.93657
26453.90039       11.93793
26850.69922       12.12343
26854.09961       12.12480
26852.69922       12.12552
26855.09961       12.12591
26859.59961       12.12745
27263.19922       12.31531
27268.79883       12.31692
27665.69922       12.50238
27668.19922       12.50371
27668.29883       12.50445
28077.69922       12.69421
28084.00000       12.69588
28482.09961       12.88128
28484.80078       12.88265
28485.10156       12.88338
28894.50000       13.07308
28900.59961       13.07486
29296.69922       13.26022
29299.89844       13.26158
29299.59961       13.26232
29708.19922       13.45198
29715.79883       13.45385
30110.69922       13.63914
30114.40039       13.64052
30114.00000       13.64133
30115.69922       13.64143
30122.90039       13.64333
