This is data file    EBERHARD.DAT
Plywood Deformation Analysis
Analyst = Keith Eberhardt
 
Number of observations              = 128
Number of variables on a line image =   5
Order of variables on a line image--
   1. Response variable #1 = velocity
   2. Response variable #2 = deflection
   3. Factor 1             = plywood   (2 types)
   4. Factor 2             = thickness (3 types)
   5. Factor 3             = side      (2 levels--front & back)
 
To read this file into Dataplot--
   SKIP 25
   READ EBERHARD.DAT Y1 Y2 X1 X2 X3
 
 
 
 
 
 
 
Velocity  Deflection  Plywood  Thickness   Side
------------------------------------------------
   432        40         0         1         1
   430        37         0         1         1
   423        39         0         1         1
   428        37         0         1         1
   434        36         0         1         1
   437        45         0         1         1
   439        40         0         1         1
   438        44         0         1         1
   441        35         0         1         1
 
   434        41         0         1         2
   432        40         0         1         2
   423        34         0         1         2
   443        39         0         1         2
   441        39         0         1         2
   423        36         0         1         2
   446        41         0         1         2
   436        45         0         1         2
   434        43         0         1         2
 
   431        37         0         3         1
   424        34         0         3         1
   426        37         0         3         1
   439        33         0         3         1
   443        33         0         3         1
   429        35         0         3         1
   439        38         0         3         1
   440        30         0         3         1
   436        34         0         3         1
 
   407        40         0         3         2
   436        40         0         3         2
   429        38         0         3         2
   446        38         0         3         2
   438        33         0         3         2
   441        39         0         3         2
   437        38         0         3         2
   437        44         0         3         2
   435        42         0         3         2
 
   426        37         1         1         1
   427        37         1         1         1
   430        39         1         1         1
   430        36         1         1         1
   439        31         1         1         1
   417        32         1         1         1
   428        41         1         1         1
   446        35         1         1         1
   431        32         1         1         1
   434        38         1         1         1
 
   432        38         1         1         2
   436        40         1         1         2
   440        38         1         1         2
   437        35         1         1         2
   431        35         1         1         2
   444        36         1         1         2
   434        35         1         1         2
   440        34         1         1         2
   436        40         1         1         2
 
   436        40         1         3         1
   438        40         1         3         1
   436        39         1         3         1
   429        34         1         3         1
   435        36         1         3         1
   437        49         1         3         1
   434        40         1         3         1
   437        35         1         3         1
   441        37         1         3         1
 
   432        44         1         3         2
   434        42         1         3         2
   437        40         1         3         2
   448        36         1         3         2
   438        40         1         3         2
   431        39         1         3         2
   436        36         1         3         2
   436        37         1         3         2
   433        45         1         3         2
 
   434        40         0         2         1
   421        31         0         2         1
   431        35         0         2         1
   447        36         0         2         1
   450        52         0         2         1
   425        34         0         2         1
   436        38         0         2         1
 
   431        39         0         2         2
   433        38         0         2         2
   434        42         0         2         2
   421        35         0         2         2
   431        37         0         2         2
   427        30         0         2         2
   437        34         0         2         2
 
   416        38         0         2         1
   442        36         0         2         1
   435        33         0         2         1
   439        32         0         2         1
   425        30         0         2         1
   434        30         0         2         1
   426        35         0         2         1
 
   434        35         0         2         2
   428        40         0         2         2
   439        39         0         2         2
   426        32         0         2         2
   431        34         0         2         2
   436        35         0         2         2
 
   439        38         1         2         1
   439        36         1         2         1
   431        35         1         2         1
   419        31         1         2         1
   447        32         1         2         1
   424        34         1         2         1
   424        33         1         2         1
 
   433        38         1         2         2
   412        37         1         2         2
   432        38         1         2         2
   438        38         1         2         2
   426        30         1         2         2
   433        37         1         2         2
   431        32         1         2         2
 
   428        36         1         2         1
   434        32         1         2         1
   426        32         1         2         1
   432        29         1         2         1
   429        32         1         2         1
   430        35         1         2         1
   438        33         1         2         1
 
   421        39         1         2         2
   430        36         1         2         2
   432        37         1         2         2
   433        34         1         2         2
   430        37         1         2         2
   429        35         1         2         2
   433        35         1         2         2
