This is Dataplot data file     BERGER1.DAT
Alaska Pipeline Ultrasonic Defect Calibration Curve
Contact--Berger (NIST)
Number of observations             = 107
Number of variables per line image =   3
Order of variables on a line image--
   1. Response variable Y = measured in-field defect size
   2. Factor 1            = measured in-lab   defect size
   3. Factor 2            = batch
To read this file into Dataplot--
   SKIP 25
   READ BERGER1.DAT Y X BATCH
 
 
 
 
 
 
 
 
In-field  In-lab  Batch
 Defect   Defect
  Size     Size
   Y        X     BATCH
------------------------
   18      20.2     1
   38      56.0     1
   15      12.5     1
   20      21.2     1
   18      15.5     1
   36      39.0     1
   20      21.0     1
   43      38.2     1
   45      55.6     1
   65      81.9     1
   43      39.5     1
   38      56.4     1
   33      40.5     1
   10      14.3     1
   50      81.5     1
   10      13.7     1
   50      81.5     1
   15      20.5     1
   53      56.0     1
   60      80.7     2
   18      20.0     2
   38      56.5     2
   15      12.1     2
   20      19.6     2
   18      15.5     2
   36      38.8     2
   20      19.5     2
   43      38.0     2
   45      55.0     2
   65      80.0     2
   43      38.5     2
   38      55.8     2
   33      38.8     2
   10      12.5     2
   50      80.4     2
   10      12.7     2
   50      80.9     2
   15      20.5     2
   53      55.0     2
   15      19.0     3
   37      55.5     3
   15      12.3     3
   18      18.4     3
   11      11.5     3
   35      38.0     3
   20      18.5     3
   40      38.0     3
   50      55.3     3
   36      38.7     3
   50      54.5     3
   38      38.0     3
   10      12.0     3
   75      81.7     3
   10      11.5     3
   85      80.0     3
   13      18.3     3
   50      55.3     3
   58      80.2     3
   58      80.7     3
   48      55.8     4
   12      15.0     4
   63      81.0     4
   10      12.0     4
   63      81.4     4
   13      12.5     4
   28      38.2     4
   35      54.2     4
   63      79.3     4
   13      18.2     4
   45      55.5     4
    9      11.4     4
   20      19.5     4
   18      15.5     4
   35      37.5     4
   20      19.5     4
   38      37.5     4
   50      55.5     4
   70      80.0     4
   40      37.5     4
   21      15.5     5
   19      23.7     5
   10       9.8     5
   33      40.8     5
   16      17.5     5
    5       4.3     5
   32      36.5     5
   23      26.3     5
   30      30.4     5
   45      50.2     5
   33      30.1     5
   25      25.5     5
   12      13.8     5
   53      58.9     5
   36      40.0     5
    5       6.0     5
   63      72.5     5
   43      38.8     5
   25      19.4     5
   73      81.5     5
   45      77.4     5
   52      54.6     6
    9       6.8     6
   30      32.6     6
   22      19.8     6
   56      58.8     6
   15      12.9     6
   45      49.0     6
