This is Dataplot data file     BOETTING.DAT
Solderability Meniscus
Bill Boettinger
June 1995
Response variable      = height of meniscus
Number of observations = 40
Number of variables per line image =  8
Order of variables on a line image--
   1. X1 (unrotated, right side)
   2. Y1 (unrotated, right side)
   3. X2 (unrotated, left  side)
   4. Y2 (unrotated, left  side)
   5. X3 (  rotated, right side)
   6. Y3 (  rotated, right side)
   7. X4 (  rotated, left  side)
   8. Y4 (  rotated, left  side)
To read this file into dataplot--
   SKIP 25
   READ BOETTING.DAT X1 Y1 X2 Y2 X3 Y3 X4 Y4
 
  X1     Y1     X2     Y2       X3         Y3         X4         Y4
Horiz   Vert  Horiz   Vert     Horiz      Vert       Horiz      Vert
Right   Right Left    Left     Right      Right      Left       Left
.........Unrotated........    ...............Rotated.................
---------------------------------------------------------------------
0.000  1.695  0.000  1.695    0.0000000  1.8124660  0.0000000  1.8159690
0.022  1.606  0.022  1.606    0.0207398  1.7228899  0.0238534  1.7271720
0.045  1.561  0.045  1.516    0.0422581  1.6779079  0.0477067  1.6383740
0.067  1.516  0.067  1.472    0.0637763  1.6329260  0.0707817  1.5941700
0.089  1.472  0.089  1.427    0.0852945  1.5879430  0.0938567  1.5499661
0.112  1.427  0.112  1.383    0.1068128  1.5429610  0.1169317  1.5057621
0.134  1.383  0.178  1.293    0.1283310  1.4979780  0.1853782  1.4177430
0.178  1.338  0.245  1.204    0.1721458  1.4526070  0.2538248  1.3297250
0.201  1.293  0.290  1.160    0.1936640  1.4076240  0.2991964  1.2859100
0.245  1.249  0.335  1.115    0.2374789  1.3622531  0.3445680  1.2420950
0.290  1.204  0.379  1.070    0.2812937  1.3168811  0.3899395  1.1982800
0.335  1.160  0.424  1.026    0.3251085  1.2715100  0.4353111  1.1544650
0.379  1.115  0.468  0.981    0.3689234  1.2261380  0.4806827  1.1106501
0.424  1.070  0.513  0.937    0.4127382  1.1807671  0.5260543  1.0668360
0.491  1.026  0.580  0.892    0.4788496  1.1350060  0.5937225  1.0234100
0.535  0.981  0.624  0.847    0.5226644  1.0896341  0.6390941  0.9795951
0.602  0.937  0.691  0.803    0.5887759  1.0438730  0.7067623  0.9361694
0.669  0.892  0.758  0.758    0.6548873  0.9981127  0.7744305  0.8927437
0.736  0.847  0.825  0.714    0.7209987  0.9523519  0.8420987  0.8493181
0.803  0.803  0.914  0.669    0.7871102  0.9065911  0.9320633  0.8062817
0.870  0.758  1.004  0.624    0.8532217  0.8608303  1.0220280  0.7632452
0.959  0.714  1.115  0.580    0.9416296  0.8146804  1.1342900  0.7205980
1.048  0.669  1.204  0.535    1.0300380  0.7685304  1.2242540  0.6775616
1.137  0.624  1.293  0.491    1.1184460  0.7223804  1.3142190  0.6345252
1.249  0.580  1.405  0.446    1.2291501  0.6758413  1.4264810  0.5918777
1.360  0.535  1.539  0.401    1.3398551  0.6293021  1.5610390  0.5496197
1.494  0.491  1.673  0.357    1.4728560  0.5823737  1.6955969  0.5073618
1.606  0.446  1.829  0.312    1.5835611  0.5358347  1.8524511  0.4654928
1.784  0.401  2.007  0.268    1.7611550  0.4881279  2.0316019  0.4240131
1.962  0.357  2.185  0.223    1.9387500  0.4404212  2.2107539  0.3825334
2.163  0.312  2.386  0.178    2.1386409  0.3923253  2.4122009  0.3414429
2.386  0.268  2.631  0.134    2.3608279  0.3438402  2.6582420  0.3011307
2.676  0.223  2.899  0.089    2.6499062  0.2941876  2.9265800  0.2612078
3.033  0.178  3.680  0.000    3.0058730  0.2433673  3.7085180  0.1856430
3.657  0.134  4.215 -0.045    3.6294000  0.1878769  4.2444148  0.1503903
4.438  0.089  4.705 -0.089    4.4090018  0.1296620  4.7357178  0.1143593
5.129  0.045  5.241 -0.134    5.0994191  0.0730040  5.2716160  0.0791066
5.843  0.000  5.976 -0.178    5.8121319  0.0159567  6.0081820  0.0473566
6.356  0.000  6.712 -0.223    6.3249540  0.0070054  6.7447481  0.0156066
6.757  0.000  7.114 -0.223    6.7262931  0.0000000  7.1460872  0.0226120
