This is Dataplot data file    CROARK3.DAT
NIST SRM 484: Magnification Standard for SEMs
              (Scanning Electron Microscopes)
NIST Magnification Standard for SEM (Scanning Electron Microscopes)
It must be SRM 484 - Magnification Standard for
SRM 484 check standard data
NIST Check Standard Identification = 41 ?
NIST Balance Identification = 12 ?
NIST Contact: Carroll Croarkin
Response Variable                  = distance between parallel
                                     gold lines
Number of Observations             = 36 sets x 3 repeats = 108
Number of variables per line image = 2
Order of variables on a line image--
   1. Response = distance (micrometers)
   2. Factor 1 = batch (= time) (36 levels)
Statistical area--control charts
To read this file into Dataplot--
   SKIP 25
   READ CROARK3.DAT Y X
 
 
 
 Distance    Batch
-------------------
0.5534998      1
0.5693139      1
0.5574533      1
0.5482810      2
0.5549230      2
0.5534998      2
0.5534998      3
0.5903469      3
0.5534998      3
0.5402157      4
0.5455926      4
0.5683652      4
0.5258247      5
0.5376854      5
0.5718442      5
0.5534998      6
0.5574533      6
0.5718442      6
0.5811746      7
0.5693139      7
0.5745327      7
0.5772212      8
0.5587184      8
0.5270898      8
0.5903469      9
0.5218711      9
0.5455926      9
0.5614069     10
0.5669418     10
0.5416390     10
0.5772212     11
0.5614069     11
0.5732675     11
0.5337318     12
0.5367365     12
0.5606161     12
0.5693139     13
0.5757978     13
0.5566626     13
0.5693139     14
0.5297782     14
0.5614069     14
0.5667837     15
0.5561881     15
0.5534998     15
0.5772212     16
0.5772212     16
0.5708954     16
0.5139640     17
0.5614069     17
0.5376854     17
0.5626719     18
0.5685233     18
0.5639371     18
0.5693139     19
0.5745327     19
0.5693139     19
0.5693139     20
0.5653604     20
0.5557137     20
0.5560300     21
0.5653604     21
0.5455926     21
0.5503368     22
0.5598255     22
0.5546067     22
0.5481229     23
0.5509694     23
0.5495462     23
0.5587184     24
0.5495462     24
0.5772212     24
0.5639371     25
0.5534998     25
0.5614069     25
0.5652022     26
0.5661511     26
0.5614069     26
0.5550811     27
0.5626719     27
0.5534998     27
0.5455926     28
0.5905051     28
0.5376854     28
0.5772212     29
0.5693139     29
0.5574533     29
0.5566626     30
0.5788026     30
0.5653604     30
0.5574533     31
0.5851282     31
0.5587184     31
0.5430623     32
0.5534998     32
0.5430623     32
0.5640953     33
0.5574533     33
0.5693139     33
0.5772212     34
0.5890818     34
0.5429041     34
0.5534998     35
0.5756396     35
0.5639371     35
0.5693139     36
0.5811746     36
0.5574533     36
