COMPONENT CLEARANCE INSPECTION DATA
MAY 1990
EME/EDL
NOTE--
   NOMINAL (TARGET) = 0
   UPPER TOLERANCE = 13
   LOWER TOLERANCE = 0
NUMBER OF OBSERVATIONS = 325
NUMBER OF LINES OF DATA = 17  (325 = 20 X 16 + 5)
NUMBER OF VARIABLES = 1
ORDER OF VARIABLES ON A LINE IMAGE--
   1. CLEARANCE (IN TEN THOUSANTHS OF AN INCH)
      (20 NUMBERS PER LINE & 5 NUMBERS ON LAST LINE)
ENGINNERING QUESTIONS--CPK = ?
                       LOGNORMAL DISTRIBUTION?
STATISTICAL AREAS--UNIVARIATE ANALYSIS
TO READ THIS FILE INTO DATAPLOT (& ANALYZE)--
   SKIP 25
   SERIAL READ CLEAR.DAT Y
   4-PLOT Y
 
 
 
CLEARANCES (20 NUMBERS PER LINE + 5 NUMBERS ON LAST LINE)
------------------------------------------------------------
  9  2  2  2  2  2  5  0  2  5  1  2  2  0  1  0  0  1  1  3
  1  1  0  2  2  3  4  5  2  2  0  1  2  2  2  2  2  1  2  1
  2  2  0  1  2  2  1  5  0  0  2  3  2  3  2  0  4  1  3  1
  2  0  0  0  0  5  0  7  2  1  3  2  4  0  4  7  2  1  2  3
  3  1  2  0  1  0  0  2  1  3  1  3  1  4  3  3  2  0  1  0
  0  2  0  0  0  2  3  3  1  2  2  1  2  1  2  1  4  0  0  1
  1  2  1  1  2  5  1  2  3  0  1  1  2  1  0  4  2  0  1  3
  0  1  0  0  4  2  0  1  0  0  3  2  3  3  2  4  1  2  1  0
  0  2  1  2  2  1  4  3  4  1  2  2  1  1  5  1  1  1  2  1
  5  3  3  5  3  1  0  1  2  3  3  2  2  0  0  1  1  4  1  3
  1  5  1  0  2  2  1  1  1  6  2  2  4  1 12  1  4  4  1  0
  1  2  3  0  1  1  3  1  1  3 11  4  3  1  5  1  2  0  1  2
  1  1  1  1  1  0  1  1  1  0  2  2  2  2  2  2  2  2  1  3
  1  2  1  0  0  0  0  1  2  1  0  0  1  3  2  2  1  1  1  4
  2  0  1  1  1  1  1  0  0  0  1  0  0  3  1  4  5  1  0  3
  3  2  2  0  4  2  2  1  3  2  1  2  1  1  0  3  1  3  2  2
  2  3  0  0  2
