Name:    HIGGRCB.DAT
Source:  Higgins (2004), "Introduction to Modern Nonparameteric
         Statistics", Duxbury Press, p. 130.
Description: Example of a randomized complete block design



















Y        TREATMENT       BLOCK
----------------------------------------
120     1      1
207     2      1
122     3      1
128     4      1
208     1      2
188     2      2
137     3      2
128     4      2
199     1      3
181     2      3
177     3      3
160     4      3
194     1      4
164     2      4
177     3      4
142     4      4
177     1      5
155     2      5
160     3      5
157     4      5
195     1      6
175     2      6
138     3      6
179     4      6
