GROSS NATIONAL PRODUCT DATA
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
DAIRY/POUL MEAT/LVSTK COTTON GRAINS AG FOR/FISH AG/FOR/FISH IRON COPPER NON-FE/CU
------------------------------------------------------------
  19539. 29850.  4237. 24546. 22253.  5028.  6775.  2840.  1662.  1316.
  19579. 31572.  2740. 23182. 23072.  4826.  6695.  3056.  1759.  1330.
  19529. 32574.  2202. 26840. 23937.  5242.  7226.  2823.  1173.  1262.
  18877. 33110.  3141. 24481. 24467.  4211.  7487.  2932.  1482.  1372.
  18824. 33364.  2916. 25515. 25825.  3083.  7389.  3042.  1897.  1454.
  19150. 35537.  2942. 22620. 25670.  5632.  7417.  3128.  2114.  1487.
  19266. 36014.  3106. 28996. 25772.  4880.  7847.  2807.  1870.  1445.
  19649. 36517.  3975. 25429. 25542.  4361.  8048.  2649.  2046.  1460.
  18968. 36884.  5509. 27353. 27218.  3713.  7655.  3136.  2111.  1398.
  18964. 35610.  3540. 27009. 25859.  3430.  7553.  2920.  1964.  1622.
  18663. 30843.  2049. 30371. 29972.  4116.  7880.  2583.  1738.  1326.
  19559. 32383.  4512. 32544. 28296.  4195.  8144.  2662.  1974.  1391.
  19865. 32427.  4064. 30918. 30092.  4470.  7827.  2059.  1849.  1448.
  20060. 32584.  3098. 31242. 30461.  4477.  8400.  2907.  1839.  1468.
  20633. 35393.  4051. 34096. 31980.  3672.  8744.  3037.  1956.  1460.
  21135. 36559.  3168. 29920. 29839.  4035.  8050.  2588.  1601.  1578.
  21647. 35655.  4345. 34732. 32145.  4147.  9004.  2561.  2085.  1508.
  20772. 34206.  4168. 33314. 30838.  4326.  9273.  1339.  1564.  1185.
  19609. 32299.  3936. 31452. 29113.  4445.  9527.  1401.  1462.  1129.
  23026. 37941.  4624. 36950. 34199.  4507.  9661.  1894.  1499.  1159.
COAL PET/GAS STONE FERT REPAIR ORDNANCE MISSILES MEAT DAIRY CANNED
  12764. 43619.  4329.  1778. 60179.  3117.  6669. 31262. 19757. 15791.
  13190. 46093.  4445.  2014. 60829.  5248.  9521. 31151. 19053. 16072.
  13631. 49035.  4335.  2100. 62123.  8570.  8688. 35381. 19747. 16644.
  13418. 51338.  4494.  2030. 60029. 11215.  8757. 36010. 19301. 17000.
  13709. 52987.  4535.  1985. 60584. 10248.  8644. 35594. 19350. 17510.
  14744. 55623.  4596.  1820. 59583.  6415.  6187. 36036. 18997. 17707.
  13473. 55580.  4593.  1822. 60277.  4619.  6256. 37376. 19863. 18557.
  14418. 55708.  4730.  1932. 61939.  4088.  5944. 40307. 21295. 19715.
  14349. 54859.  5258.  1944. 58340.  4054.  6504. 36876. 21440. 20932.
  14601. 52428.  5031.  1965. 57503.  4026.  6893. 40314. 22405. 20367.
  15630. 49632.  4316.  1981. 66563.  4257.  6688. 37755. 22844. 20011.
  16376. 57876.  4565.  2049. 70258.  4372.  6239. 43474. 23340. 21359.
  16653. 49083.  4779.  2159. 73639.  3782.  5097. 43446. 23720. 23025.
  15997. 50473.  5178.  2258. 76987.  3905.  5495. 43172. 23469. 24365.
  18631. 50366.  5247.  2411. 78941.  4096.  6005. 43742. 22670. 23503.
  19805. 50517.  4533.  2306. 81800.  4269.  6022. 45062. 23285. 23517.
  19633. 50055.  4152.  2268. 76436.  4446.  5559. 46610. 23811. 22915.
  20029. 50628.  3594.  1965. 67107.  4764.  5063. 46305. 23652. 23423.
  17794. 50857.  3939.  2153. 70257.  5231.  5023. 47727. 24744. 23905.
  19623. 51404.  4661.  2547. 83674.  5681.  5603. 47959. 24796. 26076.
GRAIN BAKERY SUGAR CONFECT ALCOHOL SODA FEED TOBACCO FABRIC FLOOR
  15918. 12509.  3430.  4601.  9230.  5731. 20924. 12583. 24361.  1757.
  16408. 12640.  3453.  4850.  9768.  6336. 21971. 12394. 25930.  1917.
  17886. 12508.  3713.  5255. 10260.  6917. 23557. 12438. 25680.  2206.
  18206. 12611.  3882.  5379. 10883.  7289. 23703. 12247. 26037.  2694.
  18959. 12929.  3810.  5227. 11829.  7749. 24293. 11830. 25566.  3040.
  19103. 12399.  3794.  5347. 12598.  8496. 24335. 12038. 24960.  3077.
  19038. 12356.  3921.  5455. 13275.  8769. 25054. 12163. 25543.  3427.
  20427. 12890.  3916.  5686. 13216.  9285. 25337. 12639. 26359.  4007.
  19459. 12828.  4006.  6026. 13734.  9764. 24601. 13081. 25055.  4476.
  20509. 12573.  3472.  6073. 14797.  9826. 25636. 13286. 24207.  3670.
  21125. 12621.  3174.  5289. 13828.  9719. 26579. 13480. 23891.  3350.
  22212. 13043.  4326.  5537. 14473. 10274. 28805. 13678. 26746.  3885.
  23727. 12592.  4136.  6342. 15813. 11072. 25327. 12853. 28841.  4724.
  23837. 12497.  3331.  6739. 17246. 11977. 29320. 12849. 27965.  4972.
  23702. 12555.  3494.  6753. 17437. 12067. 29017. 12423. 27940.  5503.
  24756. 12279.  2861.  7063. 18184. 11693. 30518. 12884. 27539.  4828.
