UNITES STATES ZIP CODES
(50 STATES AND D.C.)

ALABAMA             AL
ALASKA              AK
ARIZONA             AZ
ARKANSAS            AR

CALIFORNIA          CA
COLORADO            CO
CONNECTICUT         CT

DELAWARE            DE
DIST. OF COLUMBIA   DC

FLORIDA             FL

GEORGIA             GA

HAWAII              HI

IDAHO               ID
ILLINOIS            IL
INDIANA             IN
IOWA                IA

KANSAS              KS
KENTUCKY            KY

LOUISIANA           LA

MAINE               ME
MARYLAND            MD
MASSACHUSETTS       MA
MICHIGAN            MI
MINNESOTA           MN
MISSISSIPPI         MS
MISSOURI            MO
MONTANA             MT

NEBRASKA            NE
NEVADA              NV
NEW HAMPSHIRE       NH
NEW JERSEY          NJ
NEW MEXICO          NM
NEW YORK            NY
NORTH CAROLINA      NC
NORTH DAKOTA        ND

OHIO                OH
OKLAHOMA            OK
OREGON              OR

PENNSYLVANIA        PA

RHODE ISLAND        RI

SOUTH CAROLINA      SC
SOUTH DAKOTA        SD

TENNESDSEE          TN
TEXAS               TX

UTAH                UT

VERMONT             VT
VIRGINIA            VA

WASHINGTON          WA
WEST VIRGINIA       WV
WISCONSIN           WI
WYOMING             WY
