----------  *FEDERALPAY1988* ----------

                               Federal Pay Scale
                                  January 1988

General Schedule
Grade                                Level
           1     2     3     4     5     6     7     8     9    10
GS-1      9811 10139 10465 10791 11117 11309 11631 11955 11970 12277
GS-2     11032 11294 11659 11970 12103 12459 12815 13171 13527 13883
GS-3     12038 12439 12840 13241 13641 14042 14443 14844 15245 15646
GS-4     13513 13964 14415 14865 15316 15767 16218 16669 17120 17571
GS-5     15118 15622 16126 16630 17134 17638 18142 18646 19119 19653
GS-6     16851 17413 17975 18537 19100 19662 20224 20786 21348 21910
GS-7     18725 19349 19974 20598 21222 21846 22471 23095 23719 24343
GS-8     20740 21431 22123 22814 23506 24197 24889 25581 26272 26964
GS-9     22907 23671 24435 25199 25963 26727 27491 28255 29019 29783
GS-10    25227 26067 26908 27748 28589 29429 30270 31110 31950 32791
GS-11    27715 28640 29564 30488 31412 32336 33260 34184 35108 36033
GS-12    33218 34326 35434 36542 37649 38757 39865 40972 42080 43188
GS-13    39502 40818 42135 43452 44769 46086 47402 48719 50036 51353
GS-14    46678 48234 49789 51345 52900 54456 56011 57567 59122 60678
GS-15    54907 56736 58566 60396 62226 64056 65886 67716 69546 71376
GS-16    64398 66545 68692 70839 72986 75133 77280 79427 81575   -99
GS-17    75437 77951 80466 82980 85494   -99   -99   -99   -99   -99
GS-18    88416   -99   -99   -99   -99   -99   -99   -99   -99   -99
