This is Dataplot data file     NAKATAN2.DAT
Small Angle Neutron Scattering
Alan Nakatani, NIST, Polymers Division (854)
Response Variable                  = Intensity
Number of observations             = 120
Number of variables per line image = 3
Order of variables per line image--
   Response variable = intensity
   Factor 1          = wavelength
   "Factor 2"        = standard deviation (intensity)
Statistical areas--Non-linear Fitting
Recommended model--Type 2
Recommended starting values: 3, 60, 2
To read this file into Dataplot--
      SKIP 25
      READ NAKATAN2.DAT Y X SDY






Intensity    Wavelength   SD(intensity)
    Y            X            SDY
---------------------------------------
  136.3      0.3694E-03      50.89
  158.1      0.1108E-02      29.16
  265.4      0.1847E-02      53.19
  462.7      0.2586E-02      63.97
  693.3      0.3325E-02      80.09
  1094.      0.4064E-02      77.47
  1325.      0.4802E-02      64.54
  1535.      0.5541E-02      35.10
  1542.      0.6280E-02      29.56
  1407.      0.7019E-02      41.42
  1214.      0.7757E-02      42.96
  1024.      0.8496E-02      42.24
  802.2      0.9235E-02      26.60
  668.3      0.9973E-02      24.56
  544.1      0.1071E-01      18.34
  431.0      0.1145E-01      12.94
  381.2      0.1219E-01      12.54
  304.7      0.1293E-01      7.547
  251.4      0.1367E-01      5.837
  211.4      0.1440E-01      4.751
  170.7      0.1514E-01      3.853
  145.1      0.1588E-01      2.926
  119.6      0.1662E-01      2.244
  106.8      0.1736E-01      1.852
  90.52      0.1809E-01      1.803
  76.94      0.1883E-01      1.299
  67.74      0.1957E-01      1.119
  57.99      0.2031E-01      1.066
  49.92      0.2104E-01     0.8578
  46.34      0.2178E-01     0.8455
  39.19      0.2252E-01     0.6720
  35.12      0.2326E-01     0.5343
  29.41      0.2399E-01     0.5411
  27.31      0.2473E-01     0.5230
  24.04      0.2547E-01     0.5261
  21.10      0.2620E-01     0.4482
  19.40      0.2694E-01     0.3831
  17.93      0.2768E-01     0.3953
  16.16      0.2841E-01     0.3593
  14.27      0.2915E-01     0.3044
  13.67      0.2989E-01     0.2778
  12.60      0.3062E-01     0.3161
  11.32      0.3136E-01     0.3088
  10.59      0.3209E-01     0.2654
  10.05      0.3283E-01     0.2801
  8.965      0.3357E-01     0.2630
  8.378      0.3430E-01     0.2230
  7.829      0.3504E-01     0.2220
  7.237      0.3577E-01     0.2124
  6.926      0.3651E-01     0.2139
  6.340      0.3724E-01     0.1976
  5.847      0.3798E-01     0.1780
  5.569      0.3871E-01     0.1721
  5.621      0.3944E-01     0.1758
  5.535      0.4018E-01     0.2026
  4.869      0.4091E-01     0.1818
  4.238      0.4165E-01     0.1740
  3.869      0.4238E-01     0.1600
  3.914      0.4311E-01     0.1535
  3.761      0.4385E-01     0.1411
  3.364      0.4458E-01     0.1251
  3.449      0.4531E-01     0.1484
  2.922      0.4604E-01     0.1609
  2.780      0.4678E-01     0.1484
  2.705      0.4751E-01     0.1497
  2.415      0.4824E-01     0.1421
  2.713      0.4897E-01     0.1568
  2.476      0.4970E-01     0.1607
  2.312      0.5044E-01     0.1477
  2.205      0.5117E-01     0.1475
  1.853      0.5190E-01     0.1493
  1.720      0.5263E-01     0.1496
  1.484      0.5336E-01     0.1535
  1.692      0.5409E-01     0.1433
  1.593      0.5482E-01     0.1390
  1.642      0.5555E-01     0.1374
  1.969      0.5628E-01     0.1485
  1.602      0.5701E-01     0.1332
  1.431      0.5774E-01     0.1394
  1.386      0.5846E-01     0.1389
  1.244      0.5919E-01     0.1110
  1.182      0.5992E-01     0.1121
  1.258      0.6065E-01     0.1324
  1.017      0.6138E-01     0.1488
  1.281      0.6210E-01     0.1330
  1.447      0.6283E-01     0.1403
  1.138      0.6356E-01     0.1198
 0.9275      0.6428E-01     0.1216
  1.030      0.6501E-01     0.1278
  1.065      0.6574E-01     0.1527
  1.077      0.6646E-01     0.1527
  1.062      0.6719E-01     0.1369
 0.8893      0.6791E-01     0.1215
 0.5134      0.6864E-01     0.1089
 0.6895      0.6936E-01     0.1303
 0.6716      0.7009E-01     0.1244
 0.7302      0.7081E-01     0.1194
 0.5327      0.7153E-01     0.1140
 0.5875      0.7226E-01     0.1359
 0.8348      0.7298E-01     0.1518
 0.7147      0.7370E-01     0.1428
 0.8216      0.7442E-01     0.1301
 0.7539      0.7515E-01     0.1094
 0.6169      0.7587E-01     0.1126
 0.4768      0.7659E-01     0.1345
 0.6322      0.7731E-01     0.1569
 0.7975      0.7803E-01     0.1793
 0.4402      0.7875E-01     0.2193
 0.4066      0.7947E-01     0.2006
 0.2401      0.8019E-01     0.1375
 0.5707      0.8091E-01     0.1668
 0.3040      0.8163E-01     0.1837
 0.2679      0.8235E-01     0.1954
 0.3743      0.8307E-01     0.1675
 0.4589      0.8378E-01     0.1809
 0.6570      0.8450E-01     0.3350
 0.6277      0.8522E-01     0.3962
-0.1135      0.8594E-01     0.3381
-0.6277      0.8665E-01     0.2050
-0.5248      0.8737E-01     0.3075
