This is Dataplot data file     NAKATAN1.DAT
Small Angle Neutron Scattering
Alan Nakatani, NIST, Polymers Division (854)
Response Variable                  = Intensity
Number of observations             = 64
Number of variables per line image = 3
Order of variables per line image--
   Response variable = intensity
   Factor 1          = wavelength
   "Factor 2"        = standard deviation (intensity)
Statistical areas--Non-linear Fitting
Recommended model: Type 1 (Oz)
Recommended starting values: 80, 100, 3
To read this file into Dataplot--
      SKIP 25
      READ NAKATAN1.DAT Y X SDY






Intensity    Wavelength   SD(intensity)
    Y            X            SDY
---------------------------------------
  0.000      0.3694E-03     0.0000
  3.652      0.1108E-02     0.0000
  3.557      0.1847E-02     0.5640
  6.979      0.2586E-02      3.620
  15.97      0.3325E-02      5.138
  29.70      0.4064E-02      7.723
  42.30      0.4802E-02      5.606
  49.30      0.5541E-02      4.622
  55.53      0.6280E-02      4.863
  54.55      0.7019E-02      2.984
  52.11      0.7757E-02     0.5078
  47.72      0.8496E-02      3.652
  38.17      0.9235E-02      1.691
  36.46      0.9973E-02      1.910
  35.82      0.1071E-01      1.818
  30.53      0.1145E-01     0.7142
  27.11      0.1219E-01      1.476
  27.27      0.1293E-01     0.7811
  21.84      0.1367E-01     0.9661
  22.19      0.1440E-01     0.9172
  20.52      0.1514E-01      1.289
  20.84      0.1588E-01     0.9290
  20.43      0.1662E-01     0.9260
  19.61      0.1736E-01      1.191
  18.36      0.1809E-01      1.204
  17.58      0.1883E-01     0.5263
  16.74      0.1957E-01     0.4153
  16.54      0.2031E-01     0.9099
  15.44      0.2104E-01     0.6206
  15.02      0.2178E-01     0.7136
  14.21      0.2252E-01     0.5203
  13.47      0.2326E-01     0.5973
  13.36      0.2399E-01     0.7164
  13.78      0.2473E-01     0.6767
  13.57      0.2547E-01     0.6586
  13.19      0.2620E-01     0.6057
  12.09      0.2694E-01     0.5803
  12.19      0.2768E-01     0.5491
  12.05      0.2841E-01     0.4222
  10.66      0.2915E-01     0.3793
  10.78      0.2989E-01     0.3155
  10.97      0.3062E-01     0.5544
  11.22      0.3136E-01     0.4381
  10.07      0.3209E-01     0.3805
  9.417      0.3283E-01     0.4785
  10.15      0.3357E-01     0.5285
  9.073      0.3430E-01     0.4370
  8.189      0.3504E-01     0.2485
  8.864      0.3577E-01     0.4550
  7.671      0.3651E-01     0.5327
  8.234      0.3724E-01     0.3695
  8.545      0.3798E-01     0.3868
  7.988      0.3871E-01     0.4009
  7.680      0.3944E-01     0.3332
  7.151      0.4018E-01     0.2848
  7.055      0.4091E-01     0.2892
  6.941      0.4165E-01     0.3810
  7.011      0.4238E-01     0.3340
  6.407      0.4311E-01     0.2815
  6.785      0.4385E-01     0.2401
  6.196      0.4458E-01     0.4023
  6.501      0.4531E-01     0.2943
  6.348      0.4604E-01     0.2471
  4.938      0.4678E-01     0.5016
