This is dataplot data file    kneifel_7_128.dat      3/9/15
Contents: Annual Net-Zero House Energy Usage Data
Contact:  Josh Kneifel, Bill Healy (NIST)
Number of observations             = 128 = 2**7 (from the 2**7 full factorial design)
Number of variables per line image = 1 + 7 = 8
Order of variables on a line image:
   1. Response 1 = Annual Site Energy Consumption = "Pepco"
   2. Factor 1   = Building Design   ( 2 levels: 1: Md Code: 2012 IECC and 2: NetZero: NZERTF)
   3. Factor 2   = Weather           ( 2 levels: 1: Extreme: EMY       and 2: Typical: TMY)
   4. Factor 3   = Orientation       ( 2 levels: 0 deg.: Due South     and 45 deg.: Southwest
   5. Factor 4   = Air Leakage       ( 2 levels: 0.61 ACH50            and 7.00 ACH50)
   6. Factor 5   = Occupant Behavior ( 2 levels: 50%                   and 200%)
   7. Factor 6   = Heating Setpoint  ( 2 levels: 19.1                  and 21.1 degrees C)
   8. Factor 7   = Cooling Setpoint  ( 2 levels: 23.9                  and 25.9 degrees C)
To read this data file into dataplot:
   skip 25; read kneifel_7_128.dat   y   x1 to x7





      Y          X1     X2     X3     X4     X5     X6     X7
    Annual      Build  Weath  Orien   Air   Occup  Heat   Cool
EnergyConsump   Design               Leak   Behav  Setpt  Setpt
----------------------------------------------------------------
    19915         1      1    0.00     1      50   19.1   23.9
     8368         2      1    0.00     1      50   19.1   23.9
    17279         1      2    0.00     1      50   19.1   23.9
     7414         2      2    0.00     1      50   19.1   23.9
    19915         1      1   45.00     1      50   19.1   23.9
     8368         2      1   45.00     1      50   19.1   23.9
    17279         1      2   45.00     1      50   19.1   23.9
     7414         2      2   45.00     1      50   19.1   23.9
    33553         1      1    0.00     7      50   19.1   23.9
    16623         2      1    0.00     7      50   19.1   23.9
    26998         1      2    0.00     7      50   19.1   23.9
    14163         2      2    0.00     7      50   19.1   23.9
    33553         1      1   45.00     7      50   19.1   23.9
    16623         2      1   45.00     7      50   19.1   23.9
    26998         1      2   45.00     7      50   19.1   23.9
    14163         2      2   45.00     7      50   19.1   23.9
    31221         1      1    0.00     1     200   19.1   23.9
    17134         2      1    0.00     1     200   19.1   23.9
    28728         1      2    0.00     1     200   19.1   23.9
    16353         2      2    0.00     1     200   19.1   23.9
