This is dataplot data file      fontana_15_32768.dat  Baseball MVP Prob    1/16/21
Contents: Baseball MVP Selection Probability & k = 15 Factors
Design: 2**15 Full Factoril (k=15,n=32768)     Peter Fontana (NIST/ITL
Response = Probability of Hall of Fame Selection (Non-Pitchers Only)
Number of observations = 2**15 = 32768   NUmber of variables per line image = 16 (= 1 + 15)
   1. Response  = Probability of Hall of Fame Selection
   2. Factor  1 = #Seasons    (2 levels:    11    16)
   3. Factor  2 = GamesPlayed (2 levels:   964  1659)
   4. Factor  3 = AtBats      (2 levels:  3028  5839)
   5. Factor  4 = Runs        (2 levels:   357   851)
   6. Factor  5 = Hits        (2 levels:   778  1617)
   7. Factor  6 = Doubles     (2 levels:   117   266)
   8. Factor  7 = Triples     (2 levels:    23    71)
   9. Factor  8 = HomeRuns    (2 levels:    23   107)
  10. Factor  9 = RBIs        (2 levels:   318   736)
  11. Factor 10 = Walks       (2 levels:   235   587)
  12. Factor 11 = BatAvg      (2 levels: 0.253 0.285)
  13. Factor 12 = OnBase%     (2 levels: 0.315 0.358)
  14. Factor 13 = Slugging%   (2 levels: 0.344 0.426)
  15. Factor 14 = FieldAve    (2 levels: 0.957 0.983)
  16. Factor 15 = Position    (2 levels:     2     4)
To read this data file into dataplot: let k = 15; skip 25; read     fontana_15_32768.dat     y x1 to x^k
          Y           X1   X2   X3   X4   X5   X6   X7   X8   X9  X10  X11  X12  X13  X14  X15 
     Prob(MVP)       Seas Games AtB Runs Hits Doub Trip  HR  RBIs Walk BatAv OnB Slug Fiel Pos 
---------------------------------------------------------------------------------------------------
0.02582564372795891   +1   +1   -1   -1   +1   -1   +1   -1   -1   +1   -1   +1   -1   +1   +1
0.3029754506453016   +1   +1   -1   -1   +1   -1   -1   +1   +1   +1   +1   -1   -1   -1   -1
0.012039750686595251   +1   -1   +1   -1   -1   -1   -1   -1   +1   -1   +1   -1   -1   -1   +1
0.0013148294601072123   -1   +1   +1   -1   +1   +1   +1   -1   -1   -1   -1   +1   -1   -1   +1
0.9957049449504035   -1   -1   -1   -1   +1   -1   -1   -1   +1   -1   +1   +1   -1   +1   +1
0.8492303051425436   -1   -1   +1   -1   +1   -1   +1   +1   +1   -1   -1   -1   +1   +1   -1
0.9714029207788493   -1   -1   +1   +1   +1   -1   -1   +1   +1   +1   +1   -1   +1   +1   +1
0.6143168159862853   +1   +1   -1   +1   +1   +1   -1   +1   +1   +1   -1   -1   +1   +1   +1
0.00031146287918813894   +1   +1   -1   -1   -1   +1   +1   -1   +1   -1   +1   +1   +1   +1   -1
0.974263917386491   +1   -1   +1   +1   +1   +1   -1   -1   +1   +1   +1   -1   -1   +1   +1
0.0013613252971483281   -1   -1   +1   -1   -1   -1   -1   -1   -1   -1   -1   +1   -1   -1   -1
0.08017951480124764   -1   +1   -1   +1   +1   -1   +1   -1   -1   -1   +1   -1   -1   -1   +1
0.03296714221185818   +1   -1   -1   -1   -1   +1   -1   -1   -1   +1   +1   +1   +1   -1   -1
0.0024088725220082195   -1   +1   +1   -1   +1   +1   -1   -1   -1   +1   +1   +1   +1   +1   +1
0.010450721888660237   -1   +1   +1   -1   +1   -1   +1   +1   +1   -1   -1   -1   +1   -1   -1
0.1915892121791184   -1   +1   -1   -1   +1   -1   +1   +1   +1   +1   +1   -1   -1   -1   +1
0.021130535809744434   +1   +1   +1   -1   +1   +1   -1   +1   +1   +1   -1   +1   +1   +1   +1
0.10079618513986757   +1   -1   -1   +1   -1   +1   -1   -1   -1   +1   +1   -1   +1   -1   -1
0.47346118777664414   +1   -1   -1   +1   -1   -1   -1   -1   +1   +1   -1   -1   -1   -1   -1
0.002437917117500213   -1   -1   +1   +1   -1   -1   +1   +1   -1   -1   +1   +1   +1   +1   -1
0.10079618513986757   -1   -1   -1   +1   -1   +1   -1   -1   -1   -1   +1   +1   -1   -1   -1
0.3865283957580702   +1   -1   +1   -1   +1   -1   +1   -1   -1   +1   +1   +1   -1   -1   -1
0.001683138432318864   -1   +1   -1   +1   -1   -1   -1   +1   +1   +1   -1   +1   -1   +1   -1
0.0013148294601072123   -1   +1   +1   -1   +1   +1   +1   +1   -1   +1   +1   -1   -1   +1   -1
0.00660057111074443   -1   -1   +1   -1   -1   -1   +1   -1   +1   -1   -1   +1   +1   -1   +1
0.12975633382731416   -1   -1   -1   -1   -1   -1   +1   -1   +1   +1   -1   +1   +1   +1   +1
0.05140127181465494   +1   +1   -1   -1   +1   +1   -1   +1   -1   +1   +1   +1   +1   +1   -1
0.0002794883658824053   -1   +1   -1   -1   -1   -1   +1   -1   +1   -1   +1   -1   -1   -1   -1
0.03296714221185818   +1   -1   -1   -1   -1   +1   -1   +1   -1   -1   -1   -1   -1   -1   -1
0.1915892121791184   +1   +1   -1   -1   +1   -1   +1   -1   +1   +1   +1   -1   -1   -1   +1
0.02582564372795891   -1   +1   -1   -1   +1   -1   +1   -1   -1   -1   -1   -1   -1   +1   +1
9.36589396478647e-06   +1   +1   +1   +1   -1   +1   -1   -1   -1   -1   -1   +1   +1   -1   -1
2.284891257229976e-05   +1   +1   +1   -1   -1   -1   -1   -1   +1   -1   +1   +1   +1   +1   -1
0.9117445870781722   -1   -1   +1   -1   +1   -1   -1   -1   +1   -1   +1   -1   -1   -1   +1
0.0013148294601072123   +1   +1   +1   -1   +1   +1   +1   +1   -1   -1   +1   -1   +1   -1   +1
0.9714029207788493   -1   -1   +1   +1   +1   -1   -1   +1   +1   -1   -1   -1   +1   +1   -1
0.007877212270515606   +1   +1   +1   +1   +1   +1   -1   -1   -1   -1   -1   +1   -1   -1   -1
0.9200830776166444   -1   -1   +1   -1   +1   +1   -1   -1   +1   +1   +1   +1   -1   +1   -1
0.0013148294601072123   -1   +1   +1   -1   +1   +1   +1   -1   -1   -1   +1   -1   -1   +1   -1
0.03725813036671763   +1   +1   +1   +1   +1   +1   +1   -1   +1   -1   -1   -1   -1   -1   +1
0.9200830776166444   -1   -1   +1   -1   +1   +1   -1   +1   +1   -1   +1   -1   +1   -1   +1
